G	c	dx1dt	d2x1dt2	m1	m2	p	d1	d2	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	-5.871977539968750825e+00	6.639707853261678672e+00	2.997772385539765327e-01	6.579087798559169364e+00	4.435294788997742543e+00	3.453076512392803998e+00	-1.417659349298425187e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	-5.429554248694063112e+00	8.136447807081280459e+00	1.691326565802642179e-01	8.317342318685176039e+00	6.798150419581879156e+00	5.661172443991193681e+00	1.104828595282128234e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	-2.454370185998747456e+00	3.370674699562987264e+00	7.809708324079327191e-02	7.629882464022383459e+00	1.143539722027753847e+01	8.919317443746654916e+00	1.350641221475185061e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	-4.938511114746042985e+00	6.877869892360561899e+00	1.870256589011152493e-01	2.081695203616904521e+00	1.273225698658004035e+01	4.398714150835440151e+00	2.740399116146543523e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	-5.328477447593456873e+00	6.964237226525664681e+00	4.032116593442755526e-01	1.767586361199147582e+00	4.185000649635538750e+00	9.347823971043247582e+00	9.279468436497088080e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	-3.243699715864095889e+00	9.186165145897138729e+00	5.871429423545347914e-01	3.194171792710268409e+00	2.018351104155637898e+01	1.891143066153904595e+00	5.220986993132079590e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	-3.531501419669837105e+00	9.262097632184838503e+00	1.010173888081757676e+00	3.919378158312307292e+00	3.785087714635046563e+00	7.875587681553455788e+00	9.764367554910332592e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	-2.666348937399328545e+00	1.086948023659565443e+00	-1.673481958870801090e-02	5.548471833717022683e+00	4.796243832894012016e+00	8.183050574982688730e+00	1.906987492283325647e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	8.134211296118197154e+00	7.280541219049116108e+00	1.939710756171431627e-01	6.547013498302959533e+00	-3.106897431175309698e+00	2.393258430235467138e+00	-3.219155362343409377e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	-2.882831617793720103e+00	1.137262565710179363e+00	1.026946897614676099e-02	2.075169631059193609e+00	1.055659228155275109e+01	5.535023503750005069e+00	1.867093080203408917e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	3.582352628836181996e+00	6.470243840194783935e+00	8.149539720483187644e-01	1.166218877102388030e+00	-3.969991296871116404e+00	2.029871468384120803e+00	-3.679464169656170291e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	7.321178386841918240e+00	3.478547636479791816e+00	4.884529241183629272e-02	4.414730327566777746e+00	-1.405973395755688582e+00	6.348281569343528830e+00	-1.970033201921742583e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	-2.908774087442647538e+00	4.026732708527520188e+00	7.308675227409623665e-02	7.492998292890842293e+00	1.681310504062471978e+01	5.276351531041059140e+00	9.261737720007846564e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	-1.776642463965504248e+01	5.104075008293650129e+00	2.074439293734481882e-01	1.968248075498024718e+00	6.055725972095684639e-01	7.050396067247833187e+00	2.108898886448538901e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.565196744687734398e+00	7.567605712432913911e+00	6.024616790686194712e+00	-3.080808982576717092e+00	6.890886936503446414e+00	4.371383637555549262e-01	6.337798077929119422e+00	3.079767152333098501e+00	2.602232495624666075e+00	2.588276416498808130e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.749816437686273041e+00	1.009062993275299291e+01	4.979486624955653085e+00	-2.898963930229302655e+00	4.131337975056126766e+00	2.561494701885395631e-01	2.662411412507585062e+00	3.689154851020355785e+00	3.237348885075464366e+00	3.634881500137394639e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.586281612802257879e+00	2.494258897854792156e+00	3.865146607157690983e+00	-3.676629838067458245e+00	7.314210205170467383e+00	3.845125968305372344e-01	8.767650263468619087e+00	4.446510985473776323e+00	2.759868924313295668e-01	1.694160089667996749e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.857407391700071742e+00	6.286175292308112006e+00	8.970155753462224268e+00	-2.883270108723179348e+00	4.598482051533387072e+00	1.423121048743019867e-01	8.565975642896445308e+00	9.962298117467538461e+00	2.262331521014996571e+00	5.814304066779008018e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.010293314295051204e+00	9.645775253538188210e+00	1.896594967934400522e+00	2.662139638975248968e+00	1.000191960621804821e+00	6.869533729035846858e-02	4.393025866772142685e+00	-1.891335690425816285e+00	6.182596675929042718e+00	-2.131356727906869586e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.566723343583837469e+00	5.708666941940705453e-01	6.590663711266993019e+00	-2.942352028520896834e+00	8.342479837366568063e+00	3.503247575726720076e-01	2.752199638749864619e+00	2.167629881058360652e+01	9.272606872586731441e+00	2.266376672864363950e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.915561795791972166e+00	7.361335790008674884e+00	9.833677602530713102e+00	-3.170515261958597009e+00	2.416414948455240186e+00	6.329862715633507997e-02	3.406181457051175698e+00	1.841325550478674344e+01	6.063664184079472719e+00	1.854545165987675936e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.305993767687504192e+00	4.383839119113778438e+00	5.662885240822298272e+00	-3.085155310860547839e+00	5.419136750793388302e+00	3.764802997330463086e-01	2.982620471252077188e+00	6.144339469257621644e+00	5.207163710087854724e+00	1.108564507050737502e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.890094888881145074e+00	8.989554456216186651e+00	1.003656099136045476e+01	-2.597855431063708309e+00	7.565082730245713094e+00	3.031373123763477229e-01	7.491271351731888295e+00	1.359893204382685994e+01	1.023108109913318664e+01	1.698722674641284902e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.412864973763254817e+00	1.020263809030489277e+01	1.817315950501080080e+00	5.745287469014695780e+00	4.045254972323244935e+00	1.701431819221233266e-01	9.322580892316564061e+00	7.496147495661686921e-02	7.470801919827446902e+00	1.975991827682101187e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.777435363843589577e+00	9.513508825083935250e+00	3.996704206078535826e+00	-3.190543229744132958e+00	1.220728854114658146e+00	8.998781274053638257e-02	6.932825418498499204e+00	1.147537347911755878e+00	9.865841520375569829e+00	6.821723645965129812e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.921013072889146578e+00	4.892690512409336279e+00	3.197414879432005641e+00	-4.940877585655957027e+00	4.356487313585708954e+00	1.127546293251636411e-01	8.137601255829089553e+00	3.043281720223685483e+00	5.852752823099244495e+00	1.207710904309235722e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.097676049355350791e+00	8.704694650095330388e+00	6.429433576089358837e+00	-3.393406408257909401e+00	8.539688184135647120e+00	5.796802468277927334e-01	4.565057551806418701e+00	1.681242824332160168e+01	3.185887928319645734e+00	7.945400368067022656e-01
