G c dx1dt d2x1dt2 m1 m2 d1 Fg Fc d2 p W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 1.25308353e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 5.99509519e+00 6.83431259e+00 -1.57037821e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 1.23412864e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 6.36314137e+00 2.55147726e+00 -2.49987550e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 1.64145791e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 3.42142126e+00 8.85155107e+00 -3.49822915e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 1.23750206e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 8.34525452e+00 6.51804615e+00 -2.50028828e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 1.26572463e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 9.71295043e+00 2.41483495e+00 -3.30679541e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 1.59327208e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 5.85166617e+00 9.66104252e+00 -3.69705720e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 1.43243562e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 1.19530142e+01 5.66528917e+00 -5.43099945e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.59961543e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.43895035e+00 1.65608607e+00 -1.29070352e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 8.85264580e-01 7.06617927e+00 7.11727495e+00 2.63635888e+00 3.81990646e+00 6.64149614e+00 -1.03238151e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.45859180e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 2.23915562e+00 3.27879016e+00 -8.89848472e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 7.88804582e-01 5.93972799e+00 1.31205434e+00 2.48949797e+00 7.77942249e+00 8.23324107e+00 -6.29289721e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 8.77627386e-01 3.58869456e+00 4.52719507e+00 7.35943716e+00 4.44377711e+00 8.36039866e+00 -1.19903797e+02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 1.64151079e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 3.34263930e+00 9.81052620e+00 -3.54062798e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 1.05953349e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 5.93270139e+00 5.51682578e+00 -1.33625007e+02
