G	c	dx1dt	d2x1dt2	m1	m2	d1	Fg	Fc	d2	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	1.209416097614871788e+00	7.074962826573854890e+00	5.891497177301700638e+00	4.550220109965910531e+00	6.123031534051309954e+00	6.814079551759095743e+00	-1.290740901011623407e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	1.290910855713552241e+00	8.064609058083538784e+00	8.726744236557518519e+00	5.020893015393417258e+00	5.619466707190998278e+00	2.525837854213339728e+00	-2.515128626256318682e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	1.677660655280929225e+00	3.010357685234252401e+00	7.449507108699926938e+00	8.725658481652667220e+00	3.669661768951828051e+00	9.362632128181729740e+00	-3.627140061598132093e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	1.190546649483108732e+00	6.519797044649077833e+00	2.352085719640259587e+00	3.744541858937630696e+00	8.564692776961493337e+00	6.266257324826442598e+00	-2.216321850748491329e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	1.321469345490861258e+00	5.517382480646872978e+00	2.390488152193771310e+00	8.621037229663182089e+00	9.613711708996472538e+00	1.779936190393361706e+00	-3.396384434592678758e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	1.581902622698737382e+00	8.290417794302591403e+00	3.173186806709712648e+00	2.002751949393435371e+00	5.310924208693462489e+00	9.747383886685291543e+00	-3.791445444393478397e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	1.492994186524293498e+00	8.857186776354183166e+00	4.080480978929633906e+00	7.872251898214870813e+00	1.201942866326040260e+01	5.991949707937195946e+00	-5.498390756677889613e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.735295527940008187e+00	1.033646408627649116e+00	4.893060465948545712e+00	8.879538353025052899e+00	1.528423859247739713e+00	1.715895528567869643e+00	-1.270585691493050859e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	8.956984393740137218e-01	6.449111359352688311e+00	7.509878901444386301e+00	2.594250490505680240e+00	3.699256530619688732e+00	6.778089970477068071e+00	-9.186275286084246261e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.439140588560356093e+00	1.518190894372922761e+00	9.342152660053810731e-01	4.497633605407895807e+00	2.290293311762688244e+00	3.483432866541011474e+00	-1.213538543109852696e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	8.615623410234034552e-01	6.185880476406923734e+00	1.361141250092086974e+00	2.809991103936036794e+00	8.073003195181691183e+00	8.263407659469349298e+00	-5.160686558078565866e+01
