G c dx1dt d2x1dt2 m2 m1 Fg Fc d2 d1 W p
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 1.29255444e+01 4.54271968e+00 -7.30413229e-01 1.07735709e+01 -7.29159221e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 2.09117353e+01 5.26092093e+00 -2.89258505e-01 1.36412512e+01 -1.02409373e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 2.78690658e+00 8.69092654e+00 -5.49614500e-01 9.81114731e+00 -5.75277474e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.86721783e+00 4.06003947e+00 -2.25715393e-01 2.22856655e+00 -3.07510846e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 4.17714752e+00 8.82684716e+00 -2.13767918e-01 9.21940664e-01 -8.88258167e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 3.70152211e+00 1.79320988e+00 -8.25642798e-01 2.70712383e+00 -2.25553656e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.70750073e+00 7.99118593e+00 -3.64996745e-01 1.29748316e+00 -1.02857637e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 6.49244094e-01 8.62792870e+00 -4.88427960e-01 1.17944686e+01 -1.70606458e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 3.16640973e+01 2.63635888e+00 -2.69587978e-01 1.41716433e+01 -4.85971101e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.11019367e-01 4.87311879e+00 -5.55251573e-01 6.14003418e+00 -2.68543395e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 5.98319527e+00 2.48949797e+00 -2.38620014e-01 6.24609094e-01 -1.20564116e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.03887334e+01 7.35943716e+00 -7.99303306e-02 4.52369179e+00 -1.86558903e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 2.98748686e+00 5.81812991e+00 -5.25743119e-01 9.06532299e+00 -2.87660009e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 5.08066254e+00 6.71791012e+00 -9.49007225e-01 6.91315915e+00 -9.06915803e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 7.70896653e+00 2.76838270e+00 -4.59365372e-01 3.23684140e+00 -6.50119933e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.84590259e+00 2.90571276e+00 -2.75861739e-01 1.59594356e+00 -7.43966126e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.65185582e+01 1.37347593e+00 -1.83689253e+00 1.47758498e+01 -1.60576124e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 4.62172616e+00 3.89860782e+00 -9.20041093e-01 1.20925124e+01 -1.75546291e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 4.96211490e+00 6.03770195e+00 -6.54468906e-02 2.04128771e+00 -2.85403490e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 3.54523254e+00 8.72141423e+00 -3.85017437e+00 1.51830134e+01 -8.22458882e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.73658965e+00 7.00234703e+00 -7.34145735e-01 8.17947905e+00 -3.24630124e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 2.56414360e+00 4.91856691e+00 -9.86534762e-01 4.37696235e+00 -1.19417665e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 5.35994982e+00 9.57808103e+00 -5.34222507e-01 4.15166260e+00 -2.69819466e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 2.29009469e+01 7.47320681e+00 -7.62523507e-02 3.77766081e+00 -3.17318631e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 2.23356339e+00 9.37148683e+00 -2.57960094e-01 5.42327340e+00 -1.21962431e+02
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 1.09989294e+01 5.74829176e+00 -3.35667059e-01 1.34058140e+01 -2.17847041e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 5.73324162e+00 3.33013847e+00 -4.97159282e-01 2.25348887e+00 -4.30441370e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 1.65870988e+00 1.47544018e+00 -9.32943650e-01 4.28242225e+00 -1.74611240e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 1.62664296e+01 7.53476366e+00 -4.52966184e-01 1.29218369e+01 -1.59476005e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 4.12285515e+00 2.09172698e+00 -5.05409279e-01 1.75198525e+00 -5.26386249e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 7.06180752e+00 3.72497615e+00 -1.45013266e+00 3.70561840e+01 -1.46743328e+01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 2.68916826e+00 5.79223817e+00 -5.21150152e-01 2.69960775e+00 -1.51239084e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 2.59505130e+00 6.07974929e+00 -9.78537018e-01 2.19945999e+00 -5.74957652e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 1.94868599e+00 6.40524877e+00 -3.68084277e+00 8.29730203e+01 -7.71485077e+01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 1.30034003e+00 2.49629797e+00 -8.19200950e+00 4.40870015e+01 -2.56487942e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 8.32345237e+00 4.41763664e+00 -3.04937272e-01 1.19949152e+01 -2.49646425e+01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 2.36237918e+01 6.55474804e+00 -2.59570284e-01 9.24489803e+00 -2.58721483e+01
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 3.38827483e+01 9.72836978e+00 -1.59508721e-01 2.11095796e+00 -1.64693174e+01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 3.68177153e+00 7.54868024e+00 -1.09099846e+00 3.53652870e+01 -6.43878620e+01
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 1.07849785e+01 9.30343381e+00 -4.44876291e-01 8.52738940e+00 -2.06637499e+01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 2.65637665e+00 7.85990852e+00 -8.15820706e-01 8.55388841e+00 -1.30032399e+02
