G	c	dx1dt	d2x1dt2	d1	d2	Fc	m1	p	m2	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	4.113324953828542796e+00	1.165722016351200239e+02	1.793974455863569162e+01	7.065273737588372960e+00	2.039723357149904359e+01	6.152251152953994051e+00	1.610946009726033481e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	3.568905135999132838e+00	5.432451184918890021e+02	3.406199225129184782e+01	8.180045419313447752e+00	3.331776415879207320e+01	8.251394243742376844e+00	2.110206924072308902e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	9.371291212265495219e+00	1.846192423301540430e+03	7.115865776492927353e+01	3.253166409405337856e+00	1.750754740733494543e+02	7.852439089734519762e+00	3.125076484501131345e+05
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	3.515953095258049554e+00	4.716518611987709164e+02	2.241310027779716663e+01	6.614219642001947008e+00	2.715830613972916296e+01	2.385338306232838601e+00	3.431937326127625420e+04
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	3.678616213950932412e+00	2.059342681525546084e+02	8.864162752736673312e+00	6.133030099695846005e+00	1.150290793755734597e+01	2.346389548040569206e+00	2.514819239704745087e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	8.128641639881131198e+00	3.919133634298308380e+02	1.953387464487877168e+01	8.492149370903254280e+00	1.844332524438958032e+01	3.405666262865999716e+00	4.972927094391433457e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	5.322046569394268900e+00	1.672234500545110336e+02	8.118419949390018431e+00	9.153711293077240185e+00	7.033048270559526749e+00	4.245179022118023227e+00	6.209445192513068150e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	8.226040220140829362e+00	1.822249408377298323e+03	7.233387330451279240e+01	1.116451713589567296e+00	5.216231365544772416e+02	4.669559431466834276e+00	1.787403555984458653e+06
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	2.196209002065870664e+00	9.845490350273972524e+01	1.413706773029444008e+01	7.070877026752611982e+00	1.594901358808607128e+01	7.124214707964661386e+00	1.493965399673596721e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	5.765244965141495648e+00	6.446148586043742625e+02	4.241347399007720043e+01	1.467753219067245540e+00	2.316553647764650066e+02	1.496220336771346471e+00	7.281091378988968208e+05
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	1.962384094870849527e+00	1.371493061417750425e+01	2.305720140160390841e+00	5.934910926180570812e+00	3.204687071392902986e+00	1.309862978265166955e+00	2.504480196426867735e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	1.762091390262239932e+00	4.506862333325750001e+02	1.716508008571642918e+01	3.583493499545856498e+00	3.832629807009432454e+01	4.510888506098111428e+00	3.703596463829465210e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	9.362519738561472238e+00	2.216296012045712359e+03	7.954826172048029775e+01	3.762365088577247274e+00	1.691807466136685605e+02	7.269945248140824212e+00	4.377953093982111313e+05
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.257946684918249236e+00	3.718814170758306670e+00	2.772623452934937660e+01	1.089082819836822225e+01	4.180399928642231977e+00	2.078432494204365355e+01	2.738243916647724152e+00	4.896529486932920463e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.791106223512725748e+00	6.064458638833341020e+00	3.366819981726692390e+02	1.594895467278126766e+01	6.593753440396475263e+00	1.925508225153454944e+01	6.781083650700419518e+00	2.481094733591468412e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.703187658261631654e+00	4.925180551771226156e+00	3.496825318478005329e+02	1.301431835271186976e+01	4.000849022825651247e+00	2.602546346699461921e+01	3.340613651721857202e+00	7.277363761306341075e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	4.123629214320209790e+00	4.904029741269390286e+00	1.215191481075060267e+02	1.830317717761509755e+01	7.597813768154727754e+00	1.927212911347028168e+01	8.970236901526508433e+00	1.076292474141574530e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.723816821909508690e+00	6.114305840075203058e+00	9.109840581122687908e+00	9.426337672212914853e+00	9.544663877916304955e+02	5.393195915616674085e+01	4.643052085964627373e+00	9.299723950057040156e+01	9.067015748847984113e+00	5.593919942008673388e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.883545352969510311e+00	9.237621433478361510e+00	1.191923975401164570e+00	1.419610774270518849e+00	1.617608732085626286e+02	6.920490300365266911e+00	1.609382880783121417e+00	3.399880212133178503e+01	3.675681971361418388e+00	7.480142668478360065e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.631293909096274586e+00	1.299784806297001660e+00	6.985731898782957749e+00	8.507471051285095953e+00	9.973846021293375941e+01	3.079644957253748672e+01	8.049592756130229176e+00	3.050832239021781334e+01	3.070148414722261965e+00	3.673466873556926203e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.506942921925472412e+00	7.276096227761309265e+00	9.670742549086599027e+00	9.948405915755278883e+00	1.373237704591265583e+03	6.471987166946283310e+01	3.575552007192269954e+00	1.448863167846466240e+02	4.695184860952611672e+00	2.754264880438785767e+05
1.000000000000000000e+00	1.000000000000000000e+00	2.259605947882365573e+00	3.677860349058638789e+00	6.033918558185230374e+00	6.583498574600525011e+00	1.506500108956884105e+02	1.484590055227345040e+01	4.893632442671116856e+00	2.429566096307918244e+01	3.159391716877005152e+00	2.759197335234164257e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.626009930211931298e+00	9.315918067095587674e+00	9.438956217445598540e+00	9.647181131012795063e+00	9.567256061204403750e+02	3.503007608778535342e+01	7.177597600957154711e+00	3.908613936757413398e+01	7.046960327992199957e+00	1.909736088941539128e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.299221883972791147e+00	9.738212911633668867e+00	1.471016093594487151e+00	1.678911813276812603e+00	1.843792916008878535e+02	7.150256194338174609e+00	3.994818210910246581e+00	1.441837253163452282e+01	8.434835232134382466e+00	1.294973855716176104e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.106313683398806980e+00	9.493172019666747730e+00	4.773839480684279657e+00	4.976212429815303651e+00	6.942300134336072688e+02	2.540765280932257397e+01	1.506636592682437881e+00	1.347816468575510385e+02	7.058253419497259706e+00	6.764972434159088880e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.056356284167488724e+00	5.274154483794854187e+00	3.348177825911215155e+00	3.720608585575333027e+00	4.257797376098180848e+02	3.002606966977720404e+01	4.365234173253596417e+00	5.493880039893807776e+01	8.427564622295790286e+00	2.236605254118628727e+04
1.000000000000000000e+00	1.000000000000000000e+00	2.807971331577355567e+00	8.756745756760093258e+00	7.579254752804300388e+00	7.805388870421182901e+00	5.566815850097584644e+02	2.185061129216449771e+01	9.500380358100366962e+00	1.842759226453265242e+01	4.575026835439580886e+00	6.288918585066759078e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.635095316605735150e+00	8.609026495359083597e+00	9.828403662430162058e+00	1.006919125209551780e+01	1.428342613905035932e+03	5.669128298889353346e+01	6.771666529774927668e+00	6.691062396127820477e+01	2.392104770722320417e+00	2.233062855746751011e+05
1.000000000000000000e+00	1.000000000000000000e+00	6.329581376223640810e+00	3.880408922389640303e+00	3.314158109269508046e+00	3.818881970342169030e+00	2.441632718610434267e+02	2.420806134528319120e+01	7.038372157470377921e+00	2.753663855332590771e+01	7.642989127225106927e+00	5.528606708520288521e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.412087885585436631e+00	8.459788398675630816e+00	6.887575581648896161e+00	7.123660448190680228e+00	2.482195111700114296e+02	1.015055626252480181e+01	6.694336266817921377e+00	1.206687040756268559e+01	4.236372386449298588e+00	1.083415170874385694e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.469784780843464311e+00	1.327458552638508760e+00	2.786665757876897409e+00	4.294709637572184491e+00	7.165075192458195374e+01	2.768162119148296085e+01	2.795505031697749665e+00	7.953471515483295207e+01	7.036175836697721842e+00	5.227786082678244384e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.535186344737078823e+00	6.354824735234937627e+00	6.076080140271290730e+00	6.409141742930762220e+00	2.944672729065402450e+02	1.627101311941614625e+01	4.768273275772300757e+00	2.727839121272326395e+01	3.431371635199010228e+00	5.946891999139153995e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.587389330244187491e+00	3.061890368498174197e+00	5.177860457283835594e+00	5.834979527265115706e+00	7.561427719893593746e+01	9.264982028082826560e+00	7.766661175740280143e+00	9.459457318419387306e+00	1.727453540709692037e+00	7.736189063597071254e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.541006716061771087e+00	2.077459112899164406e+00	9.744521921598371605e+00	1.070738107248405768e+01	5.818819360598552066e+02	1.021168139232062231e+02	1.909423258075602758e+00	4.273294405069085542e+02	9.925745792902562314e+00	2.388131841264737013e+05
1.000000000000000000e+00	1.000000000000000000e+00	9.693428232652424370e+00	1.700247451229346840e+00	6.485874449695923971e+00	7.660310582365449150e+00	3.181979801350764774e+02	7.422495934900879888e+01	3.509738436228032388e+00	1.696529924230605388e+02	2.406921925872024914e+00	2.178010217845552252e+05
1.000000000000000000e+00	1.000000000000000000e+00	8.283409395633507089e+00	7.267243330218014385e+00	4.148997821210897996e+00	4.426834743137657568e+00	7.482501132046033945e+02	3.658290267705048393e+01	3.481994955752550247e+00	8.389639875015006965e+01	9.888104383451521429e+00	5.238234014808649954e+04
1.000000000000000000e+00	1.000000000000000000e+00	3.744598670078639113e+00	4.061042100647052955e+00	2.028186470890545490e+00	2.529020917348834718e+00	9.238550027195682901e+01	9.447637113070641135e+00	4.882688302853057216e+00	1.550325736407852517e+01	9.797462139875417364e+00	5.964894372377675609e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.873367970117427284e+00	7.510548392104560378e+00	2.363906694321258328e+00	2.615304311255857161e+00	9.926264798500626796e+01	4.929103784794830467e+00	9.813791351829756593e+00	4.046350698149835168e+00	8.156547604917518512e+00	5.318084332515425672e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.165471851163441208e+00	1.581542596175221860e+00	3.022339327532126863e+00	4.279199288274583957e+00	1.027950334734528042e+02	3.067767448202123859e+01	1.605109662601369891e+00	1.525599099356322199e+02	6.927565710461458082e+00	1.615104581025260632e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.970251952934555462e+00	3.842548002955914477e+00	3.267663007796920649e+00	3.787755786673221881e+00	1.858792346805007298e+02	1.879805186234477432e+01	5.665582111878320504e+00	2.648809745625567658e+01	6.198713737194365692e+00	3.935011190672957582e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.115404014969417101e+00	5.857016999051240624e+00	8.666540173527565116e+00	8.995438117666081368e+00	3.190069632844929401e+02	1.887580091263128423e+01	2.617129235950593547e+00	5.774412841792660345e+01	8.781168769210674796e+00	4.307441512133989818e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.450511493155010712e+00	8.115689554107969883e+00	6.053174621488633278e+00	6.293364660533948829e+00	8.049288646345120242e+02	3.438945930246417504e+01	9.737409183230941068e+00	2.827193951688869689e+01	3.603316511136984701e+00	3.443858540009304124e+04
1.000000000000000000e+00	1.000000000000000000e+00	1.310811242500834251e+00	3.871914836013095940e+00	5.719299854305652353e+00	6.219912960222323761e+00	8.691189169589455332e+01	8.147492387664476254e+00	2.013273527264812124e+00	3.236552477641986059e+01	5.212631756846819009e+00	7.859191328907115803e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.172614658491649919e+00	6.642122587965267222e+00	2.029777211975168694e+00	2.331093667795489655e+00	3.710905747085454891e+02	2.149374270347473370e+01	4.630283045430232391e+00	3.703816080508697439e+01	6.578435004350140503e+00	1.902512191628080109e+04
1.000000000000000000e+00	1.000000000000000000e+00	3.332013644146306408e+00	8.972570036348759714e+00	8.736855856653500396e+00	8.955669200058526513e+00	7.835198841669102876e+02	2.981957778635142731e+01	7.638953996621906661e+00	3.135816559637375533e+01	4.701135676208447300e+00	1.725175912856020295e+04
1.000000000000000000e+00	1.000000000000000000e+00	6.959733530603437579e+00	6.543154605016288983e+00	7.505554702201637340e+00	7.823623168480613010e+00	1.025544582535965674e+03	5.436563787448576335e+01	7.331375791340374981e+00	5.925574350496380305e+01	4.852221861546803794e+00	8.717603685744164977e+04
1.000000000000000000e+00	1.000000000000000000e+00	3.815809962947720457e+00	3.097706716655192594e+00	1.611416852852129988e+00	2.254742226079642808e+00	5.704652129660777859e+01	8.630565388413709016e+00	4.799247497089954351e+00	1.433046427881991569e+01	3.986430236415757111e+00	7.323952124829141894e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.676419734441787490e+00	1.232914708463660691e+00	7.368340422836752168e+00	9.010038793223683840e+00	1.534861768076391400e+02	5.116997118795426047e+01	4.114544806431009505e+00	9.947356720378380146e+01	6.087413184426724300e+00	1.427943685631680273e+04
