G	c	dx1dt	d2x1dt2	m2	Fc	m1	Fg	p	d2	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	4.503341671141138036e+00	6.994601571740171941e+00	4.019990420105545859e+00	1.902093825207221034e+00	6.142563856960245872e+00	4.585213620210994101e+00	-5.484513002032197271e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	9.673222478027859950e+00	8.183582773658031329e+00	6.000872243170816134e+00	6.978703362307854263e+00	8.275226664530292098e+00	5.267391889160375484e+00	-7.371066367185085788e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	4.059958145537739682e+01	3.198012713017155395e+00	-6.256381925240774677e+01	-3.351072140226756346e+02	7.883956111475220574e+00	8.680533367465161021e+00	-2.542323691723028034e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	1.241465165082833622e+01	6.585588322463244104e+00	1.143476691130231515e+01	9.154755363538759738e+00	2.329242331813523581e+00	4.045217999175319434e+00	-1.785333980672658249e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	1.448145960968007984e+01	6.164876220969461862e+00	1.886288612856162672e+01	6.637236264179121825e+00	2.443132707622976518e+00	8.791841872226466847e+00	-6.240861039202989069e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	2.719391757920104524e+01	8.363976419575394061e+00	3.220209088220070157e+02	1.776295320022590261e+02	3.440776858186515685e+00	1.864266678832743107e+00	1.866579271706023135e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	1.822956671561067665e+01	9.243693859914868582e+00	2.192129747797753581e+01	4.851159616691459675e+00	4.277969587644306237e+00	7.991877892846448894e+00	-7.369200737371265575e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	3.440305345360605571e+01	1.111773344208471848e+00	-4.016049732666576944e+01	-6.355607212266783108e+02	4.585570464584341366e+00	8.558296917135800541e+00	-1.747439999216935291e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	2.891091327662073329e+00	6.996186165567719328e+00	6.996785883839012898e-01	-6.999623176134966984e-01	7.160553391225549014e+00	2.615294130642066062e+00	9.572893653836217709e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.464234324639101992e+01	1.411454879117332473e+00	-1.989461823889141101e+01	-1.350306182361977960e+02	1.537707797470883042e+00	4.880159700559334013e+00	-5.196873028876161982e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	1.802036476958913447e+00	5.993409531392163814e+00	2.654716501702777398e-01	5.570930290455994305e-01	1.400523195467851423e+00	2.538753187404430456e+00	9.887434018223758558e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	7.551632633407973749e+00	3.621231811907934084e+00	5.981444168452201282e+00	6.592782496917886093e+00	4.510240615936338848e+00	7.326266631382548411e+00	-1.359157547329817461e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	4.367796144524612600e+01	3.836061043367944734e+00	-7.382188449004193842e+01	-3.815456521717147780e+02	7.220675995326046426e+00	5.788626517985512088e+00	-1.976395630470319276e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	1.366058293630361131e+00	4.139667096590035733e+00	1.578101476063611841e+00	-2.487850624506082742e-02	2.703756887379940910e+00	6.719195648767480655e+00	-7.554712213471859172e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	2.157179061039538226e+01	6.607687236569346645e+00	1.538801658225253277e+02	8.859430802762258850e+01	6.746034428617108780e+00	2.816300361303656796e+00	5.200304661505115611e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	2.149240622626370012e+01	4.029541412528292454e+00	-1.482985736118466775e+02	-1.160394677825588587e+02	3.277510253041624022e+00	2.830620416908021575e+00	-4.049531631072346372e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	5.635688220929622183e+00	7.631928900030665375e+00	5.960231101387490682e+00	3.137418420792754237e+00	9.045049324361285059e+00	1.401200596729252235e+00	6.339982811181558020e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	2.787801173756220052e+01	4.701770429361659787e+00	-5.661082490282803548e+01	-1.585565821113855236e+02	9.133528510904593389e+00	3.873148512416132672e+00	-1.460037046662811910e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.950445050361526711e+00	9.299250570975260644e+00	1.318512674117296335e+00	5.545380634760499916e+00	1.576350611953552860e+00	1.601768999683471861e+01	1.490049143245778573e+01	3.664920168040288306e+00	6.019902993280367376e+00	-1.267868915265205132e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.613097760201319009e+00	1.313622590119733147e+00	7.036773744015782484e+00	4.525283745101961408e+00	8.047658114776815808e+00	2.934222632013049292e+01	2.210390196265672458e+01	3.048550361659778662e+00	8.831224286273103630e+00	-6.689739653309182188e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.508351056160433856e+00	7.305241040781356610e+00	9.636465607106524445e+00	3.547741034865052967e+01	3.538795223587228200e+00	-5.577718773735755065e+01	-2.461136118555844234e+02	4.602847395991112478e+00	6.991568373905455047e+00	-1.398656707282681388e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.173985609795511476e+00	3.696470612563533820e+00	6.007335540782873906e+00	1.121398707546090456e+01	4.892053841774520961e+00	-5.817975573837948389e+01	-4.113370995319649381e+01	3.202692917002218032e+00	4.959970770629302805e+00	-6.303957536512091231e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.684335869516643047e+00	9.312807243112471767e+00	9.484219488039618895e+00	4.380871798903464764e+01	7.206803738618494215e+00	-1.834099175876263246e+02	-2.201429536395279456e+02	7.141516611336868436e+00	9.617521940048446183e+00	-1.771327237996832338e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.331209526187143055e+00	9.691680932885450517e+00	1.414494962789612176e+00	6.894497027356080388e+00	3.902566258627229168e+00	4.003413652212221230e+00	1.976790361577444699e+00	8.399874495709502398e+00	7.408468569278380045e+00	-2.476530589570527141e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.134773600249389780e+00	9.493829009481533632e+00	4.829200350861690083e+00	2.267699230365911589e+01	1.569325357967293888e+00	-3.327707250257488880e+01	-1.337631505515767287e+02	7.051467987722065622e+00	9.270245168178375295e+00	-2.601106164179517677e+01
