G c dx1dt d2x1dt2 m2 m1 Fg Fc d2 p W d1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 2.92424417e+00 1.53532730e+00 4.54271968e+00 -1.26004606e+00 -5.76545300e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 3.25387641e+00 6.74479824e-01 5.26092093e+00 -2.94213722e+01 -1.83728415e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 2.20632844e+01 2.41337823e+00 8.69092654e+00 1.19814583e+02 -2.51686214e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 1.16877816e+00 1.01626588e+00 4.06003947e+00 5.38180982e+00 -1.21959435e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 1.31448510e+00 2.86797584e+00 8.82684716e+00 1.87858161e+02 -1.55665979e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 3.14801724e+00 6.51809076e+00 1.79320988e+00 7.66780633e+01 -9.72012126e-01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 2.34313525e+00 6.62965065e+00 7.99118593e+00 3.70893827e+02 -4.79880413e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 3.36790332e+01 1.81691035e+00 8.62792870e+00 5.95977315e+01 -1.93204437e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 1.59978041e+00 4.95565279e-01 2.63635888e+00 -1.26569709e+01 -1.35070922e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 5.54833749e+00 1.46165582e+00 4.87311879e+00 2.56979172e+00 -9.13461852e-01
