G	c	dx1dt	d2x1dt2	m2	m1	Fg	Fc	d2	p	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	6.087867119079549028e+00	2.913791632683666144e+00	1.524914131942074480e+00	4.537281749503044637e+00	-8.105235541473616578e-01	-5.762962289419486694e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	8.262424578637828532e+00	3.206932285763280266e+00	7.331399472782175186e-01	5.287446321586919851e+00	-2.935291910380325575e+01	-1.836586833418015985e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	7.784901463983708858e+00	2.215766442226021127e+01	2.445319549617383625e+00	8.733740450173119285e+00	1.197046387364550810e+02	-2.383877914858684388e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.346583167784840995e+00	1.056692681265073652e+00	1.010805435727366364e+00	4.003780344361742571e+00	5.225020765550094204e+00	-1.224780898512446292e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	2.362526441459011473e+00	1.501859142775894496e+00	2.893355838185314166e+00	8.927454092900978466e+00	1.874878572672814130e+02	-1.581418553745125699e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	3.281256826486515177e+00	3.217650068813123543e+00	6.482468427365124519e+00	1.820613394834288634e+00	7.742973824731161869e+01	-1.017492468450781118e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	4.339134260676367205e+00	2.202024241635705870e+00	6.636885610201552765e+00	8.019686791583390928e+00	3.709011469348224068e+02	-5.002092297669403997e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	4.678477285280257192e+00	3.366124198961583147e+01	1.789795410377320373e+00	8.536746879701240687e+00	5.886113109616163541e+01	-1.880089379907519120e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	7.046847764899460742e+00	1.586403575682189038e+00	4.467487979704576340e-01	2.679949041009694888e+00	-1.287980452920735708e+01	-1.371631330631153567e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	1.454715064688146819e+00	5.579440008732780676e+00	1.484336428344710912e+00	4.900901374905634711e+00	2.644274051890161736e+00	-1.036998707875418813e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	5.888647286554402172e+00	1.366068801606943106e+00	2.091971667159617798e-01	2.224133961421182804e+00	2.578604036322703852e+00	1.393522583381706781e+01	-8.096074084736034848e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	3.525294857228431944e+00	4.559934110243600180e+00	1.975399657041625678e+00	3.346996814996043845e-01	7.342360588812629985e+00	-4.855558111747117067e+01	-3.719600995657234677e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	3.828822443914433826e+00	7.350010449932732115e+00	1.770359012408268384e+01	2.151553310817469367e+00	5.763945192276627161e+00	6.945046101809275285e+01	-2.296076792857354665e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	4.120465916107197479e+00	2.703729442931302351e+00	1.420129807201442995e+00	1.511427280869908518e+00	6.680481257969590914e+00	-5.452813573062721630e+00	-2.348963119667853050e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	6.691987042793133611e+00	6.789695097098649157e+00	5.882036782749139547e+00	4.360092976804714304e+00	2.740678683033482610e+00	8.261104788529459597e+01	-7.093228242849386467e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	3.857232010208233142e+00	3.361688171926241253e+00	3.989173364017592149e+00	3.518185768785308198e+00	2.844330821586768643e+00	8.761388431361731932e+01	-1.517823515733622175e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	7.671301878903957316e+00	9.012645838525994435e+00	4.741475717300652981e+00	2.200783954701856171e+00	1.444256436386416320e+00	3.118530821436404921e+00	6.428108456787656522e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	4.667103914076850657e+00	9.122611915514937664e+00	1.780304689395588014e+01	3.210844718640576190e+00	3.971447719962294620e+00	5.318118399943902830e+01	-4.421796432346091210e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.950445050361526711e+00	9.299250570975260644e+00	1.318512674117296335e+00	1.621598761358980623e+00	3.636515848720846211e+00	2.785909373657305288e+00	5.202350899156927833e-01	6.026960464062078415e+00	-2.386548484167394069e+00	-1.960299514871475424e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.613097760201319009e+00	1.313622590119733147e+00	7.036773744015782484e+00	8.044340356187779761e+00	3.063724994994245332e+00	2.641028114079025713e+00	3.804308173131744297e+00	8.699866712125233548e+00	1.343906290884372545e+01	-5.885959616665754623e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.508351056160433856e+00	7.305241040781356610e+00	9.636465607106524445e+00	3.674177225069385599e+00	4.668501211227291670e+00	1.273388752875008656e+01	2.952459729614626216e+00	6.902746417058184036e+00	1.057864318953590583e+02	-3.061870144038994379e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.173985609795511476e+00	3.696470612563533820e+00	6.007335540782873906e+00	4.933177670515551227e+00	3.161918528667428063e+00	3.998464746383855850e+00	5.336450821776881348e+00	4.956748599998364035e+00	8.621109328977995290e+01	-2.172582601236565214e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.684335869516643047e+00	9.312807243112471767e+00	9.484219488039618895e+00	7.120101147754174242e+00	7.089497859777211808e+00	9.220826824889462259e+00	5.124177450434803660e+00	9.668791737219628146e+00	4.295907110004615674e+02	-3.546748076485856771e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.331209526187143055e+00	9.691680932885450517e+00	1.414494962789612176e+00	3.899054360778399619e+00	8.344487708001853576e+00	3.058765984947539707e+00	7.006730973584023303e-01	7.438249158295112018e+00	1.700847537309691404e+01	-7.037851086274684143e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.134773600249389780e+00	9.493829009481533632e+00	4.829200350861690083e+00	1.518868673774395939e+00	7.118256071440360877e+00	2.226268518585131417e+01	1.861438254364949918e+00	9.365079820233551899e+00	1.174187802243159666e+02	-2.006658674905987372e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.022580341163264350e+00	5.322823035626956134e+00	3.359878999079894957e+00	4.365231435520263936e+00	8.357103373169811888e+00	6.536946803953886942e+00	8.251888924747909915e-01	5.772117773040998934e+00	-2.080553716931555286e+01	-9.456753434080773957e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.755192261200174464e+00	8.733823873367461132e+00	7.605975416513810927e+00	9.417761077097962286e+00	4.556187158816468852e+00	3.750009392391840723e+00	5.457010238836759619e+00	3.424743172159134375e+00	1.480843194032998156e+02	-2.136925882239184116e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.640211843352028076e+00	8.650642889575717476e+00	9.817497863999330221e+00	6.772610920501789700e+00	2.474609608597848620e+00	3.381650827000636461e+00	3.496327585946549910e+00	1.486400263931431764e+00	3.506686774101711990e+01	-1.862909064152574512e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.294142720176743033e+00	3.912908649368012082e+00	3.273993829028643443e+00	7.012243103589532289e+00	7.659425048455694274e+00	3.669672957516162182e+00	1.032687075787354081e+00	7.545485297753923071e+00	-1.662178544232348898e+01	-1.961474288554237688e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.441591460872025721e+00	8.443608917019343352e+00	6.968297559586937417e+00	6.691042286275134643e+00	4.262764569397377912e+00	4.434255119715180271e+00	9.730657730267258998e+00	2.101564716468918625e+00	1.683482035195638673e+02	-5.216206510348124770e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.350948403152234079e+00	1.410329822771493768e+00	2.769254717160951174e+00	2.830226220432744633e+00	6.977129344382227316e+00	7.144428882301113504e+00	8.911310589108319968e-01	3.646796295875143645e+00	-2.026808409677448353e+01	-4.551482843378790832e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.508329692192494687e+00	6.346649294930271523e+00	6.065281887036587882e+00	4.845805360160111874e+00	3.378924663011976914e+00	4.420282617847476558e+00	4.812240761012908763e+00	5.712864624682503667e+00	1.636036774209257487e+02	-2.974366109896400712e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.682710189156301661e+00	3.154057983033092150e+00	5.170967490361326746e+00	7.807659765779778382e+00	1.782336455561246424e+00	1.151220476263554060e+00	6.548475167642243022e+00	6.035421217377822778e+00	1.112549905286672782e+02	-7.649763722749415962e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.563756170934089695e+00	2.109253130120573694e+00	9.758705979554070709e+00	1.873301783707477464e+00	9.901145818002930810e+00	5.072459069770688700e+01	2.039414091270710383e+00	6.460817774172924466e+00	-3.454117661446770171e+01	-1.909126552403341615e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.699715688483347975e+00	1.691696164245823253e+00	6.419826878567536532e+00	3.520645740941186652e+00	2.378855978095051338e+00	4.506565757750750301e+00	1.334328147431429024e+00	2.477899676116871674e+00	-1.880985740174693177e+01	-6.432203625258027024e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.383022724061895303e+00	7.217209206492506191e+00	4.114367114469459352e+00	3.490288205409360245e+00	9.948294872456326488e+00	1.194331566268289535e+01	1.005145020577855375e+00	4.388581606463072937e+00	-4.536454412427247007e+00	-1.026994757372148825e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.615094892522843661e+00	4.053964615935394811e+00	1.992736482504497530e+00	4.816057208475560181e+00	9.738331146156028240e+00	4.137765415785880307e+00	1.061669584219559592e+00	6.524729054099296377e+00	3.781429621387434548e+00	8.698264168979806144e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.834921873320037422e+00	7.511565480916056359e+00	2.407894892914207663e+00	9.844876505720298709e+00	8.159028037425184010e+00	1.969839026148467731e+00	2.496786580773391329e+00	9.720817675310359007e+00	1.649780974953607711e+02	-8.331060223182269908e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.136384508400485771e+00	1.518206082336289953e+00	2.978932604264686201e+00	1.708031564154401938e+00	6.937143799702971236e+00	1.296888209830337502e+01	8.858275533455858275e-01	7.642060951912294620e+00	-4.301534734656316061e+01	-4.715461182695863229e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.007829060863204340e+00	3.825506755105877232e+00	3.161752567131416836e+00	5.670064323823806873e+00	6.200117159911408216e+00	3.518414441290245609e+00	1.371677585163334712e+00	9.295138848656595343e+00	8.952736612431076990e-01	1.290839972630182899e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.145737337980242909e+00	5.810704807196120925e+00	8.546928412872784264e+00	2.527983046508182952e+00	8.766674991220472890e+00	2.900483773400931753e+01	8.295910673276795322e+00	7.816770825839936876e+00	3.635317292255405732e+02	-4.195189547876695957e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.409721231123024054e+00	8.149108114769784805e+00	5.969815822723637311e+00	9.737727466804747323e+00	3.573371280352208856e+00	2.223420892002960780e+00	2.179614843641251465e+00	6.326837740755197892e+00	7.927168223750074105e+01	-1.381464464979201878e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.363509061392820909e+00	3.941442947350489501e+00	5.785697595076902289e+00	1.954028742031204358e+00	5.150392975792286165e+00	1.480161258585740747e+01	8.680651853660853234e+00	2.824497372829061437e+00	8.865141593303233947e+01	-2.128281902031241013e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.162054978630903790e+00	6.564767160049839845e+00	2.033814721949179116e+00	4.679159228320958874e+00	6.600800232515002364e+00	2.884913989974415394e+00	4.082917336706803346e-01	6.972584998810174461e+00	-4.319108506963770822e+01	-2.363292113845265874e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.394597510263278828e+00	9.069058075787893358e+00	8.768934467895762808e+00	7.669377772502143031e+00	4.664320541623032668e+00	5.458703463805342437e+00	5.255435193683722694e+00	6.545624024673382557e+00	2.889404278315224133e+02	-3.798538688131266383e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.906810746519052024e+00	6.535617195743457231e+00	7.534951712819573544e+00	7.331737847157985932e+00	4.900145104829160658e+00	4.982685705295310186e+00	2.074668128801648859e+00	6.394737245141162596e+00	4.602532007490432164e+01	-6.910990598994120049e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.798725675250459233e+00	3.042393311794481914e+00	1.612117540192321563e+00	4.786630564999585502e+00	3.960330613870750138e+00	1.298393411517634766e+00	8.286264915909127282e-01	5.415137020869241979e+00	-6.013995446924386812e+00	-2.358673444688956877e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.654082820373241169e+00	1.261762108599302490e+00	7.366386717385575267e+00	4.107228470462545467e+00	6.020433103261023433e+00	1.088379456802432088e+01	2.635651020900090735e+00	5.795667580167053856e+00	-1.358901810194316973e+01	-6.234541046656889129e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.977548136630933762e+00	8.806052912037582558e+00	5.949519069645325509e+00	4.578959339443675169e+00	8.642217151733012415e+00	1.117534957963877318e+01	2.018757747989974316e+00	4.065222189570964595e+00	4.787171483007373496e+01	-1.372722882356052221e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.635395565270454377e+00	1.186877561410380366e+00	1.743589495643651954e+00	3.336682389093691192e+00	2.791376222406859231e+00	1.456475490066000411e+00	1.288382910571560513e+00	5.616444293848961600e+00	-6.263880153624532987e+00	-1.648783343468179297e+01
