G c dx1dt d2x1dt2 d1 d2 m2 m1 Fg Fc W p
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 9.98465846e+00 4.54271968e+00 1.74558123e+00 1.07533027e+01 5.77274231e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.23022077e+01 5.26092093e+00 1.73336195e+00 1.31174560e+01 2.43635986e+03
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 -4.63897720e+01 8.69092654e+00 1.01599885e+01 -2.64786905e+00 -5.24199969e+03
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 3.93318390e+00 4.06003947e+00 1.59801458e+00 1.00018180e+01 2.35817178e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 4.17014681e+00 8.82684716e+00 3.86695763e+00 8.84388016e+00 2.47994208e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 9.25516786e+00 1.79320988e+00 1.13182304e+00 9.15636242e+00 9.29874477e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.48463620e+00 7.99118593e+00 3.45390149e+00 1.32619085e+01 1.05271769e+03
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 -8.27145745e+00 8.62792870e+00 1.35055527e+01 -5.77157313e+00 -1.85430341e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 8.91961524e+00 2.63635888e+00 5.32715335e-01 1.25440631e+01 7.28280069e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 -5.11834104e+00 4.87311879e+00 6.31089190e+00 -2.45509636e+00 -3.06324725e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 1.63520663e+00 2.48949797e+00 4.91978789e-01 1.05769336e+01 1.90572720e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.04967535e+00 7.35943716e+00 2.63331774e+00 5.61351029e+00 5.66314567e+02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 -7.41691291e+01 5.81812991e+00 6.38876935e+00 -1.63595829e+00 -9.63522748e+03
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 4.76577521e+00 6.71791012e+00 2.85426978e+00 6.10004472e+00 3.69584446e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.73887102e+01 2.76838270e+00 1.68999611e+00 7.39147794e+00 2.85327626e+03
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.28102792e+01 2.90571276e+00 2.14846258e+00 3.31303896e+00 7.99073089e+02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.56696002e+01 1.37347593e+00 5.86816588e-01 1.10624930e+01 1.40183702e+03
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 9.10117453e+02 3.89860782e+00 3.85979293e+00 1.82992829e-01 1.16947187e+05
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 7.99969798e+00 6.03770195e+00 3.26358650e+00 2.03394703e+00 2.19398762e+02
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 7.75816909e+00 8.72141423e+00 5.27030984e+00 9.13356999e+00 1.25211454e+02
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 -3.12857343e+01 7.00234703e+00 8.05468561e+00 -2.52690007e+00 -1.91163127e+03
