G	c	dx1dt	d2x1dt2	d1	d2	m2	m1	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	6.087867119079549028e+00	9.980983600219181184e+00	4.522958572934016708e+00	1.741729413933353898e+00	1.079439405263636509e+01	5.796915937585104075e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	8.262424578637828532e+00	1.228570327921847927e+01	5.372240460248278282e+00	1.752150518472100460e+00	1.312371337372044700e+01	2.437036641617811711e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	7.784901463983708858e+00	-4.635659026264566762e+01	8.751541698929226953e+00	1.019031461526997084e+01	-2.657919177512749975e+00	-5.229092886783235372e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.346583167784840995e+00	3.893777351584884805e+00	4.049677164955165942e+00	1.558164897450688757e+00	9.987485738006347091e+00	2.307833658351955251e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	2.362526441459011473e+00	4.236022999955402213e+00	8.875010875277093092e+00	3.938219923767992015e+00	8.810030283596503864e+00	2.239645540159190205e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	3.281256826486515177e+00	9.279649081571932356e+00	1.725609249219623109e+00	1.151233604143910849e+00	9.225073863644665195e+00	9.254603757814569462e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	4.339134260676367205e+00	7.435024976086116233e+00	8.004915740405987634e+00	3.474089331058582975e+00	1.326257762339014867e+01	1.032987527466681513e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	4.678477285280257192e+00	-8.277712410065122484e+00	8.576472580018950964e+00	1.344096643862549101e+01	-5.838906592845869881e+00	-1.803878419175712224e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	7.046847764899460742e+00	8.914912267990287020e+00	2.543719665608840330e+00	5.635912872797926854e-01	1.252369362991166213e+01	7.079740842481459140e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	1.454715064688146819e+00	-5.107406145274039133e+00	4.916159863314892853e+00	6.330570968530278009e+00	-2.448287847133503892e+00	-4.262235992542532159e+01
