G c dx1dt d2x1dt2 dx2dt m2 Fc p d2 m1 W d1 Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 1.88082208e+01 6.14796290e+00 4.54271968e+00 -3.78789072e+01 6.83431259e+00 1.04868151e+01 -5.33396600e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 4.80167558e+01 8.24889096e+00 5.26092093e+00 -9.79916978e+01 2.55147726e+00 5.63138433e+00 -6.45075815e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.88209613e+01 7.84144837e+00 8.69092654e+00 -1.31036153e+02 8.85155107e+00 1.74163454e+01 -3.06493046e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 5.02753086e+01 2.38509914e+00 4.06003947e+00 -5.11356663e+01 6.51804615e+00 2.74167967e+00 -4.10292541e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 5.07577600e+01 2.34324523e+00 8.82684716e+00 -4.17627581e+01 2.41483495e+00 6.81842194e+00 -1.10823735e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 5.88655625e+01 3.41356931e+00 1.79320988e+00 -8.18587100e+00 9.66104252e+00 3.68889626e+00 -4.85376086e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 6.61935625e+01 4.24967254e+00 7.99118593e+00 -2.34952872e+01 5.66528917e+00 1.04207313e+01 -1.45480931e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 9.58837348e+00 4.67610023e+00 8.62792870e+00 -1.51190151e+02 1.65608607e+00 1.57765889e+01 -2.71655068e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 2.29439695e+01 7.11727495e+00 2.63635888e+00 -2.93172283e+01 6.64149614e+00 2.20035284e+00 -1.23946482e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 7.92629533e+00 1.51012389e+00 4.87311879e+00 -7.15753616e+01 3.27879016e+00 8.73734674e+00 -9.40792677e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.77650432e+01 1.31205434e+00 2.48949797e+00 -4.89408891e+00 8.23324107e+00 -4.43227039e-01 2.19873173e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 3.54886438e+01 4.52719507e+00 7.35943716e+00 -1.40307855e+02 8.36039866e+00 1.64052558e+00 -3.17904498e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 3.57163639e+01 7.27447323e+00 5.81812991e+00 -9.80205942e+01 9.81052620e+00 1.08082487e+01 -2.03631622e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 5.65866613e+00 2.74091809e+00 6.71791012e+00 -3.78959201e+01 5.51682578e+00 1.73547358e+01 -4.55632546e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 4.84496593e+01 6.77354033e+00 2.76838270e+00 -1.34277571e+01 5.09461192e+00 4.22121335e+00 -5.70817199e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.73690972e+01 3.33845324e+00 2.90571276e+00 -1.46936701e+01 7.78128045e+00 2.56523670e+00 -4.56464615e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 1.99363677e+01 8.97477498e+00 1.37347593e+00 -8.09347272e+00 2.19223591e+00 4.25358698e+00 -1.76022309e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 2.83619549e+01 9.06120950e+00 3.89860782e+00 -4.36260657e+01 5.92223962e+00 1.13996331e+01 -1.36228045e+02
