G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	p	d2	m1	W	d1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	1.886379766826739868e+01	6.141816882249848675e+00	4.541019814974282198e+00	-3.785114151642064684e+01	6.836778300866514613e+00	1.050038858897321603e+01	-5.339231924297542520e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	4.805256244048398173e+01	8.255822110410710124e+00	5.265228276086735271e+00	-9.787126346553647238e+01	2.548767205776064415e+00	5.624752648538542843e+00	-6.443175199815557619e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	2.881492544570377490e+01	7.832950200795565365e+00	8.695556609634298439e+00	-1.309853686845910374e+02	8.866185790569041103e+00	1.743543614364265082e+01	-3.064162340482620834e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	5.026313687531550300e+01	2.396632094308385419e+00	4.058483116214253172e+00	-5.114073109374086101e+01	6.514948950628724589e+00	2.755100927967669922e+00	-4.100811845324462013e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	5.078872661507308095e+01	2.341005115860546049e+00	8.834068865250703340e+00	-4.176257530037682386e+01	2.412467594209704025e+00	6.825630008935579696e+00	-1.108229704947103329e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	5.892518773239459762e+01	3.414362478195523742e+00	1.777252442425731882e+00	-8.215872373709222742e+00	9.656283930181439601e+00	3.691093298419595214e+00	-4.863955732947945165e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	6.622224801049355847e+01	4.239366731699734991e+00	7.984477701383476678e+00	-2.354958969100555777e+01	5.672240536571023561e+00	1.042529442868994671e+01	-1.457328317931994377e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	9.653693111244791680e+00	4.675761778083037612e+00	8.622905376039703640e+00	-1.512217466635717074e+02	1.654058251855242023e+00	1.579356261795061656e+01	-2.717778189008952268e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	2.291622865153484767e+01	7.118519480518819442e+00	2.631861775505803358e+00	-2.936136493346220533e+01	6.637552766808325622e+00	2.217848881365366953e+00	-1.243773868475612332e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	7.901651265224456822e+00	1.509654569507747679e+00	4.874963589212926607e+00	-7.153801455658395980e+01	3.282635839408188705e+00	8.756435225979700476e+00	-9.395810968594599899e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.772928433637538248e+01	1.308987266708068642e+00	2.491089169711135920e+00	-4.955319238641613389e+00	8.225732254325366810e+00	-4.426361040704655525e-01	2.187346152345254868e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	3.550193029382687371e+01	4.522039182380646949e+00	7.361598663355887417e+00	-1.402316476505881724e+02	8.363799123568142591e+00	1.648461089876934738e+00	-3.184775144508878597e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	3.572164539232463909e+01	7.280631149599698482e+00	5.821400120611479601e+00	-9.797760664560273369e+01	9.820216621754923381e+00	1.082746015474155676e+01	-2.037299888625911422e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	5.654096013432126533e+00	2.741085894859378147e+00	6.712697674932304182e+00	-3.789474820525304466e+01	5.519908001703892175e+00	1.734581724577257233e+01	-4.549074171074290973e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	4.847399874665610042e+01	6.781932727926480275e+00	2.761699566335328981e+00	-1.342773888792161685e+01	5.098081946217983607e+00	4.216660287680231711e+00	-5.693175411330092572e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.740616099556183372e+01	3.335585518041525699e+00	2.907887041272608108e+00	-1.472552473175337795e+01	7.786013385778220552e+00	2.565466009238027922e+00	-4.552905572589655492e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	1.989048153019520981e+01	8.972406675956651867e+00	1.370018363148451934e+00	-8.078034485633658335e+00	2.201536344776792387e+00	4.266450398091647500e+00	-1.753531056503349461e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	2.834400023344058539e+01	9.065651999360392566e+00	3.889991910583282753e+00	-4.356386949113537810e+01	5.928821176425579154e+00	1.141271920328530243e+01	-1.363909560751158381e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	1.494794122537051706e+01	3.666744579933914672e+00	6.043030919978058080e+00	-5.598661516858467735e+01	5.918620106365500178e+00	1.034428379770117257e+00	-1.821661665336512215e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	1.050032968490462970e+01	3.063334118294914088e+00	8.729068010739124972e+00	-6.280902608073946425e+01	1.810175079959737143e+00	9.119452449994149390e+01	-2.362928970894547831e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	2.596738567240592843e+01	4.707713693463406734e+00	7.010889895556807083e+00	-9.059761979930233622e+01	4.757037479306749361e+00	1.812789749947253526e+01	-2.622430690593508302e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.253530493387425615e+00	3.680012648666501907e+00	6.029807267174340346e+00	4.904091794858275399e+00	1.802498376345462106e+01	3.158400806941634276e+00	4.919592868096694716e+00	-2.164473118941056029e+01	8.683786056002436027e+00	1.431887684065537059e+01	-1.030548449269826392e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.622631541337138827e+00	9.316691754751460053e+00	9.427337872997981094e+00	7.170792631623955415e+00	6.677313650246152577e+01	7.041546313886547281e+00	9.581515006398303669e+00	-6.883986853205209400e+01	8.699912597188085073e+00	1.873033640989648063e+01	-3.457617573229005075e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.302411608476164773e+00	9.733831692950284165e+00	1.468604021385557123e+00	3.995603152512712253e+00	3.887213691707271579e+01	8.444759930248977753e+00	7.480722154201193241e+00	-5.853393691940664922e+01	1.891142458951462491e+00	2.152192482246196636e+00	-3.845885038954013879e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.113772272434384369e+00	9.499956335857499212e+00	4.772507415098722561e+00	1.507534386523945003e+00	1.434554077250705895e+01	7.050237127885593758e+00	9.367967907262835681e+00	-9.424515436642315080e+01	1.799719481307355817e+00	9.288535642253076929e+00	-1.737199530648466634e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.075621788065570072e+00	5.253048916511689370e+00	3.341199659982228010e+00	4.357916167881770164e+00	2.297877186168952335e+01	8.420156918770645760e+00	5.754385138143895517e+00	-9.025993402627416629e+01	3.366442978853183554e+00	7.093669667551042224e+00	-7.276277138834892355e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.803688428827614043e+00	8.748642910171319897e+00	7.581777968431921977e+00	9.496335309164278371e+00	8.322852726772687504e+01	4.573305763445645766e+00	3.331649343422714793e+00	-1.804422635719291890e+01	8.869392038198922634e+00	5.393875255097485777e+00	-9.140212199585747044e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.627040366967531959e+00	8.599957175006828436e+00	9.839123263924044238e+00	6.775559998685835694e+00	5.825953282663907373e+01	2.391543393984375765e+00	1.480452966960736694e+00	-1.637830915058384562e+01	2.166167655022605221e+00	3.299171865077491717e+00	-5.595118764163935765e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.329754322977696468e+00	3.872362896387803843e+00	3.314613406522834094e+00	7.043641394041995518e+00	2.731339696043341547e+01	7.640102468101190425e+00	7.535784599884196133e+00	-9.314390926992561504e+01	7.482093781785086328e+00	1.194228428802074227e+01	-9.019910324889475817e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.409008822833359487e+00	8.458184692161516693e+00	6.890169401421000650e+00	6.700967088517618464e+00	5.659978202574141193e+01	4.246713033608977561e+00	2.098838478157797116e+00	-5.359478021775472278e+00	1.916605413864137519e+00	3.328064393563777479e+00	-5.083702933567487747e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.478922446616445896e+00	1.324282059878606033e+00	2.782944191580707383e+00	2.791369233822048379e+00	3.740689733387252414e+00	7.043367334742716146e+00	3.726202441685577238e+00	-4.566838029048955150e+01	6.602346153672079332e+00	1.424857023488151775e+01	-3.598979443151308288e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.537255364263748536e+00	6.361878850298415600e+00	6.082556720387852778e+00	4.771386302135574908e+00	3.035850178617675610e+01	3.440716910094059777e+00	5.784096793166036754e+00	-2.878942712184546338e+01	4.210254281133550158e+00	1.052092907695594626e+01	-1.313898547615679320e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.582801717226041127e+00	3.072255898416893505e+00	5.179478093207097622e+00	7.756102953550346513e+00	2.380020966407309047e+01	1.728956064994802366e+00	6.087714821436261303e+00	-1.896205085526353074e+01	8.111681064284612219e+00	1.587270309067559104e+01	-9.581873713838949413e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.547157694226108049e+00	2.088338512600462771e+00	9.757322949711422666e+00	1.910668861417909259e+00	3.925696301266729193e+00	9.937117134576810784e+00	6.400050445417988954e+00	-1.211265326945572269e+02	3.107370892695584086e+00	5.940352483363807323e+01	-2.457121936436282965e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.685423397870591700e+00	1.692488558270120569e+00	6.478634440338962186e+00	3.493480562710518100e+00	5.936018492171639238e+00	2.402058830478068341e+00	2.503172473396394704e+00	-4.798119431229083176e+01	6.757115784377589307e+00	1.702288806400648724e+01	-5.741604952266644091e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.277776894087255144e+00	7.273034626496686528e+00	4.156143786919860972e+00	3.482853479774175032e+00	2.533987456077822031e+01	9.888106207463765784e+00	4.417141551272364630e+00	-7.082082788266248485e+01	3.122065383972369101e+00	4.946615065528021660e+00	-6.948052086462554655e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.740589597786282194e+00	4.061085451534687252e+00	2.018438384636462413e+00	4.891023098116018097e+00	1.985718795009033499e+01	9.788450731145276862e+00	6.561199848420269376e+00	-4.418670701484933971e+01	7.420088467495136619e+00	5.958128368912848138e+00	-4.374379874088983655e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.882505748019443814e+00	7.518742727783450874e+00	2.354848571974814231e+00	9.823359596094791257e+00	7.389304020819153607e+01	8.136398900521959021e+00	9.734595325336401928e+00	-3.307633813643846565e+01	8.867243028705280139e+00	5.415574516925050652e+00	-7.365860937737842562e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.157753160362977596e+00	1.586646593389666515e+00	3.032574494717975799e+00	1.612627400756846185e+00	2.540133618581799979e+00	6.940305822170813599e+00	7.551040081956018390e+00	-1.058028857878557858e+02	2.133023430978164381e+00	2.804147576962359878e+01	-8.710470401332305812e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.953519569945722623e+00	3.829808677076000922e+00	3.260159268444573044e+00	5.669290145670541570e+00	2.181318359133080165e+01	6.192013647000726984e+00	9.306223726493611181e+00	-9.049838685341248379e+01	8.797088704213098964e+00	1.406054655777364459e+01	-1.059547116727714666e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.098753152680472134e+00	5.854820035954187318e+00	8.662798767371896247e+00	2.612374175628978890e+00	1.526344134419388610e+01	8.796406585288444546e+00	7.862227136837232955e+00	-3.196902269777738326e+01	6.332543131418612248e+00	2.272915371569298770e+01	-2.581720084412164624e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.462268966813788040e+00	8.122695268950474556e+00	6.050919660991232796e+00	9.747718447458533220e+00	7.904512266160666911e+01	3.603507214768711275e+00	6.314404514087759601e+00	-6.843551103249573941e+01	2.140166684426012544e+00	9.218551657604812988e+00	-1.479229664237624888e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.309338561784235466e+00	3.872584905472758798e+00	5.705725542175871468e+00	2.019223204728349597e+00	7.796600043755619325e+00	5.208571788568085559e+00	2.728859500927958148e+00	-6.297079608564238207e+00	4.851369283763287577e+00	7.712174859187019393e+00	-5.251238863915691724e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.188078782533047217e+00	6.640821986238091057e+00	2.031740462546316905e+00	4.638704780874340905e+00	3.071677374588232112e+01	6.581937217897253944e+00	6.994047940589156909e+00	-1.254264388156244081e+02	2.450491868554423025e+00	4.089778003539445983e+00	-5.296743941617763340e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.323361101375915005e+00	8.972114732215437982e+00	8.732794293199308555e+00	7.638792963939045499e+00	6.855895124304689148e+01	4.698326188971480022e+00	6.611355253553199418e+00	-4.347965542860113430e+01	7.303407959279964778e+00	1.232490017975129604e+01	-2.184821980669618995e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.962558428472766181e+00	6.550257252807173636e+00	7.499097045577529208e+00	7.344831178386757031e+00	4.800623432793876333e+01	4.850709451843222553e+00	6.415952141000700770e+00	-8.879948957301725443e+01	7.830740153843390061e+00	1.391826512309410369e+01	-1.811255384869945999e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.802019636455869822e+00	3.095559888481819399e+00	1.614384756893786133e+00	4.809581427167804790e+00	1.489514316933609805e+01	3.972766615618038788e+00	5.401571949881986967e+00	-3.871466841181432983e+01	1.941909992211129810e+00	5.212309222678610965e+00	-3.022143981835138504e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.684655081108726193e+00	1.227793687008518209e+00	7.375335107966817461e+00	4.119846155310843194e+00	5.065042163249692919e+00	6.077258310940731434e+00	5.766714400211026437e+00	-6.459702022227179441e+01	5.553232013323755822e+00	6.743302457943475758e+01	-1.626929076231065210e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.920562952065222539e+00	8.830768277509868369e+00	5.893848343166403936e+00	4.565765709996178146e+00	4.044646623783299333e+01	8.667698561999294782e+00	4.015849921302370618e+00	-4.607537035258055624e+01	8.327919097462588738e+00	5.115827396011551009e+00	-8.762775657333980917e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.667424991955243296e+00	1.195359138281263167e+00	1.726024919664568946e+00	3.378585177423133690e+00	4.028321440443908941e+00	2.805904486600510506e+00	5.673791503031663019e+00	-2.863015278337563174e+01	9.421882230571021921e+00	8.550178383767343959e+00	-1.925739399040948285e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732148674907046271e+00	8.880521329826198240e+00	5.122726790347127412e+00	2.854657392190005361e+00	2.523865339107252836e+01	9.416919183947868532e+00	2.779016824148016429e+00	-5.217250282772910452e+01	5.624922375560278631e+00	3.105323393852136071e+00	-5.350134065922168958e+01
