G c dx1dt d2x1dt2 dx2dt Fc p d2 m1 Fg m2 d1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 5.78229786e+00 6.14796290e+00 4.54271968e+00 6.83431259e+00 1.34919509e+00 4.66915614e+00 1.88756721e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 6.64249176e+00 8.24889096e+00 5.26092093e+00 2.55147726e+00 2.68095275e+00 1.55326830e+01 9.80626167e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 1.39404626e+00 7.84144837e+00 8.69092654e+00 8.85155107e+00 8.48121225e+00 2.74520016e+01 3.97923368e-02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.78739396e+00 2.38509914e+00 4.06003947e+00 6.51804615e+00 7.90091521e+00 1.53244282e+01 3.70030497e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 8.94493103e-01 2.34324523e+00 8.82684716e+00 2.41483495e+00 4.15578422e+00 4.27142099e+00 4.70361325e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 1.47370117e+00 3.41356931e+00 1.79320988e+00 9.66104252e+00 4.39129565e+00 1.88110248e+01 4.50042141e-02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 9.64005993e-01 4.24967254e+00 7.99118593e+00 5.66528917e+00 5.80198990e+00 1.12398229e+01 1.23793704e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 5.64513976e-01 4.67610023e+00 8.62792870e+00 1.65608607e+00 1.00216904e+00 2.12539008e+00 2.60146626e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 6.97479037e+00 7.11727495e+00 2.63635888e+00 6.64149614e+00 3.17119902e+00 1.92835303e+01 1.02588140e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.00023222e+00 1.51012389e+00 4.87311879e+00 3.27879016e+00 2.87408628e+00 3.16818710e+00 4.16856447e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.17693002e+00 1.31205434e+00 2.48949797e+00 8.23324107e+00 3.25434652e+00 3.25803513e+00 1.05363842e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 1.76534755e+00 4.52719507e+00 7.35943716e+00 8.36039866e+00 8.25315258e+00 1.82153654e+01 4.44685157e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 1.68157460e+00 7.27447323e+00 5.81812991e+00 9.81052620e+00 3.51706471e+00 1.49374219e+01 8.35122115e-02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 4.48701150e+00 2.74091809e+00 6.71791012e+00 5.51682578e+00 2.72369190e+00 2.76757128e+00 3.58398333e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.18217171e+00 6.77354033e+00 2.76838270e+00 5.09461192e+00 5.53837115e+00 4.33503004e+01 3.01249538e-02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 5.69282233e-01 3.33845324e+00 2.90571276e+00 7.78128045e+00 8.79080533e+00 3.13881877e+01 2.39856441e-02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 5.40702930e+00 8.97477498e+00 1.37347593e+00 2.19223591e+00 3.17214733e+00 5.15618327e+01 1.26442817e-01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 2.17279471e+00 9.06120950e+00 3.89860782e+00 5.92223962e+00 1.70682619e+00 1.27091679e+01 1.20396252e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 4.27203027e-01 3.67558484e+00 6.03770195e+00 5.91622840e+00 4.20764262e+00 9.26354103e+00 2.78798510e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 1.11693384e+01 3.06994379e+00 8.72141423e+00 1.80525811e+00 7.72886642e+00 9.39299045e+00 1.17736065e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 1.59690825e+00 4.70173575e+00 7.00234703e+00 4.76185677e+00 5.95621490e+00 1.46300163e+01 8.25798032e-02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 1.50159918e+00 3.16478427e+00 4.91856691e+00 8.67956319e+00 8.35114033e+00 1.45224935e+01 9.25096309e-02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 1.39590445e+00 7.05145459e+00 9.57808103e+00 8.70538260e+00 9.63632933e+00 2.58557782e+01 4.17251188e-02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.80695039e-01 8.43458216e+00 7.47320681e+00 1.89313898e+00 8.13396229e+00 3.57904526e+01 1.30492239e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 4.05556232e-01 7.05782918e+00 9.37148683e+00 1.81648794e+00 6.43422771e+00 1.89952819e+01 3.50979656e-02
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 3.34220329e+00 8.41915403e+00 5.74829176e+00 3.36425929e+00 5.44007429e+00 2.86841278e+01 2.51071428e-01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 1.51695866e+00 4.57292946e+00 3.33013847e+00 8.87289456e+00 1.36062178e+00 5.73034532e+00 2.14296239e-01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.21684230e+00 2.40685274e+00 1.47544018e+00 2.16012327e+00 9.85889781e+00 5.49729098e+01 2.80401967e-02
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 5.75896987e+00 7.64155853e+00 7.53476366e+00 7.47997122e+00 4.45133010e+00 1.43726448e+01 7.71091716e-01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 5.60713706e-01 4.24427055e+00 2.09172698e+00 1.91049058e+00 2.37005393e+00 1.73617199e+01 3.38570227e-02
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 6.77064182e+00 7.04143743e+00 3.72497615e+00 6.60824068e+00 7.00037970e+00 2.27099461e+01 3.67710588e-01
