G	c	dx1dt	d2x1dt2	dx2dt	Fc	p	d2	m1	Fg	m2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	5.789231559970392738e+00	6.144025656528108392e+00	4.549825098561659509e+00	6.831353839211971923e+00	1.357075985615263880e+00	4.680420595588244304e+00	1.886889738544509143e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	6.638946297110012829e+00	8.237040859151074201e+00	5.263142511319516714e+00	2.555969716467507258e+00	2.673225134823267179e+00	1.552666832349959414e+01	9.803861851648135728e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	1.394923201680547065e+00	7.836040265887174172e+00	8.686325512904518931e+00	8.841417502751518498e+00	8.479424113336673230e+00	2.746414729714515701e+01	3.942639473888476936e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.782714849869997398e+00	2.382107465669032198e+00	4.056303881325618477e+00	6.515137106815733326e+00	7.897197015240675633e+00	1.530331752909165033e+01	3.699548441699909151e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	8.945470779385232829e-01	2.341899401179778462e+00	8.830588698273093229e+00	2.412196898742632989e+00	4.149590751532882926e+00	4.272983136914905167e+00	4.698577762911789746e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	1.475119652200983955e+00	3.407416070201297220e+00	1.798925014361009600e+00	9.652141399006110234e+00	4.389799946607416459e+00	1.882817913460721471e+01	4.385040608318151178e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	9.634377782985278360e-01	4.246999142746484601e+00	7.994212547278721104e+00	5.673420177171281331e+00	5.797374066944732895e+00	1.117303602652178185e+01	1.258457206529770001e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	5.671362191344369030e-01	4.669939800615845016e+00	8.638335373874545198e+00	1.648692314729674813e+00	1.002236631739332751e+00	2.115737227819186383e+00	2.591212536410327782e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	6.975154073829736845e+00	7.116589618546912632e+00	2.645328824270795298e+00	6.638295699785770054e+00	3.171344182372071607e+00	1.928304155103935003e+01	1.026017869466314236e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	9.983132653584751992e-01	1.504278817439129723e+00	4.875538392154016520e+00	3.283729369721472668e+00	2.870767538771447303e+00	3.163950315408250002e+00	4.155237620255070041e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.174847978686859751e+00	1.307430400562042516e+00	2.484897365219928211e+00	8.236755414249797624e+00	3.252367483833477735e+00	3.289485090711237625e+00	1.052136505036002090e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	1.768326230851265723e+00	4.520066735716875783e+00	7.352250332185446879e+00	8.354370433944389163e+00	8.251919538199063098e+00	1.819110721461726854e+01	4.447587291492109962e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	1.679173248670656537e+00	7.273637119708140197e+00	5.816004663862162971e+00	9.814238790845999816e+00	3.521390369563273559e+00	1.492401485222190871e+01	8.364334773868090100e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.914929053850585650e+00	1.363404093749103430e+00	2.257455239756435361e+00	4.168308712513414171e+00	4.490373994745378461e+00	2.736198594136303619e+00	6.722042384848725405e+00	5.518402143681917948e+00	2.722899088762149589e+00	2.726219327431741668e+00	3.584932062702395505e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.649006688809603105e+00	7.345012717754658915e+00	5.790749576792093123e+00	6.590090368007836652e+00	1.186663023783187221e+00	6.778479536659941296e+00	2.778404015409042582e+00	5.107303119148292936e+00	5.542776158733324188e+00	4.338289829740860171e+01	3.042544009208116365e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.647777766686205680e+00	9.334152245170653117e+00	4.704501957345954999e+00	4.001051120379443660e+00	5.631526466051617330e-01	3.340663885259139931e+00	2.908002949739320719e+00	7.783477796816148597e+00	8.793934353719766506e+00	3.138287179470828292e+01	2.387297629044981065e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.743361419487843733e+00	2.627154911724737474e+00	4.121532965377671331e+00	7.591780441828267278e+00	5.411190810446248278e+00	8.974394500513067641e+00	1.379887754089818230e+00	2.191467585629656600e+00	3.175200067234204671e+00	5.155237012020218401e+01	1.257286532849945793e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.722233684701656387e+00	6.101441831916686098e+00	9.095778387050506453e+00	4.634801574812615677e+00	2.180363136933450185e+00	9.056865638042483013e+00	3.897262018876658018e+00	5.917580438166154977e+00	1.714239141031310254e+00	1.270803511829114463e+01	1.215236106271470745e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.894180744782930859e+00	9.242929115263267548e+00	1.185310854123672986e+00	1.612748690365848336e+00	4.281286972787496925e-01	3.677657514279133455e+00	6.041118573770186018e+00	5.912179880149628808e+00	4.201663577690006868e+00	9.277273489493941483e+00	2.794970690628399979e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.621020644779410436e+00	1.304859208471634391e+00	6.966796783463580667e+00	8.051640152171465559e+00	1.117153897995226508e+01	3.073706001760913686e+00	8.725931314102249203e+00	1.800766108158584844e+00	7.726338990248539318e+00	9.400487911877037916e+00	1.176423325799092812e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.504576746422732647e+00	7.274248575828696772e+00	9.680531017412809192e+00	3.572348690698197604e+00	1.600717419367533978e+00	4.702512966347639711e+00	6.991486618678659504e+00	4.769315245293705097e+00	5.965633270582530123e+00	1.468716800551936430e+01	8.260835449549915055e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.262513616317438636e+00	3.677503804460518388e+00	6.050577046901822520e+00	4.886160672770053282e+00	1.500587267359227761e+00	3.173519550458849370e+00	4.916298710144714867e+00	8.679660942376283828e+00	8.349765916225580398e+00	1.453229121324059214e+01	9.261796793704771269e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.626641354903261227e+00	9.322206220002698274e+00	9.431765421992796661e+00	7.161169817575535390e+00	1.396574008995977279e+00	7.053958210525878236e+00	9.583291257636595617e+00	8.708457419747656303e+00	9.621292809733164475e+00	2.584573638260255990e+01	4.146516383363436919e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.289610481688938215e+00	9.743460653510574332e+00	1.479503037977942359e+00	3.994064587820899348e+00	8.758676688087108086e-01	8.439558530917997459e+00	7.474712592804111821e+00	1.901376153133267133e+00	8.132878167971467676e+00	3.577833632437510403e+01	1.310727228549881385e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.101832524972954808e+00	9.504953204099630071e+00	4.768255994465308234e+00	1.504954078090194880e+00	4.060654717228207589e-01	7.058556703860081605e+00	9.364922532591382520e+00	1.803658414981627711e+00	6.434948467310725562e+00	1.898680462449312500e+01	3.572348526650000883e-02
