G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	Fc	d2	W	Fg	d1	p
1.000000000000000000e+00	1.000000000000000000e+00	5.338102072069635717e+00	3.331742766565950475e+00	2.889955549028279336e+00	6.517782727427256617e+00	6.845933343442956343e+00	2.890408425441450646e+01	5.161840893931069374e+00	6.376563304404300858e+00	2.156512413201606027e+00	5.494348120279504144e-01	4.905122107628423578e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.725192012894217086e+00	6.242438722053079481e+00	3.920077956623448934e+00	7.609680522873169650e+00	7.975846759394341845e+00	8.259510667024694897e+01	4.982987853961061475e+00	1.654481173678432615e+00	2.612020731510073190e+00	3.395557946291212659e+00	1.379906641751744587e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.737161266651150449e+00	9.012590745027113215e+00	9.126222766674196407e+00	3.867849476105488460e+00	7.798624793636090402e+00	9.475260254876258159e+01	9.054115028441946933e+00	8.209404849994228925e+00	8.430666486444366114e+00	2.352257859249481164e+00	6.799500868292383302e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.942566564424075715e+00	7.825202247417346157e+00	2.627214375107203903e+00	5.870332978282993608e+00	2.146428331779571153e+00	6.852061207507897223e+01	4.616924359375460085e+00	7.109576740114762927e+00	7.507178716214942149e+00	2.295519553658762923e+00	1.049872203572586074e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.599235796012567157e+00	7.617793803267475461e+00	2.916002922604973957e+00	6.186143482711313979e+00	1.808006261284422544e+00	7.393301101062517944e+01	9.672531248591875297e+00	1.905904661951154377e+00	3.088191227619819124e+00	9.451600129918322324e+00	9.059091713830355275e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.790096873580623305e+00	8.359724941673928100e+00	8.129990527991816762e+00	9.414704253914868204e+00	2.852369589212673695e+00	7.902978916147729649e+01	1.050758426208022289e+00	8.761249472237086167e+00	4.590494429122670361e+00	4.878616770510434408e-01	1.195923763776832629e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.496102560459960484e+00	7.524293643758776184e+00	5.627118521497850523e+00	9.807722379184202310e+00	4.417835251627511894e+00	9.350250303294063769e+01	7.224157386477540577e+00	5.622142665393188743e+00	5.465918798114944188e+00	3.302949489895013802e+00	2.188280043754074029e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.984868240611964652e+00	8.992079583018030675e+00	8.256346617413944600e+00	1.339673484332449815e+00	4.661726304384762543e+00	5.624851210064809948e+01	9.267189118242180612e+00	1.968711468852861524e+00	-7.125372560461618043e-02	7.390994873472809257e-01	8.453320591868057363e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.983161735912373658e+00	3.231050057656962515e+00	1.856775465749737064e+00	7.057380384162310172e+00	7.532613758945637450e+00	3.798672016409727803e+01	3.185791054131972277e+00	6.662521586914805560e+00	3.085637159648115357e+00	9.228870239352852112e-01	9.344726720274937293e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.171529765448116933e+00	4.126651750108165650e+00	4.940708376220707798e+00	1.865294194103179093e+00	1.378273193839442357e+00	1.509878801262489034e+01	4.534661254582947443e+00	3.608651336882065852e+00	2.773594241349937928e+00	1.363400844917242338e+00	3.085156876974820648e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.335553313987954072e+00	2.843270210884929927e+00	1.353810011805570257e+00	6.139694777070319631e+00	1.197854242174883010e+00	2.749036556189953018e+01	7.136248337495048055e-01	8.861542885523759239e+00	3.086004890247872279e+00	1.762482766789715383e+00	6.398474578776196608e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.489318773692732023e+00	9.931262644640744597e+00	1.381603420211358735e+00	4.358815282869956675e+00	4.944296707125699797e+00	7.596503361447241787e+01	7.403813292823392622e+00	8.671161615226708363e+00	8.280216530691744126e+00	9.288663783627534087e+00	7.302563072325310145e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.054332040099321688e+00	9.038776564276103542e+00	9.050283549512728953e+00	3.688602326489683669e+00	7.071788163744347600e+00	9.550517220531878593e+01	4.985603264160152648e+00	9.726724868615054476e+00	2.637898713582957022e+00	6.845301501489722273e-01	1.924885212853321718e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.578389037540429030e+00	8.922352991672996003e-01	2.191480551407103405e+00	4.718560461634419667e+00	1.956780699798315482e+00	1.971596070194985018e+01	6.263819254838904449e+00	5.220728965918469910e+00	3.208230790743462624e+00	2.364390299413224206e+00	1.585974925527752077e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.772828815603280761e+00	7.161445399498709286e+00	5.427392619045305011e+00	6.415304406643137725e+00	7.235194759392260089e+00	1.030802359848382679e+02	2.867788145571235514e+00	5.513912638583766679e+00	5.724533832961637536e+00	1.056821531125561986e+00	2.059433298728863520e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.158862634104173228e+00	9.756448371955167786e+00	5.114904502927237750e+00	5.031470335915680714e+00	2.969618053447837358e+00	7.353980384502423817e+01	3.078880372910261176e+00	7.931045377945818764e+00	9.409209460706799533e+00	1.830761648874647207e+00	1.724923705660484359e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.454722190419268202e+00	3.323773771134759691e+00	3.568891283885501142e+00	7.506677919350346784e+00	9.011207740788412579e+00	4.295552032954358168e+01	2.241013710500121103e+00	1.723997900054016430e+00	2.830514518943905156e+00	1.538362080776700669e+00	1.207403879010109193e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.278018023732768071e+00	6.206616424520624342e+00	8.381443007632579878e+00	3.764356222377024608e+00	8.719950721049762876e+00	8.762190498087497303e+01	3.694117819700339478e+00	6.630598034174393085e+00	1.891202291332511498e+00	-2.496515620510203481e-01	2.329975068430715055e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.948763251584077594e+00	8.923753058057936727e+00	7.628489947856431641e-01	1.657243506152565438e+00	3.145868220446861763e+00	3.379129242094672492e+01	5.502084734833970536e+00	6.058839374567425828e+00	3.164132275975497066e+00	7.038816380455586774e+00	4.102988052159898302e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.936628190099856983e+00	1.103913646305612728e+00	7.461887174317221039e+00	8.467746243218053692e+00	2.035719957411479264e+00	1.187217889184758413e+01	9.224657157907550697e+00	2.160428647877994379e+00	7.238310091831232640e+00	1.057293807030572808e+01	1.569461401237564075e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.741549681028323526e+00	7.332154725664212336e+00	9.857821449813933157e+00	4.453491218337828350e+00	4.886477515402552818e+00	6.594732727026740804e+01	7.209214743235703438e+00	4.548607329054703108e+00	5.177904418489660543e+00	1.563334963907822894e+00	6.708070019539223949e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.975798268765986077e+00	3.797434623913977347e+00	5.056869610355615663e+00	4.355647727630483246e+00	1.316136715917238798e+00	2.116913501966706690e+01	4.719346180300274085e+00	9.294647286094503968e+00	8.444548943285981935e+00	1.926170866953314187e+00	2.783241661086500471e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.179889953553638904e+00	9.561540329604435229e+00	9.761195877228981743e+00	6.224673679432022766e+00	7.758656225603088430e+00	1.305076346225135921e+02	9.595505410126063950e+00	7.842982650515560650e+00	9.001011847629241558e+00	3.385566622443493934e+00	8.164469697331812768e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.472216047367147063e+00	9.495101463702171785e+00	1.443536438824765566e+00	4.260994902404712903e+00	8.996715949668825374e+00	1.229672271924353453e+02	7.265810718281772829e+00	2.804572682068970924e+00	7.854953497723388800e+00	4.323507655948765915e+01	-8.179850014050938256e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.920724772011418224e+00	9.792851300534968217e+00	4.538675703881369650e+00	1.761409730023863141e+00	6.562428068783052737e+00	7.662088508881828375e+01	9.751150370918521659e+00	7.618020147006017151e-01	6.386713269883371069e+00	1.408897143634724713e+01	7.182438372439617069e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.669773053425445575e+00	5.518401935982064188e+00	3.207807183466665268e+00	3.601423210305939371e+00	9.284267115810209248e+00	6.739222185888336014e+01	6.674325814813832025e+00	2.615407342285310133e+00	5.177040943256882244e+00	5.680610599153010476e+00	6.028949020228084521e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.088629192226591158e+00	8.538587606107075345e+00	6.841005251106142104e+00	9.321613642843660230e+00	5.695436044268379128e+00	1.255937572337913934e+02	2.932121504625305075e+00	9.009884657878210135e+00	6.122178280005619033e-01	2.603284331241531024e-01	3.071148352704386070e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.095185425396323353e+00	7.644364953860532275e+00	9.927331342889491594e+00	6.621461885305703454e+00	2.257978682027808492e+00	8.080785183167431285e+01	1.706348757445255604e+00	1.871403634088650403e+00	1.069273760086920433e+01	1.897791096535405231e+00	2.113183241579676235e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.516365804024914610e+00	3.379600201487349853e+00	2.608872788161030076e+00	7.488898112430905307e+00	7.865411987922553472e+00	5.442984583364695794e+01	6.695511631546354536e+00	7.301365905848575366e+00	4.467564948304924677e+00	2.858178188542157994e+00	1.799938451089360569e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.853577615962768155e+00	9.332316964668518011e+00	6.694310276386230996e+00	6.466584987556526443e+00	4.318495910006013183e+00	8.748691350992987736e+01	1.503301307193119829e+00	1.621589120528388772e+00	3.208697369375887121e+00	-9.258989993576260957e-02	3.788203820556618098e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.317279106259142019e+00	3.909084560073943226e-01	2.590332969948793362e+00	2.555170849516298581e+00	7.865896169570969931e+00	1.550795895653295631e+01	4.033605371971018094e+00	6.182264931015520659e+00	6.403857140932158742e+00	2.266867188377768016e+00	-4.478150376556585854e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.067872600507948189e+00	7.099387053153536797e+00	6.513089445809319145e+00	4.827056363318603438e+00	2.677235897103589668e+00	5.426512978575315316e+01	5.753614992509185733e+00	4.377034437526294397e+00	3.312521203241490575e+00	1.187920557297080570e+00	3.641541571928761414e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.627215842043153726e+00	2.108443063274360707e+00	5.197337769452908596e+00	7.012434827965837059e+00	1.607219688274877045e+00	3.089120698164283141e+01	5.471240562081923109e+00	8.073809143758747808e+00	6.273116118766190574e+00	1.522732799152951344e+00	2.999430059730723315e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.284429655680460414e+00	1.654986457128256649e+00	1.013787162143512433e+01	2.941320705217336240e+00	1.043402738350874692e+01	2.539312925484609451e+01	6.410055506586174623e+00	3.584544233328450069e+00	7.054064639754004773e+00	2.604581095328793339e+00	5.015359480348012085e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.344901959696594318e+00	1.484116801835850374e+00	5.816498055339379469e+00	4.006321164326751116e+00	2.848941233560454034e+00	1.205853383241665533e+01	2.978485505543331691e+00	6.796428169405562159e+00	5.846436744030101273e+00	4.870462049852752329e-01	5.146181330713491207e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.202367343757900997e+00	8.258121943788177433e+00	4.086033864406467764e+00	3.106962366291357913e+00	9.872471558340048858e+00	1.025609871420971331e+02	3.623826484941948589e+00	2.894404290226716636e+00	8.247816140248838579e+00	5.099154115955170319e+00	1.341385487020566245e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.371717646144464453e+00	4.073411728749052330e+00	2.319684321214022571e+00	4.283150618267022480e+00	1.055390397793875579e+01	6.147761868788359862e+01	7.512929470073624216e+00	7.844236171822832837e+00	2.949620603846333289e+00	2.312082392472165182e+00	1.077860845064445812e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.447831378286993598e+00	7.403846536013433344e+00	3.047175755218062498e+00	9.260241339254763560e+00	8.271537369081416458e+00	1.357613375846641190e+02	1.004274330641988300e+01	7.866405462631945511e+00	4.989426449198894886e+00	3.844364797830978731e+00	1.054749554977946815e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.742479737536477558e+00	1.067859504031525741e+00	2.398833839909944921e+00	1.925148110626097475e+00	6.996738557545867820e+00	1.037412676607147866e+01	7.873990668284243988e+00	7.368069909112164861e-01	6.435002790364610981e+00	1.298209847589074251e+01	4.859703326276886770e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.780265916762611589e+00	4.127988044037810056e+00	2.794355926658902867e+00	5.121352049823971520e+00	6.579939153716813927e+00	5.394563446328663758e+01	9.302695778907725810e+00	7.935620957928880337e+00	6.999796000943163676e+00	4.917088434492359106e+00	1.775964725374781779e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.737454809865312422e+00	5.570188373876383992e+00	8.934546382708358436e+00	2.479311935463532457e+00	8.761744545392671668e+00	5.999988056922951074e+01	8.818414586825591428e+00	6.155309019881067378e+00	8.180357804006217037e+00	2.199742241620259442e+00	5.753947170645664073e+02
