G c dx1dt d2x1dt2 dx2dt d1 m1 p d2 m2 Fc Fg W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 8.19681014e-01 7.05432695e+00 3.08334830e+01 6.14796290e+00 1.95578956e+01 4.54271968e+00 6.83431259e+00 1.59685956e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.13021294e-01 8.17013257e+00 7.80772899e+01 8.24889096e+00 2.16029233e+01 5.26092093e+00 2.55147726e+00 1.37222104e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 4.28382247e-01 3.25421109e+00 2.46927763e+01 7.84144837e+00 7.19528935e+00 8.69092654e+00 8.85155107e+00 2.44682262e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 4.20810684e-01 6.62386690e+00 4.23127739e+01 2.38509914e+00 1.91382571e+01 4.06003947e+00 6.51804615e+00 3.24136674e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 1.45547470e-01 6.14571385e+00 1.47753271e+01 2.34324523e+00 1.79973065e+01 8.82684716e+00 2.41483495e+00 8.99190119e-02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 1.73468988e-01 8.49547339e+00 2.04226991e+01 3.41356931e+00 2.48457178e+01 1.79320988e+00 9.66104252e+00 1.86129235e-02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 1.05300796e-01 9.15478354e+00 1.39404696e+01 4.24967254e+00 2.68784834e+01 7.99118593e+00 5.66528917e+00 2.83662966e-02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 5.08841182e-01 1.10941094e+00 9.75791860e+00 4.67610023e+00 1.72107546e+00 8.62792870e+00 1.65608607e+00 3.36451474e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 9.87066717e-01 7.06617927e+00 4.52944572e+01 7.11727495e+00 1.90072876e+01 2.63635888e+00 6.64149614e+00 1.27237968e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 6.82043697e-01 1.46652219e+00 1.08121595e+01 1.51012389e+00 3.91007571e+00 4.87311879e+00 3.27879016e+00 7.55062051e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 1.98145442e-01 5.93972799e+00 7.04012466e+00 1.31205434e+00 1.76692275e+01 2.48949797e+00 8.23324107e+00 5.55189438e-02
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 4.91919142e-01 3.58869456e+00 3.49150865e+01 4.52719507e+00 9.16198544e+00 7.35943716e+00 8.36039866e+00 1.88144204e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 4.47109636e-01 3.76098940e+00 3.19382609e+01 7.27447323e+00 8.81039419e+00 5.81812991e+00 9.81052620e+00 1.29868894e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 1.07431475e+00 4.17662653e+00 1.21583770e+01 2.74091809e+00 1.19526191e+01 6.71791012e+00 5.51682578e+00 2.12261859e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 1.79344311e-01 6.59163204e+00 1.73783416e+01 6.77354033e+00 1.84294481e+01 2.76838270e+00 5.09461192e+00 4.10345472e-02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 1.42091447e-01 4.00644969e+00 1.06196582e+01 3.33845324e+00 1.13540718e+01 2.90571276e+00 7.78128045e+00 4.59754107e-02
