G	c	dx1dt	d2x1dt2	dx2dt	d1	m1	p	d2	m2	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	7.876927900570402930e-01	7.061727844668284071e+00	3.151308296284556931e+01	6.127703199374900933e+00	2.124779924054371349e+01	4.737059001425665272e+00	6.975411780108899507e+00	1.327697564695009103e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.726225438729926509e-01	7.933289972772224807e+00	7.412687786531272138e+01	8.223217767508671727e+00	2.151074563714279719e+01	5.077085209122704335e+00	2.112344929396577697e+00	1.474507284049449529e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	3.794965530092218042e-01	3.288482117523045645e+00	2.601143396457080215e+01	8.353202912774886357e+00	6.416255180333652497e+00	8.669415356090272695e+00	9.000981497104168838e+00	2.523090851621961672e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	4.166930160618453893e-01	6.312556135393120549e+00	4.347843352849554321e+01	2.132978516392967983e+00	2.085432247167853603e+01	4.444601035403276335e+00	6.320820046166785389e+00	2.108951632518523689e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	1.514399423310177073e-01	5.942635143441498791e+00	1.424816938256678966e+01	1.707509823200194177e+00	1.745590228122953036e+01	8.440434373190283779e+00	2.133638789138801339e+00	3.274368783540296257e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	1.434867772534019481e-01	8.702234707844915818e+00	1.755026891186223637e+01	3.500024454293136245e+00	2.427531094548510282e+01	1.624494014455383217e+00	9.462807092484275984e+00	1.412238699844067802e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.419802449573726699e-02	9.037427835631486772e+00	1.429326432067824193e+01	4.576763539673099679e+00	2.647122438685917345e+01	8.185935440517468464e+00	6.080762902383230362e+00	-6.938672134145554282e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	5.359020014390316611e-01	1.357681578886758889e+00	1.023320335204856235e+01	4.735988503362951185e+00	1.842651482014791009e+00	8.982975437792347861e+00	1.746772069604164201e+00	3.368564681845438002e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	1.036035066405771143e+00	7.024629684614234648e+00	4.465356279167380649e+01	7.254048779009343306e+00	1.969472543858954339e+01	2.803404268564209545e+00	6.393867480378761847e+00	1.230732633082750604e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	6.102122887275843732e-01	1.096019923690239262e+00	1.108380375933566597e+01	1.715036267482148657e+00	1.953952503281790598e+00	4.706696902287977657e+00	3.489674053778804463e+00	7.585337218261709147e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.532084216383831299e+00	3.283383521335048183e+00	1.553598327027576387e+00	2.042679095803587308e-01	6.255967983833610191e+00	8.599630192326564782e+00	1.342260681937006428e+00	1.835344482045202241e+01	2.636674442772801719e+00	8.458920753946051363e+00	5.976290656417095060e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.625111365120737617e+00	1.027750202429465709e+01	1.531495345311459477e+00	4.880701406610869486e-01	3.232676864444335330e+00	3.840343129368638131e+01	4.678704002151298447e+00	8.752463604103347450e+00	7.473081402891079250e+00	8.256687059484065117e+00	1.857467714459365427e+00
