G c dx1dt d2x1dt2 dx2dt m1 m2 d2 d1 Fg Fc p W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 1.56372918e+01 6.83431259e+00 1.14615905e+00 -4.50659249e+00 1.18729839e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 1.56320729e+01 2.55147726e+00 1.65482894e+00 -5.11272690e+01 1.50696035e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 1.08202368e+01 8.85155107e+00 1.37405481e+00 -9.23645176e+00 1.79587127e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 3.38264694e+01 6.51804615e+00 1.05847326e+00 -2.47416578e+00 2.91215366e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 6.94514721e+01 2.41483495e+00 1.18749503e+00 -2.77030035e+00 3.93489630e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 1.33884788e+01 9.66104252e+00 1.04339565e+00 -8.86256241e-01 9.85133123e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.16446222e+01 5.66528917e+00 1.08925104e+00 -1.24420142e+00 2.41663938e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 6.14096237e+00 1.65608607e+00 -6.47198434e-01 1.60732282e+01 1.02844889e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 7.85229652e+00 6.64149614e+00 1.17876884e+00 -8.09723741e+00 3.99805741e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 1.41972528e+01 3.27879016e+00 1.45784990e+00 -4.95034621e+00 1.76786601e+02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 3.38102021e+01 8.23324107e+00 1.02756929e+00 -1.94091224e-01 8.39255666e+01
