G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	d2	d1	Fg	Fc	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	4.670845477162441028e+00	1.554988319278562336e+01	7.456705782007445826e+00	1.197355970775713097e+00	-4.233661885108650047e+00	8.381111427826601812e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	4.516145004843828303e+00	1.552130828210462710e+01	2.517528135067041095e+00	1.606399096937585869e+00	-5.197669026546891047e+01	1.639657582933486140e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	8.939534653146541388e+00	1.302815451049997897e+01	8.564632010292248410e+00	1.368387884900442497e+00	-8.947405899231865689e+00	1.894815007655200816e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	4.279802679661924181e+00	3.273871825464449614e+01	7.150074733611313960e+00	1.159782495068346853e+00	-2.855663645281991236e+00	2.765244021571764961e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	8.727461482441022156e+00	6.670865040221070785e+01	2.215435237612591646e+00	1.085698107545546520e+00	-3.314222949539649132e+00	3.860722031837611325e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	1.251667166978630341e+00	1.376148153528322027e+01	9.450961108014741541e+00	9.989489948479309822e-01	-1.269706458545574401e+00	1.144197848438259939e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	8.057698742379114876e+00	5.305582610882599681e+01	5.515295270299915842e+00	1.140556021348746008e+00	-4.405433904372276777e-01	2.289823158402718661e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	8.717534705098049841e+00	6.399344794301191186e+00	1.700862639857561476e+00	-5.536646109266131210e-01	1.624864369818987697e+01	1.080989295743253678e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	2.515530287514624153e+00	8.442394573190052043e+00	6.894680179847848756e+00	1.222775423235607839e+00	-8.576229811066911068e+00	3.457765023948718408e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	4.924332208444362813e+00	1.508132832747902086e+01	2.558348036922809321e+00	1.414007572374110566e+00	-4.542429845303150415e+00	1.812904432963900945e+02
