G c dx1dt d2x1dt2 dx2dt m2 p m1 Fc Fg d1 d2 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 3.08334830e+01 6.14796290e+00 4.91750289e+01 0.00000000e+00 1.05814904e+01 4.54271968e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 7.80772899e+01 8.24889096e+00 1.45438882e+02 0.00000000e+00 1.22551989e+01 5.26092093e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.46927763e+01 7.84144837e+00 2.08343657e+02 0.00000000e+00 4.88131663e+00 8.69092654e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 4.23127739e+01 2.38509914e+00 5.43088790e+01 0.00000000e+00 9.93580034e+00 4.06003947e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 1.47753271e+01 2.34324523e+00 5.80589408e+01 0.00000000e+00 9.21857077e+00 8.82684716e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 2.04226991e+01 3.41356931e+00 7.09583804e+01 0.00000000e+00 1.27432101e+01 1.79320988e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 1.39404696e+01 4.24967254e+00 9.21816326e+01 0.00000000e+00 1.37321753e+01 7.99118593e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 9.75791860e+00 4.67610023e+00 1.21243248e+02 0.00000000e+00 1.66411641e+00 8.62792870e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 4.52944572e+01 7.11727495e+00 6.93296332e+01 0.00000000e+00 1.05992689e+01 2.63635888e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.08121595e+01 1.51012389e+00 2.44858646e+01 0.00000000e+00 2.19978329e+00 4.87311879e+00 0.00000000e+00
