G	c	dx1dt	d2x1dt2	dx2dt	m2	p	m1	Fc	Fg	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.618516513175381810e+00	2.723330184421484557e+00	3.308185747681090749e+00	6.766086428733139257e+00	3.105749493109265913e+01	6.099251437095817074e+00	4.872150613880465642e+01	0.000000000000000000e+00	1.124276002033595745e+01	4.526068761081218028e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.515592869878519267e+00	6.097622328223316401e+00	3.264254145245021999e+00	7.978263996256535151e+00	8.026777183950611061e+01	8.527950531585334559e+00	1.400765167195507956e+02	0.000000000000000000e+00	1.183380079199150536e+01	5.267872710434411410e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.507480264263398873e+00	8.693446529774650600e+00	9.063900970142608315e+00	3.644693225313335727e+00	2.456217023508383690e+01	8.154849820270266392e+00	2.055869715408490208e+02	0.000000000000000000e+00	4.629569705713957539e+00	9.117480561122221161e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.325820281213636598e+00	7.623120979696776267e+00	3.121550400141153148e+00	6.882617185238244950e+00	4.243803944038198495e+01	2.011416607464902917e+00	4.624490711176294155e+01	0.000000000000000000e+00	9.644807224027436732e+00	4.189588272661751489e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.155546139163416974e+00	8.218589056188118747e+00	3.002298023285217443e+00	6.474137689177663191e+00	1.485565993901429316e+01	2.511325663669943253e+00	5.384231969066666323e+01	0.000000000000000000e+00	9.344497231564691475e+00	8.855689926157561231e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.795506864374365463e+00	7.391450534539187878e+00	7.927690851678404371e+00	8.842664001236782312e+00	1.942990199313686261e+01	3.636279802176456410e+00	7.290831833446964083e+01	0.000000000000000000e+00	1.276599883541805625e+01	1.974041763967262941e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.831153657119096501e+00	7.467353825104632747e+00	4.516350196061618583e+00	9.028565804339228507e+00	1.249515920459473151e+01	3.883138892252650187e+00	9.196298127117093202e+01	0.000000000000000000e+00	1.381340360603911499e+01	8.172037589038202654e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.467320698190977879e+00	8.812203349730774349e+00	7.998975523479060712e+00	1.189477993150419133e+00	8.318562197395696245e+00	4.833918142794292550e+00	1.202194713721665664e+02	0.000000000000000000e+00	1.306587136698215135e+00	8.887424474213794667e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.627595897409401360e+00	2.769500349448057896e+00	1.091579844128147680e+00	7.086706519732225651e+00	4.583015617974329814e+01	7.361285938030412090e+00	6.569816614007766020e+01	0.000000000000000000e+00	1.120214170139653476e+01	2.428731252293777843e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.873366326224049416e+00	5.452900718380579548e+00	5.402084260303880114e+00	1.645038672475124031e+00	1.191484820052480131e+01	1.251490101855587511e+00	1.637038740839061290e+01	0.000000000000000000e+00	2.015439542916101168e+00	4.741305650918758552e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.451894938209263852e+00	2.947766787604912953e+00	1.300833049446275425e+00	5.861459176308113861e+00	8.211502759941076590e+00	1.247687314576162221e+00	1.260633466432249072e+01	0.000000000000000000e+00	9.391757249020860954e+00	2.266331821919297163e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.540745480014928503e+00	9.843489570244125630e+00	1.675235347995433388e+00	3.613859760880558714e+00	3.436431443274047126e+01	4.577938819186177177e+00	1.360445622405758570e+02	0.000000000000000000e+00	6.657532033989458142e+00	7.569756173855913595e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.589378421010010811e+00	9.061658427750437284e+00	9.395999142588442155e+00	3.780551032061412631e+00	3.352900234252599887e+01	7.429835996713498147e+00	2.027066674840487224e+02	0.000000000000000000e+00	5.286906894776173260e+00	6.015048393570435969e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.388896869022548053e+00	1.052269986901775978e+00	2.542429250987458644e+00	4.320693339897895946e+00	1.260558503627137483e+01	2.471719191295557394e+00	8.698005794651697542e+00	0.000000000000000000e+00	6.403949150356166520e+00	6.368648115248971564e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.312036816131066264e+00	7.331256956064824415e+00	5.347281430488635579e+00	6.769114214675237662e+00	1.748127007785086207e+01	7.088648090327549056e+00	1.564212871035566650e+02	0.000000000000000000e+00	9.834016567357245719e+00	2.875593037465081547e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.777478853927956681e+00	9.637201597552616406e+00	4.683790742868629842e+00	4.031803513248143567e+00	5.760962931730064795e+00	2.785765562912948745e+00	9.872473238994399480e+01	0.000000000000000000e+00	6.834218863380693954e+00	3.282128887686094565e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.548503607248898462e+00	2.460919102293304128e+00	4.681275681099252850e+00	7.627851893199731670e+00	2.719951562561833214e+01	9.335293632098546013e+00	6.388425121329807155e+01	0.000000000000000000e+00	1.127749081933521147e+01	1.308922064466525592e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.495500950694259146e+00	6.000260998603700102e+00	9.131381701843118037e+00	4.701890009759090994e+00	2.434493433451068256e+01	9.211073411491398133e+00	1.657454041174241866e+02	0.000000000000000000e+00	7.062089235063457870e+00	3.984733521118203559e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.265246909992318258e+00	9.734819288428409934e+00	9.668898332501243420e-01	2.060848850222562589e+00	8.806573806645708657e+00	3.506246988558358257e+00	1.085425017058912687e+02	0.000000000000000000e+00	2.514877454010675084e+00	6.238080767361838141e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.219381979670450811e+00	1.222950351000999802e+00	6.952103087642830026e+00	7.585582203136048030e+00	2.930172254354227235e+01	3.305362469618468246e+00	1.103261151048014099e+01	0.000000000000000000e+00	1.203999568241314400e+01	8.359173193323959694e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.760246497227914375e+00	7.240958601014440887e+00	9.564626428587265750e+00	3.309362917354973010e+00	2.168098955383520732e+01	4.416370409828536125e+00	1.014090844099383304e+02	0.000000000000000000e+00	5.664462115003710885e+00	7.044038752964439709e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.959964998829906602e+00	3.644084836423908680e+00	5.716714050541574998e+00	5.077245948750933380e+00	1.148302206317683627e+01	3.196086805023623079e+00	3.990601748015986061e+01	0.000000000000000000e+00	7.380272103464269762e+00	5.267519855501400450e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.106537416063588353e+00	8.945303025643738692e+00	9.671346683743538009e+00	7.242017161802158931e+00	2.394729438212088368e+01	7.116410771113661937e+00	2.016690859008019743e+02	0.000000000000000000e+00	1.094912572699197817e+01	9.415358500740060421e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.874708897978414335e+00	9.898574310804878706e+00	1.631650470018532362e+00	4.063223507950070257e+00	1.563644745761781429e+01	8.498892861487265193e+00	2.507290267180921433e+02	0.000000000000000000e+00	6.074881492577611120e+00	7.701559781775668689e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.022229768439960829e+00	9.316795823458225101e+00	4.400705166676366353e+00	1.689941096614852700e+00	6.670911899707594905e+00	6.829134290653295025e+00	1.999146417766728518e+02	0.000000000000000000e+00	2.018462134660564899e+00	9.378937503839528844e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.081407360008286744e+00	5.259563573700773986e+00	3.315668632554638950e+00	4.423210613490362597e+00	3.599885954006564504e+01	8.284048704312308331e+00	1.360897278576798044e+02	0.000000000000000000e+00	6.438734684560342814e+00	5.563269052542163529e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.317738404995718593e+00	8.881989660528839536e+00	7.420997936099158032e+00	9.348656938639749114e+00	2.860837136290697202e+01	4.607448094145507156e+00	1.269985697594239582e+02	0.000000000000000000e+00	1.447555933184466070e+01	3.303665303991786484e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.875089612288862284e+00	9.141282110714556097e+00	9.389502021688036493e+00	6.945808577457615485e+00	3.728124535926525596e+01	2.208925974657494073e+00	6.187525884232369577e+01	0.000000000000000000e+00	1.038726842337712597e+01	1.331118544680085503e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.206231123196477739e+00	3.505356260207826757e+00	2.918163558545407987e+00	7.048965842748965649e+00	4.652051002640642707e+01	7.715487991428916281e+00	8.691501324750286983e+01	0.000000000000000000e+00	1.107044610467216827e+01	7.291091105634976088e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.162333944501352079e+00	8.700840800672267505e+00	6.538061959784493560e+00	6.569394214840990287e+00	9.556515411257995751e+00	4.077014942256142582e+00	1.133549011210031807e+02	0.000000000000000000e+00	1.079066809419545514e+01	2.021957914692818381e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.739112484989460583e+00	1.574710848733817059e+00	2.766747253110704019e+00	2.977788312142679139e+00	1.839503766782713257e+01	7.313784832257569590e+00	3.752583872755885608e+01	0.000000000000000000e+00	3.974838270674594831e+00	3.743746104701848765e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.390381936315775224e+00	6.188904500966546429e+00	5.961539445673921911e+00	4.941219314622513181e+00	1.198510488068452773e+01	3.861388655736695430e+00	7.530544707048703401e+01	0.000000000000000000e+00	7.202266504098364663e+00	5.746687955034478712e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.644117556193012586e+00	3.236836203866062966e+00	4.910577295837938117e+00	7.816588772439770239e+00	1.201367134669574632e+01	1.650053116880014770e+00	1.422872073707073604e+01	0.000000000000000000e+00	1.155916393068373793e+01	6.006954922991759815e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.169287160334979703e+00	2.542236533450801694e+00	9.639855893398042497e+00	2.377126611921382082e+00	1.888299181899354551e+01	1.018386623641923627e+01	6.088065283888045087e+01	0.000000000000000000e+00	2.418963723124725629e+00	6.467241479210046329e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.844738270085997556e+00	1.479796111079284993e+00	6.683126831237090393e+00	3.859805542286331548e+00	3.500110220075769973e+01	2.347992981121930445e+00	7.503749069666334925e+00	0.000000000000000000e+00	5.480223648818889792e+00	2.642067422289075651e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.407824586288619173e+00	7.333765684476569291e+00	4.244034927651180844e+00	3.758043435927469478e+00	2.756878324575746220e+01	9.640754352825148032e+00	2.162667290887353602e+02	0.000000000000000000e+00	5.546112304443877150e+00	4.103800997742609979e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.405522349531932669e+00	4.171473321699025405e+00	2.303460581972703203e+00	5.582805366797922275e+00	1.801377800985098077e+01	9.679576272288317185e+00	1.143581711762005853e+02	0.000000000000000000e+00	6.894993681794646889e+00	6.485513576384967394e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.158222181884410062e+00	7.671486948328881006e+00	2.298188256003363961e+00	9.783675600912374648e+00	2.088725833684345190e+01	8.167667635999086073e+00	1.813963528645413703e+02	0.000000000000000000e+00	1.458293008589180140e+01	9.187009706790158603e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.308220025976269518e+00	1.802191563966965449e+00	3.470290488591027067e+00	1.481715985873773844e+00	1.176461124804538549e+01	6.448133394840130705e+00	3.625206648676679322e+01	0.000000000000000000e+00	2.219614543370158177e+00	7.504191881701692601e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.161634435434015344e+00	3.883872023047839406e+00	3.354798741205971879e+00	5.901182373127641156e+00	2.853972546216800765e+01	6.370659439241106448e+00	7.316826781816321557e+01	0.000000000000000000e+00	7.890038227956350347e+00	9.344725285129236170e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.995867805536205353e+00	5.998237903526376869e+00	8.520562937946426274e+00	2.545901924924512283e+00	7.184015258639001367e+00	8.818341464136883801e+00	1.462028393282744219e+02	0.000000000000000000e+00	3.906653899099179483e+00	8.016204316827614917e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.505020559590994012e+00	7.862974986277911249e+00	6.076667465132800316e+00	9.739317370141131747e+00	5.239656626192642364e+01	3.877451230555299500e+00	9.496902948305287850e+01	0.000000000000000000e+00	1.413916166350584902e+01	6.367725058467556210e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.326647991054848319e+00	3.914391378904103380e+00	5.365946175030540388e+00	1.752873794078465330e+00	2.595419763553683978e+00	5.374755588665866668e+00	5.548167983509753043e+01	0.000000000000000000e+00	3.094149250638853932e+00	2.878579843780474601e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.143786419389513753e+00	6.500524357527432961e+00	1.948387468622472030e+00	4.796612790134731519e+00	4.373199782565900762e+01	6.607177331732870584e+00	1.264266777490175713e+02	0.000000000000000000e+00	7.057877718828375002e+00	7.018062670809793957e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.375160651176140281e+00	8.631713242955855847e+00	8.859965633416628350e+00	7.242809135990826874e+00	2.723950086776270396e+01	4.603803562252247517e+00	1.208770176474748297e+02	0.000000000000000000e+00	1.162101579090862202e+01	6.425115305599945259e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.302713439491777869e+00	6.401146168700811323e+00	7.674200023914651503e+00	7.314887035153677886e+00	4.767187924850151148e+01	5.262125513087828388e+00	9.211793045565325144e+01	0.000000000000000000e+00	1.119066299754043037e+01	6.116111447428741243e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.096297929741400168e+00	3.171586663833985131e+00	1.495776616635665857e+00	4.800401411391217898e+00	1.721142455927076043e+01	4.563521184078859427e+00	3.279842145367278761e+01	0.000000000000000000e+00	7.828403364562413813e+00	5.335928795071751551e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.360782432116048213e+00	1.340827436116740712e+00	8.125295393779873976e+00	4.000695412198339795e+00	2.194423591122687611e+01	5.985719892963423661e+00	1.824392418807460103e+01	0.000000000000000000e+00	5.849763383698496355e+00	5.547712965493351689e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.187057465123745992e+00	8.478058087613810301e+00	5.844300402533558092e+00	4.102888250021087480e+00	2.692642172110007337e+01	8.939036662550467582e+00	2.180151470486006247e+02	0.000000000000000000e+00	6.559821097949948943e+00	3.977142706974567954e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.986031898634819548e+00	9.306026192510457040e-01	1.272152758044948540e+00	2.900855839707073613e+00	7.656770775360534742e+00	2.621273971353761834e+00	1.065204575966545164e+01	0.000000000000000000e+00	5.333728160795934592e+00	5.538887931148144261e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.685350636047578732e+00	9.073883837329544733e+00	5.459667702654730448e+00	2.646030881363049758e+00	2.866661844406981530e+01	9.249842611343307652e+00	2.515253041639689400e+02	0.000000000000000000e+00	4.218409754017869773e+00	2.892960851912160791e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.113789051284950204e+00	5.901779559074685544e+00	5.529883850461492223e+00	5.493261370259734377e+00	4.290242010050688748e+01	7.096596073567421392e+00	1.347330035930838505e+02	0.000000000000000000e+00	8.477922075448102390e+00	8.259998384789376757e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.589174953001979418e+00	9.698363803603600175e+00	2.555936106693263099e+00	3.495006737300709432e+00	3.360130920969563562e+01	8.595930456477656634e+00	2.406756227152912402e+02	0.000000000000000000e+00	5.353253133115021711e+00	2.794744322893121691e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.823432052397071956e+00	8.569521805057188857e+00	9.382926762402941989e+00	3.582706441616104076e+00	3.386272147881381755e+01	5.712966394268740089e+00	1.452695295453490871e+02	0.000000000000000000e+00	6.159491735320616890e+00	1.886046729962589819e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.277736537753676238e+00	1.013102447823355412e+01	8.758374459699821202e+00	6.671374091211469626e+00	4.508658989099484415e+01	8.437779029808810449e+00	2.345245590103968425e+02	0.000000000000000000e+00	1.032912726104188650e+01	4.876928303434102219e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.500048969897621376e+00	4.041024368261239452e+00	7.468183216993518947e+00	9.809169829245933059e+00	8.984757435386352142e+01	1.401230646284153059e+00	1.384644414412396252e+01	0.000000000000000000e+00	1.397354125454472573e+01	6.892306233178689290e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.662255362757655730e+00	7.936640871135368869e+00	5.216327390898336525e+00	5.945793765430568811e+00	1.170769567436245673e+01	8.545585763054312167e+00	2.004329785687910999e+02	0.000000000000000000e+00	9.787411822078428969e+00	5.077046055684995451e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.027831011225169622e+00	5.079091524778652555e+00	4.300039209445665200e+00	1.044144095780596970e+00	4.008118075900471311e+00	1.281230071055684316e+00	1.655147722738452742e+01	0.000000000000000000e+00	2.510122875590782066e+00	4.161730301374707786e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.760191303007964336e+00	6.087833596392650648e+00	5.905350306286840656e+00	1.614460641847372147e+00	3.785301047520097661e-01	9.235129174411296660e+00	1.440362827529347953e+02	0.000000000000000000e+00	2.737382397056911998e+00	5.752213064302553747e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.237468249021627109e+00	6.776363030412448474e+00	6.015057014414509240e+00	9.415009933776261164e+00	3.895019700230901805e+01	9.133128554000714772e+00	2.066715406969256605e+02	0.000000000000000000e+00	1.461323410983317750e+01	4.134473829759421015e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.033861321611050599e+00	9.012062584243695440e+00	1.288264399077177824e+00	3.949850940447726000e+00	1.641096489616128551e+01	3.766685497867690025e+00	9.520189935265042891e+01	0.000000000000000000e+00	5.296397285146373868e+00	9.067815624909917105e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.417587732689358671e+00	1.005861265360615064e+01	5.584994896046721280e+00	1.871364145045833371e+00	4.108039944290505119e+00	2.936475838034861230e+00	7.690362561774800554e+01	0.000000000000000000e+00	2.333244826915311432e+00	9.298069813884122681e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.506590928194711410e+00	7.921078885347243137e+00	8.034260325048503404e+00	6.838203778420252732e+00	5.484379768325122484e+01	7.374564374111146847e+00	1.912937454833834465e+02	0.000000000000000000e+00	9.527848469109491347e+00	5.336445394009614596e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.297556314646712394e+00	5.083636066243444773e+00	4.889955277761658614e+00	6.464454300841427248e+00	2.751936873049906751e+01	3.387879011621258485e+00	4.823719038010398208e+01	0.000000000000000000e+00	8.952487228363347427e+00	3.918064539876797259e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.512065978410204625e+00	5.072608668148439470e+00	1.256330345362969725e+00	6.968297438143865818e+00	2.112515958090721568e+01	8.950989272361285387e+00	1.185463923720451476e+02	0.000000000000000000e+00	1.028756626175713329e+01	7.676794755521533453e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.030986756512707103e+00	7.736813278418478212e+00	7.890182461649826173e+00	3.338334709304912717e+00	1.804669586010795257e+01	1.420724045629956578e+00	4.608230587492045061e+01	0.000000000000000000e+00	4.944506235094557667e+00	1.196172093489918264e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.805239773365156619e+00	3.060534596620650305e+00	3.026579271865648568e+00	1.509984540280294496e+00	1.557425732625389525e+00	1.810382665757455989e+00	1.558702533499156750e+01	0.000000000000000000e+00	2.053837028622029770e+00	4.783619955383977107e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.275223393762725976e+00	1.571273477696335519e+00	3.485960566545218242e+00	9.629908246154020190e+00	7.991592751573254816e+01	1.037459500809387869e+01	6.072615284947194425e+01	0.000000000000000000e+00	1.372144672548177802e+01	4.417947844762281306e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.298200152528394158e+00	4.395325951810135301e+00	2.148852513114300145e+00	3.489298643538625733e+00	6.590589362157764697e+00	7.013797177141002592e+00	9.756828811980759042e+01	0.000000000000000000e+00	4.889632335813041131e+00	9.515044215947673578e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.621481699516225561e+00	3.644359117976700979e+00	3.676048295153211853e+00	6.792558788733069619e+00	7.110301979246706594e+01	8.887694235950210242e+00	9.192304385437429914e+01	0.000000000000000000e+00	1.126630693619233092e+01	1.072213675848336267e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.148534225276453213e+00	3.461557240482575182e+00	7.915432502287892191e+00	7.247283733974465569e+00	5.938801380119515017e+01	4.225845968936497776e+00	4.806995181231221181e+01	0.000000000000000000e+00	1.131371827158597299e+01	5.729900547981541692e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.734557199729723553e+00	2.788173639237111701e+00	5.965050305083856585e+00	6.467318822941386713e+00	1.804717255587039304e+01	7.195641415147467690e+00	6.034920016272645427e+01	0.000000000000000000e+00	1.013325605651515637e+01	7.689295242047619716e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.238484304301326722e+00	1.562821407847523103e+00	3.130268129098053631e+00	4.158134223426334763e+00	6.511639013208016635e+00	6.625219482240861879e+00	1.930220358152439530e+01	0.000000000000000000e+00	5.862182702825012193e+00	5.464184380875530600e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.279407300288669447e+00	7.154690577970048704e-01	8.623585042993040517e+00	2.845156389933595431e+00	2.970386896675932675e+01	5.852911439399457905e+00	3.162450611415508561e+01	0.000000000000000000e+00	4.485211351675427949e+00	1.979848456670695311e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.661126732082203183e+00	9.972849039690355966e+00	9.189368339326255963e+00	6.288978076336053213e+00	4.728365274452101374e+01	7.080008055222043239e+00	2.133253872671370459e+02	0.000000000000000000e+00	9.636133190060499842e+00	9.988667827052440273e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.496365577502009714e+00	5.084598315310252303e+00	8.344808732356247205e+00	8.695665974402773557e+00	6.732288314162268250e+01	5.339239521134832245e+00	9.280769928978473615e+01	0.000000000000000000e+00	1.335813906990535749e+01	5.950303867785477152e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.412401975196293513e+00	4.611896808550580928e+00	3.093153047369649578e+00	8.958431688266907500e+00	7.502664867679628458e+01	4.386017258757588522e+00	7.030711871037081551e+01	0.000000000000000000e+00	1.384314273079097468e+01	6.050142684388204906e+00	0.000000000000000000e+00
