G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	Fg	Fc	m2	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	6.135985695631902992e+00	6.987396570971270648e+00	4.672642779325310691e+00	4.624946659973718233e-01	6.323948441196926673e+00	-1.257982949866109834e+01	3.080020412049713059e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.099051218836732957e+00	1.196972228568434460e+01	5.469657063067640657e+00	4.608435726204265781e-02	2.337894726647884447e+00	1.699712879224190898e+00	5.874580766187594350e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	8.670140540088056014e+00	4.389503886928770271e+01	9.301105906199204298e+00	3.127564228283610692e+00	9.264744893715567642e+00	4.592125732956479744e+00	6.790499060621074534e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	3.071493532008065852e+00	5.537751803519122440e+00	3.155003574106554964e+00	3.073327930380109763e-01	5.924496008925136614e+00	-2.952055070666891545e+00	6.895622008284131255e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	2.795347955637677462e+00	6.532031456636636868e+00	9.210861406523674688e+00	1.872614745818177662e+00	3.894707582614413077e+00	-7.915190712565752795e-01	-1.201276737031154340e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	3.586436187155313871e+00	3.749723400655764927e+00	1.219518647839193282e+00	6.824560842148769124e-01	8.869417053586211352e+00	-9.131334912669402115e+00	3.753315458179785082e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	4.877141378091901736e+00	6.351156542875998845e+00	7.638754256772346096e+00	2.954696931239438662e+00	6.168825019442506274e+00	-6.105975325739591675e+00	1.499537200847143765e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.580780909845354909e+00	6.996604440053823737e+01	8.694358440956765577e+00	7.225031510600354423e+00	1.391381389882268227e+00	7.922281854490664799e+00	8.389844524164878692e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	7.656407272939711461e+00	6.319499961671078303e+00	2.862017009943805146e+00	-1.633880610571762926e-01	6.201490703149199035e+00	-1.132033316893643082e+01	2.736508865705322933e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	8.995182201440498071e-01	1.325763898410718333e+01	5.163367380754266378e+00	2.299429455961250479e+00	3.571304508944401324e+00	6.461378544051052053e+00	1.334575718386435561e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.254075160613299378e-01	3.006182964984958517e+00	1.906759202610530890e+00	4.666156168681741434e+00	8.148988483337687994e-01	2.574594169619517814e+00	1.970987075451171577e+00	5.814511824918632277e-01	7.986298417485945045e+00	-1.582629664558630367e+01	3.707685025954413618e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.841292761111732901e+00	8.270766594421628426e+00	1.874047584422260604e+00	2.867282672439445790e+00	4.906222116135309896e+00	2.513112394219596979e+01	8.254339482227218028e+00	2.528425591445498943e-02	9.226168325602076337e+00	-1.497257727897332025e+00	2.309030967120117239e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.343329220679809310e+00	9.131266108360318157e+00	9.738191675024344462e+00	4.929675648383204489e+00	7.780347996727558169e+00	3.641073180964774991e+01	5.588888494431674125e+00	1.690089765521200382e+00	9.048254310995693217e+00	4.306712684192051555e+00	7.432649499206152655e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.553812117367348478e+00	1.013595809955779137e+00	2.181125039652958009e+00	4.815170652399662465e+00	2.408813086974141981e+00	9.077720326299258957e-01	6.323230358475297130e+00	1.250742979124842558e+00	5.822692875189015460e+00	-1.216994076464699148e+01	1.170945203405775175e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.344248597838594961e+00	7.289647341455507856e+00	6.217418487146091799e+00	6.276071653839675690e+00	7.125518269257374193e+00	1.362630623060957546e+01	2.070575738313068292e+00	3.914204779007761648e-01	4.944896937982976581e+00	-2.493634981061076505e+00	8.316023306486498257e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.558291670832195219e+00	8.809672876589100809e+00	4.146883301056256244e+00	3.200705476279288142e+00	3.645079332259461236e+00	1.686308995115057741e+01	2.153824503851958116e+00	1.184443505662992058e+00	7.942449633782765694e+00	-2.003593191285766739e+00	3.637290302079296112e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.571636686167005248e+00	3.146759573082256178e+00	4.092857409860521933e+00	6.917886376827383721e+00	8.805567030708592924e+00	3.731803968824781492e+00	6.055208718741323937e-01	2.675508698965844423e-01	2.471892165275046072e+00	-4.654027592744850450e-01	3.705008441363004579e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.143764969864151659e+00	5.621109347445037763e+00	8.087217580206244705e+00	4.916374457917647156e+00	9.145011262147303199e+00	2.135586494670460667e+01	4.071070495715234827e+00	1.292113943820678124e+00	4.980277317043625196e+00	4.022007422404753285e+00	4.491695167526332000e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.326623629825025574e+00	9.852695128530893243e+00	1.213850516486768560e+00	2.685364339420334368e+00	4.809031540199660171e+00	4.350822444709114478e+01	6.369165497886906557e+00	8.176529579982303453e-01	6.043523085526992134e+00	-3.946734650621270268e-01	-4.243765371513801732e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.284185464224782969e+00	7.708082942330187759e-01	7.650391596962792029e+00	9.089556699691586417e+00	2.916575152001810611e+00	1.330119278546415096e+00	8.247295764988306743e+00	2.117697509341077033e+00	2.397679148739650490e+00	8.203432139941563506e+00	-4.382670059596878787e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.707238537658107624e+00	6.940890305842947861e+00	9.709317784380148808e+00	2.718847206431151076e+00	4.567146030359245046e+00	1.922965247237493713e+01	6.375891711391722616e+00	3.116776887060850321e+00	5.015561087170889998e+00	6.309168470143056595e+00	3.411463280674072962e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.925304740351355459e+00	3.297950870146092228e+00	6.440080257602020630e+00	4.734789823664779185e+00	3.246492379239191095e+00	5.087173114433747756e+00	4.802454340387859233e+00	2.801980952493037691e+00	8.478960168024448407e+00	-7.848505201676845289e+00	1.671236469581653239e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.185234133194305262e+00	9.043503051936964354e+00	9.582245515672116909e+00	6.705042845320061673e+00	6.951800828225354500e+00	2.157180202226661336e+01	9.631454105818162859e+00	3.316732745567067209e+00	7.936303931041003068e+00	-3.027107560444223022e+00	1.533816343295499109e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.778848200772478627e+00	1.039521885625289066e+01	1.155351653604765882e+00	4.066241752686308608e+00	8.865164697964923235e+00	4.124591438680584332e+01	7.617481002056354811e+00	3.409017806498920722e-01	2.169452788577007851e+00	-1.252413664440417129e-01	2.116180878462652259e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.366619127823767155e+00	9.316436127256585209e+00	4.666079453147342626e+00	7.887177203327335739e-01	7.858118710391465811e+00	8.930753813419525500e+01	8.842461796886738057e+00	5.907864350262898689e+00	2.837048885283376176e+00	2.278615656784165111e+00	5.421095220761579014e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.833918425881662984e+00	5.100112132720772351e+00	3.992800789515933424e+00	4.069817440780129303e+00	8.284794852861727676e+00	2.363562678598108135e+01	5.656564869156488484e+00	3.036131145721527314e-01	3.724301445610156414e+00	2.328336524564278420e+00	4.086151542838380379e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.074933129166125934e+00	8.345710842533714313e+00	7.973111120033188115e+00	9.030556237304478984e+00	4.106243055412300613e+00	8.329409546621343807e+00	4.189920348319518872e+00	8.411958952528814093e-01	9.502668129406572461e+00	-7.207031895081863482e+00	3.226729711759447810e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.158021451380236044e+00	8.456417434176572101e+00	9.490658930042938479e+00	7.059056400039802170e+00	3.482574807901907654e+00	8.891625709017311863e+00	8.199710343109631872e-01	4.216625662294873900e-01	2.667663808224838728e+00	4.730531394136368029e+00	5.859324533842078964e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.463656110029602608e+00	3.992317936940330103e+00	2.542657120884839195e+00	6.764599903590294616e+00	7.706818127545378871e+00	5.007132829441692579e+00	7.518783301962476351e+00	7.944750187913881545e-01	7.266144982940724972e+00	-8.206361310672724230e+00	2.330024609069275243e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.306975461230408975e+00	8.340541925186959915e+00	7.001784885564413585e+00	6.489606958707331508e+00	3.315823168773424978e+00	8.862024181950246771e+00	2.366025613211772516e+00	1.782554578920359400e+00	1.959714055336286398e+00	-3.524540801650667965e-01	3.630652360015403701e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.307934237633795682e+00	1.249459108499102022e+00	2.461584927790785304e+00	3.067508598444274259e+00	8.055808445487462777e+00	5.650480650650227865e+00	3.193981287424887405e+00	5.867177738210642701e-01	7.080698150969955584e+00	-3.318328961025925339e-01	4.893291294529988278e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.178516068731286115e+00	6.931662442276911307e+00	5.989998860598137576e+00	5.654162974818502718e+00	4.049224034394549143e+00	1.012181464134131303e+01	6.127616248705910706e+00	2.814993667546834111e+00	3.345272752565412677e+00	-7.238105855508454312e-01	2.460229689975282241e+00
