G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	p	d2	Fg	d1	W	m1	m2	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	4.538754077912353857e+00	6.841357912569420385e+00	8.585693259177048731e+00	2.853993454301130583e+01	1.351982686206623097e+00	4.099954567695001373e+01	-3.564891155528639644e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	5.248985476934725725e+00	2.553680051696839204e+00	4.312699798316906197e+01	1.911555647342265019e+01	2.679464307947452273e+00	6.046563101182122182e+02	-4.570164318046117558e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	8.685479483166165693e+00	8.846988957331053172e+00	2.716381846289730895e+00	3.779334514204913376e+02	8.484217925598203536e+00	4.171424011796279530e+01	-1.356726570943901606e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	4.057026247663830354e+00	6.514342156073490209e+00	3.026023879425567831e+00	4.074871769124195708e+01	7.895690987161854579e+00	4.558164382448718754e+01	-1.655472827827736992e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	8.825491637635892062e+00	2.418544843204886163e+00	1.526336189059578530e+01	6.416768141296486760e+00	4.156170801915128443e+00	4.388625188915831359e+02	-2.068831254909841988e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	1.787012320523241771e+00	9.666709317072049501e+00	6.695230422119075042e-01	4.281252120724217036e+01	4.395540804832704040e+00	7.970129065087225850e-01	2.683398968584290742e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	7.988493277182023178e+00	5.668290188847479705e+00	1.088784119500370728e+01	9.440971174953130429e+00	5.785462262805141087e+00	2.411489983850363785e+02	-7.363168411294843452e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	8.621723899153668214e+00	1.666404726625881905e+00	3.367894364316756040e+00	2.098242286102169771e+02	9.997802646249689396e-01	5.838644165902809391e+01	-3.920617800976860678e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	2.635668612339264083e+00	6.650390218549922849e+00	1.256284299225898948e+01	1.914055171287965607e+01	3.171078070102508306e+00	6.348221423568180910e+01	-1.921148060692511095e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	4.867231617384105036e+00	3.281189297716768483e+00	6.206045581663043320e-01	1.775786936442648027e+02	2.873037809919602559e+00	-7.352231560822370504e+00	2.381752101402573771e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	2.484840725910518966e+00	8.228679376074616414e+00	1.816067569379930413e+00	4.248959713851291120e+00	3.262129389796973200e+00	8.867837120382876748e+00	-2.737118200315583749e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	7.352257482767334373e+00	8.353272616718379950e+00	9.133057370815800269e+00	7.087321189599288118e+01	8.247149446957065422e+00	2.827341054500229802e+02	-5.704649267953795899e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	7.270912331221567548e+00	5.817287777492174961e+00	9.808418928704082163e+00	1.779038060881947159e+00	4.057881637436973392e+02	3.513746890045414517e+00	1.187122535215648078e+01	-5.948481040051188984e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.914929053850585650e+00	1.363404093749103430e+00	2.257455239756435361e+00	4.168308712513414171e+00	2.745904242290583497e+00	6.713156631224584281e+00	5.520923095105213285e+00	6.189892232500210589e+00	1.731546678532656003e+01	2.713458600644100827e+00	1.719419513450443660e+01	-4.482216180302402364e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.649006688809603105e+00	7.345012717754658915e+00	5.790749576792093123e+00	6.590090368007836652e+00	6.780200377436074177e+00	2.773357482073247837e+00	5.104548477433446863e+00	4.213995843908528549e+00	2.367234004888013388e+01	5.546438097794169408e+00	4.385300696155007927e+01	-1.191563289735720943e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.647777766686205680e+00	9.334152245170653117e+00	4.704501957345954999e+00	4.001051120379443660e+00	3.329363842526603445e+00	2.907939327779532679e+00	7.783551269842444498e+00	1.067053228029684275e+00	4.843908664631416627e+01	8.789489811703543154e+00	1.587130528622484604e+01	-2.499396860349583704e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.743361419487843733e+00	2.627154911724737474e+00	4.121532965377671331e+00	7.591780441828267278e+00	8.980945971009687057e+00	1.373092710049683696e+00	2.198593504359733330e+00	1.034766643150229015e+01	8.952618997746931484e+00	3.169805641017110265e+00	2.979155258066177225e+01	-1.468309539301415256e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.722233684701656387e+00	6.101441831916686098e+00	9.095778387050506453e+00	4.634801574812615677e+00	9.072432515096814143e+00	3.894232670693090981e+00	5.920905201352322678e+00	3.033306808079224481e+00	1.330104090214825590e+02	1.706545862382761403e+00	1.486090055086098083e+01	-1.956117654510717330e+02
