G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	Fg	Fc	d2	p	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	3.981976142208585756e+00	2.497397483010381336e+00	3.113434985953923206e+00	7.211396641650365424e+00	6.379630689092919305e+00	4.933476851406415342e+00	7.219533840143535386e+00	9.807617660029039897e+00	5.465709292472594738e-01	1.376684446639632187e+00	7.447932064060278634e+00	8.240754804746082129e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.797315832349330122e+00	5.754607470307798067e+00	3.100108736986941338e+00	8.340752394986088447e+00	7.840961942425487052e+00	5.571209937906282939e+00	2.669892966166773185e+00	4.318466737693895219e+00	6.042308669643639552e-02	2.398920835956100284e+00	7.567868470785132473e+00	1.553592316035227738e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.778035869979146533e+00	8.650684702963170380e+00	9.412725387700339397e+00	2.858403589835201597e+00	7.567516277733031593e+00	8.582616070643421580e+00	8.134739599402909249e+00	8.050601179633572357e+00	2.977748565154109683e-01	8.420073461114226276e+00	1.344886913260771255e+00	9.486579885366026588e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.138590601194753305e+00	7.363997258807949642e+00	3.277083738595444551e+00	7.092582113844516201e+00	2.570851323071614125e+00	4.396557777996606298e+00	6.304925098109999126e+00	3.762712608565432326e+00	8.390825511591973318e-02	7.568656194674643345e+00	9.438574213988088601e+00	7.147898197790105712e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.606488036566102728e+00	7.583360625402582933e+00	3.228982266471424278e+00	6.076492013036455475e+00	1.879648940989756101e+00	8.856505498006647770e+00	2.228363946852339517e+00	8.329345999936067502e-01	3.814561177267090097e-01	3.990310590681144021e+00	6.258100712548391620e+00	5.199398442799930686e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.836770901198951478e+00	6.953237034778015691e+00	7.947543503460601677e+00	8.683743418360341693e+00	3.634652166976417131e+00	1.561850721178568158e+00	9.554930024701102198e+00	1.818598495454301300e+01	9.583348752250753222e-01	4.710682147520395269e+00	4.463307137958208770e+00	2.143696513830428696e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.917271634467541119e+00	7.249312431800464473e+00	5.272001818007001184e+00	9.350645826761205370e+00	4.372179343143410613e+00	7.860579355093335607e+00	5.763087784389728796e+00	3.204703651479928528e+00	9.140586806929121844e-01	5.753716962831741277e+00	7.672103208794314178e+00	9.120436161843182843e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.229727731249131040e+00	8.420973180863780883e+00	7.983834021336429387e+00	4.355709938441203466e-01	4.878160138523202072e+00	9.004624623275010009e+00	1.792443045187733563e+00	6.288141096853523404e-01	2.456719965419423279e-01	1.161297968827641025e+00	3.419010857530867753e+00	4.817246794952665945e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.560358954275859134e+00	3.347255771237423350e+00	1.523482017838779790e+00	6.888369051898290074e+00	6.989465135497464843e+00	3.207702123335179234e+00	5.926889587757151467e+00	1.779351459290212389e+01	2.696444680011091388e-01	3.201990365079887546e+00	7.471779713300320758e+00	5.220124367035519075e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.324575708277617281e+00	5.793385378214922277e+00	5.668606386725871360e+00	1.693983786227002852e+00	1.648977060189060762e+00	4.960847411715223920e+00	3.214350649948901406e+00	6.203545257667761881e-01	2.884429983984639345e-01	2.771294502670129223e+00	7.327018047920083044e-01	4.382558276553679022e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.076343122312520828e+00	2.997443894126642583e+00	1.253052475427164358e+00	5.956577786717837775e+00	9.927848738962627984e-01	2.334091716310649822e+00	8.101088120468348919e+00	4.169886815131824243e+00	6.926172889900510388e-01	2.984991325203548040e+00	8.469644972209732003e+00	-4.495164008716967530e-03
1.000000000000000000e+00	1.000000000000000000e+00	9.724483509331390607e+00	1.025903363041996919e+01	2.007872484962405224e+00	3.775177043864006432e+00	4.414305728640218085e+00	7.325171171845051177e+00	8.736025861791764768e+00	4.879680834479326990e+00	8.866024057433798122e-02	8.146311005917748815e+00	4.790615713156959110e+00	2.917393485589671598e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.254918330133444115e+00	1.011908788272410398e+01	8.948767292278407837e+00	3.785990143713539258e+00	7.284370045727297516e+00	5.608984593547371666e+00	9.971610204396483823e+00	1.291766204077026181e+01	2.341372585372980542e-01	3.565985587354518316e+00	6.908301122967820618e+00	1.111329332177693585e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.813820214340592596e+00	2.058726448293183076e+00	2.037611738154768481e+00	4.509381789826401921e+00	2.496146025324421203e+00	6.548726361874570578e+00	5.467030711846391888e+00	1.906459356600881838e+00	1.222207683741355133e+00	2.878631611028128479e+00	3.361673499048197122e+00	3.148124341585837094e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.981491803209221914e+00	7.019659429358442893e+00	5.542263596096864475e+00	6.622497452493989911e+00	6.832941167374655400e+00	2.572238639239167846e+00	5.155450638607577574e+00	1.261341761293731878e+01	5.786801812237244436e-01	5.571043262239556704e+00	6.929121834570273641e+00	9.540911404123297856e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.215201116585241436e+00	8.998156671870296108e+00	4.633919074789661252e+00	4.391906136324283949e+00	3.026831381720061387e+00	2.883948054370082392e+00	7.322428778659240578e+00	8.575541766665848442e+00	4.285416442465296294e-01	8.964259945843686239e+00	7.657387191675889326e+00	1.279396731493933403e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.321251160427472815e+00	2.501556445490585645e+00	4.126781267714350498e+00	7.329028328976512796e+00	9.047941328264979433e+00	1.406579826859227556e+00	2.372116376556081985e+00	1.434289753184486038e+01	8.409044051380276663e-01	2.766160398801581266e+00	5.290426819617840337e+00	1.893486530633991860e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.947562292419612540e+00	6.147310205577336539e+00	8.732515132254132340e+00	4.606198289200661655e+00	9.535597893150690396e+00	3.857965882678012992e+00	5.814657393357892445e+00	1.387619669615943607e+01	6.204721275597367969e-01	1.938282966807698848e+00	6.249416765302061805e+00	9.158062078463935496e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.792742966760538792e+00	9.680734289528896142e+00	1.223123565844941751e+00	1.454564067766533464e+00	3.333335226741139579e+00	5.976991072698759844e+00	5.696630273001244582e+00	2.888890823761873783e+00	4.236900130836671052e-02	3.906322834407944367e+00	5.046040158720513702e+00	5.256914393799017038e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.099953508303131322e+00	1.479985840176750500e+00	7.130191620801743291e+00	8.159030226018192167e+00	3.063799601097846548e+00	8.930023942062060627e+00	2.162714684543026511e+00	9.728462932310455447e-02	3.063731296744474086e+00	7.991527829185145926e+00	8.957571387018608888e+00	8.865171457108937503e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.490078079743141437e+00	6.942078724495452491e+00	9.265953225348841471e+00	3.496398209703735827e+00	4.261088270378367682e+00	6.939472954398306470e+00	4.836267738271152972e+00	2.829770458978325021e+00	4.250770490977595073e-01	6.090390809814225648e+00	5.636825887599640872e+00	2.830186836102099424e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.200206295675890544e+00	3.506003798658754445e+00	5.897627299676813095e+00	4.832779596938806321e+00	2.937931412888767913e+00	4.873301584678855214e+00	8.498573311587826140e+00	5.082950576475286475e+00	1.489247421797920357e+00	7.851674829516820608e+00	8.661041883435975919e+00	3.150698499914872386e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.512643720839092154e+00	9.307883075085184643e+00	9.588075082211606315e+00	6.978236704268409696e+00	7.242628618454798328e+00	9.529648955060675775e+00	8.540994326038733320e+00	6.441343454371947885e+00	6.218030926686081150e-01	9.833147616910368427e+00	8.255571944731624257e+00	2.314554961163954871e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.482819234235550176e+00	9.325302765508338254e+00	1.169551231916972078e+00	3.867398693649067631e+00	8.317301582023000961e+00	7.896544555806826793e+00	1.992661471243070359e+00	2.230080432592905115e+00	4.055438238323956501e-02	8.399719730277382723e+00	5.134730977163398435e+00	4.494655887421332707e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.743846542551984236e+00	9.502200387905705981e+00	4.681903705472790556e+00	1.506489229735102464e+00	7.260022647430623977e+00	9.236742227589786580e+00	1.894867356322800012e+00	9.587060118615353677e-01	2.332680206679537127e-01	6.770165257434016759e+00	3.143297041557611582e+00	2.423733449717818900e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.070097703872628259e+00	4.937355335614464380e+00	3.641848643687165765e+00	3.818174411162885917e+00	8.516077935714804426e+00	5.911861160803359994e+00	3.372262579654925041e+00	4.975235723338268023e+00	1.462250252068270084e-01	5.234807222740124999e+00	4.542372788044613863e+00	1.161701922198175030e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.739971623644648968e+00	8.299222922001542102e+00	8.073007362979220503e+00	8.877021644817597590e+00	4.555358076860617444e+00	3.124851718087743535e+00	8.545594886088911935e+00	1.202092813867904297e+01	6.243176203297615690e-01	1.408536455517752639e+00	8.356572738019441005e+00	1.195689500405638650e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.638346041034701273e+00	8.337533260034804883e+00	9.953126735072739706e+00	6.791618539543251565e+00	2.126494901286799966e+00	1.571433203808346946e+00	1.873048690199319521e+00	3.485459028584633412e+00	4.093405066676578663e-01	1.004436216916733748e+01	2.843153302721659781e+00	7.314062179636691141e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.862974785071174644e+00	3.986232967172222974e+00	3.262042676725477541e+00	6.293782721036878414e+00	7.828249460717588981e+00	7.684600351602760782e+00	7.276438066099769841e+00	7.344022959378055049e+00	2.915147760751313211e-01	4.647978543984138788e+00	5.445991862394151006e+00	1.334588696430410781e+00
