G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	Fg	Fc	d1	d2	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.371148243395853505e+00	2.668646117851522614e+00	3.354627198875521632e+00	7.058495520339398865e+00	6.131911266242104475e+00	4.549500287374828034e+00	6.829945960820952955e+00	1.187547438326053140e+01	1.346229980265816195e+00	3.062791944936975597e-01	7.488481429591848482e+00	-8.042843192979154310e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.561111975517363248e+00	5.874210300810489116e+00	3.219620247044574946e+00	8.178285910467007369e+00	8.257631868010268050e+00	5.249838536086436136e+00	2.562044451618440188e+00	4.171424756492563723e+00	2.669431293038293518e+00	2.779866051913099101e-01	7.170714006359277803e+00	-9.229895956514975808e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.585364477249744830e+00	8.850668771869278473e+00	9.160141125529097650e+00	3.251835430244137903e+00	7.844122842913853866e+00	8.694153170902698236e+00	8.849095688247020419e+00	1.866180215069314841e+01	8.476863309604679486e+00	1.117925370311440236e+00	1.851116216263670733e+00	6.848332501328945909e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.397003429284578324e+00	7.594731068824657427e+00	3.243996888367696840e+00	6.617700732421536891e+00	2.386895669029795108e+00	4.052849030783360007e+00	6.518881310962625797e+00	1.760987096226609694e+01	7.897870246319715015e+00	1.237966749629128449e+00	9.305987869133010904e+00	-2.288427656713930446e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.396263077866895852e+00	8.258474750386117336e+00	3.441161445110390904e+00	6.132406856002159401e+00	2.342908739007152796e+00	8.826807353929270406e+00	2.417290046674053450e+00	1.149193127045919738e+01	4.162144146206894213e+00	1.727626710581271707e+00	6.119084656750321649e+00	2.019253724180295194e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.410398150884621504e+00	6.926326742241668555e+00	7.841658913377901108e+00	8.490164141692817523e+00	3.414459492823562314e+00	1.791499795914855531e+00	9.654859160013124608e+00	1.473095536447041809e+01	4.392345958162179542e+00	1.829058404804580151e+00	4.270100485716197269e+00	4.308805397808071689e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.526406560353067876e+00	7.230722153534522967e+00	5.054375378583181089e+00	9.154168272841376464e+00	4.246419192752820315e+00	7.994816336432989168e+00	5.672009929347987089e+00	1.631713776643211133e+01	5.803829696029249696e+00	3.811236905409208564e+00	7.809642306711792159e+00	1.058937236284518576e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.786297607840326762e+00	8.657429061088553368e+00	7.991253690885628203e+00	1.118067594461311653e+00	4.679458705610151092e+00	8.629180576632826671e+00	1.659551857129155428e+00	4.703568843604450045e+00	1.008478341117485577e+00	1.126570625429709205e-01	3.302673908863581698e+00	-1.531850245356009736e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.424706766327412666e+00	3.253429196007331825e+00	1.581322320894104516e+00	7.069823195390565473e+00	7.110155253413815934e+00	2.643738435477109849e+00	6.649973405484283617e+00	9.110564353481519717e+00	3.170685481096149783e+00	4.947676977345449312e-01	7.245390976487843027e+00	-9.978829062186738952e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.372308190818839257e+00	5.411292248382873815e+00	5.381351724487666743e+00	1.468173731833857687e+00	1.511137395058080424e+00	4.869816673591293110e+00	3.275095342393652409e+00	1.387131138830016042e+01	2.878114650974153310e+00	3.933290829069662764e-01	1.358744011097382964e+00	-3.749927539587932301e+02
