G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	p	m1	Fc	m2	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.953101320985155098e+00	2.652309625404325022e+00	3.336587919305606942e+00	6.954720858298373720e+00	5.851936172245888912e+00	1.397023897331574727e+00	4.388510299454198460e+00	7.290568953308122602e+00	4.884099287488778529e+00	1.826473713346058680e+00	6.471805934831324159e+00	-2.739762072714571617e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.467182171412336089e+00	6.280090769320445077e+00	3.343294019449514209e+00	7.871422795494542157e+00	8.608762938662035680e+00	1.527146455704233574e+00	5.079259921489007290e+00	2.690120847584386077e+00	3.820368017409840178e+01	2.270784519451041206e+00	9.784226413783952969e-01	9.004862504130080048e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.322070157367337018e+00	7.965476993311176201e+00	9.212666583300599399e+00	2.767969453029771376e+00	7.562202537672362723e+00	1.110554012984491656e+01	8.331535658024302293e+00	9.104938040151173695e+00	6.193974763993426791e+01	8.554841785019684508e+00	2.522514450382329354e-01	5.388599315234230858e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.506543992904186169e+00	7.935683536034287222e+00	3.165023438443291148e+00	7.155295957953278219e+00	2.044264392227085558e+00	5.588243660266956070e-01	3.830735397848035628e+00	6.458057458933546435e+00	7.089063100624697356e+00	7.681155388330595635e+00	1.558847131940217512e-01	1.869717369053272238e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.538659773660588925e+00	8.515015410968915788e+00	3.953056665215532561e+00	6.158951393277598108e+00	2.297892848909489416e+00	5.087488958505419490e-01	8.827198050713731092e+00	2.381419564203839379e+00	3.164843471168413558e+01	3.758595909292403725e+00	4.979435256193047166e-01	-2.368904672346284490e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.383986603358068557e+00	6.418403607487992879e+00	7.943170589738894449e+00	9.196902544404284896e+00	3.065155968848058077e+00	1.597631604169483799e+00	2.181024823807893309e+00	9.881795535807212261e+00	4.107192286599291364e+00	4.088393582121693015e+00	2.009506355865371408e-01	1.304865152714763532e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.463146479784723120e+00	7.488976443637093361e+00	5.260768953758179656e+00	8.927614369916319959e+00	4.675062976419505745e+00	1.238952651621119783e+00	7.729751787732395130e+00	5.858722908083445979e+00	1.625435077865867228e+01	5.788839660089267980e+00	4.040837312485765498e-01	1.340435760007711252e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.052373380123821534e+00	8.937181822610797965e+00	8.286653630773111345e+00	9.933458406758199910e-01	4.613268795447963200e+00	1.720659374050139334e+01	8.318271002972288386e+00	1.316461992437778949e+00	5.678940148970764312e+02	1.095569440057567512e+00	4.066243866473510771e+00	2.112522888770567708e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.179038262222821487e+00	3.403270969344442065e+00	1.772759822219184267e+00	6.856311092132799878e+00	6.239998372603599464e+00	8.134075371413874711e-01	2.471918181388026436e+00	6.676210799435176035e+00	2.440186235730534836e+00	3.454004532207531675e+00	7.426112150495466357e-01	1.131150460942465630e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.280385958032944416e+00	4.971152356421725038e+00	5.957652967659421428e+00	1.293089533060758578e+00	1.564579348076557519e+00	2.776154548975445113e+00	4.965688863968908962e+00	3.407668858397523426e+00	2.233941407043923633e+01	3.268286594673027068e+00	7.527376061145848452e-01	-1.407276198309010962e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.043958630620986039e+00	3.180770149428039151e+00	1.348354008519510261e+00	6.176185242218164895e+00	1.462800253722672306e+00	2.288609690049387413e-01	2.825172082331437018e+00	8.197800736216930062e+00	2.125277367741245094e+00	3.328507531650065410e+00	5.366312625576393769e-01	2.652994584488659324e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.002521344768939393e+01	1.016917171886468196e+01	1.561956923703939237e+00	3.741980772216670914e+00	4.412419094916399054e+00	7.980530264815595132e-01	7.335706986298918153e+00	8.463462781202515828e+00	3.239739749983710482e+01	8.134790379011077377e+00	1.940849772719970834e-01	5.671571297946711443e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.569242912008087742e+00	9.337370367519616465e+00	8.978601544214122043e+00	3.997935393732531928e+00	6.905199296324425973e+00	8.514233952283309037e+00	5.421512327968941669e+00	9.786592734487300049e+00	3.201089800893731052e+01	3.794551714396779740e+00	3.740996174034478816e-01	1.693634182520397546e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.622848144175315088e+00	1.477546117294564976e+00	2.182455571240910608e+00	4.539937532859732450e+00	2.712782693109593524e+00	6.774100298012080135e-01	6.379664377633520900e+00	4.905734287666533078e+00	1.388478428278170584e+00	2.559541579220386165e+00	5.987212365619922316e+00	6.997854099190854715e-03
1.000000000000000000e+00	1.000000000000000000e+00	2.375414369327683239e+00	7.251929023317118528e+00	5.589907776794178496e+00	6.891358469413050969e+00	6.642349100768606185e+00	3.188531447114792972e+00	2.820029983232307469e+00	4.738063897401028512e+00	1.531376286244593210e+01	5.112235518910908993e+00	1.302428357739460196e-01	1.239973237513220461e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.157615664832199354e+00	9.573509364629305907e+00	4.886826829946585349e+00	3.733483009807085473e+00	3.072758768839541688e+00	2.202881223627525031e+00	3.178720017785158447e+00	8.046465469503679913e+00	7.095784757286091704e+00	9.041584109068647734e+00	9.551196313472029575e-02	1.207140322023886192e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.031315647264422708e+00	2.537973784125925558e+00	3.874215319630292420e+00	7.452510132885691085e+00	8.685044993258577151e+00	2.065164789668250123e+00	1.871550318214895814e+00	2.125767175524035935e+00	5.871118386836609915e+00	3.525720202529154967e+00	4.635347849717379454e-01	1.236675741500700454e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.950544387287187043e+00	5.950142880147030411e+00	9.118872842409375679e+00	4.673628072959789215e+00	9.103759899253265786e+00	9.014720099359134764e+00	3.574264605575163234e+00	5.973833479869857577e+00	2.392398970765742661e+01	1.487347601082372073e+00	1.035233082111996605e+00	4.417984431782001620e-01
