G	c	dx1dt	d2x1dt2	d2	m2	d1	p	m1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	1.973061296114246022e-01	6.144025656528108392e+00	4.549825098561659509e+00	6.831353839211971923e+00	1.357075985615263880e+00	1.371298635993971793e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	1.077506484518235552e-01	8.237040859151074201e+00	5.263142511319516714e+00	2.555969716467507258e+00	2.673225134823267179e+00	2.983340029611154964e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	1.005390987149273885e-02	7.836040265887174172e+00	8.686325512904518931e+00	8.841417502751518498e+00	8.479424113336673230e+00	1.885578719644013468e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	6.710082532797632948e-02	2.382107465669032198e+00	4.056303881325618477e+00	6.515137106815733326e+00	7.897197015240675633e+00	9.653286808630544558e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	5.396132937432383120e-02	2.341899401179778462e+00	8.830588698273093229e+00	2.412196898742632989e+00	4.149590751532882926e+00	3.088071056536149661e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.915836671662076968e-02	3.407416070201297220e+00	1.798925014361009600e+00	9.652141399006110234e+00	4.389799946607416459e+00	8.379248591958896597e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	6.269512286409945068e-02	4.246999142746484601e+00	7.994212547278721104e+00	5.673420177171281331e+00	5.797374066944732895e+00	1.026051593957566510e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.080585777214428521e-03	4.669939800615845016e+00	8.638335373874545198e+00	1.648692314729674813e+00	1.002236631739332751e+00	1.789417397643776608e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	3.425474989233719403e-01	7.116589618546912632e+00	2.645328824270795298e+00	6.638295699785770054e+00	3.171344182372071607e+00	1.130780027741233518e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.254234713647250574e-02	1.504278817439129723e+00	4.875538392154016520e+00	3.283729369721472668e+00	2.870767538771447303e+00	7.062571711481525627e-01
