G c dx1dt d2x1dt2 p m2 d1 d2 Fc m1 Fg W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 5.64957589e+01 4.54271968e+00 6.83431259e+00 -9.35188177e+00 2.09019991e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.99841509e+02 5.26092093e+00 2.55147726e+00 -5.64690345e+01 3.47714471e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 2.11468952e+01 8.69092654e+00 8.85155107e+00 -4.10543460e+00 -2.13085395e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 3.10914291e+01 4.06003947e+00 6.51804615e+00 -4.93614583e+00 3.43366151e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 1.00425634e+01 8.82684716e+00 2.41483495e+00 -1.95599821e+02 2.35991805e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 8.89827661e+00 1.79320988e+00 9.66104252e+00 -1.66612883e+00 -4.30350249e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 1.17366161e+01 7.99118593e+00 5.66528917e+00 -2.11751704e+01 4.15743064e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 5.71048182e+00 8.62792870e+00 1.65608607e+00 2.81128757e+01 1.25882442e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.02967976e+02 2.63635888e+00 6.64149614e+00 -3.71270698e+00 6.29465697e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 3.03030325e+00 4.87311879e+00 3.27879016e+00 -4.84332844e+00 -7.24043631e+03
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 7.09164471e+00 2.48949797e+00 8.23324107e+00 -2.25118380e+00 -5.87606641e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.01073948e+02 7.35943716e+00 8.36039866e+00 -3.84324854e+00 -1.92571552e+02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 2.53696899e+01 5.81812991e+00 9.81052620e+00 -2.54879329e+00 -1.92639646e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 1.47900728e+01 6.71791012e+00 5.51682578e+00 6.37676230e+00 1.55421681e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.03241098e+01 2.76838270e+00 5.09461192e+00 -4.20335842e+00 2.09239154e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 7.54346492e+00 2.90571276e+00 7.78128045e+00 -1.62632484e+00 -4.49946817e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 6.17493471e+01 1.37347593e+00 2.19223591e+00 -9.10292371e+00 1.58043350e+02
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 2.64492509e+01 3.89860782e+00 5.92223962e+00 -3.89385220e+00 -1.69835357e+05
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 2.42523622e+01 6.03770195e+00 5.91622840e+00 -2.11572444e+00 -3.87639188e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 1.28375078e+01 8.72141423e+00 1.80525811e+00 6.07849517e+00 1.82626344e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.12994263e+01 7.00234703e+00 4.76185677e+00 -8.81517456e+00 5.95047756e+02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 5.78328421e+00 4.91856691e+00 8.67956319e+00 -4.01022896e+00 -1.26054398e+02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 1.94528757e+01 9.57808103e+00 8.70538260e+00 -1.03257442e+01 1.41376472e+03
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 9.84112448e+01 7.47320681e+00 1.89313898e+00 -8.32127740e+01 1.59287623e+02
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 1.14015144e+01 9.37148683e+00 1.81648794e+00 9.02109409e+01 1.30548502e+02
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 8.87237842e+01 5.74829176e+00 3.36425929e+00 -2.12312780e+01 3.72511340e+02
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 1.60362440e+01 3.33013847e+00 8.87289456e+00 -3.89973987e+00 3.50284967e+02
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 9.33540155e+00 1.47544018e+00 2.16012327e+00 -5.50182291e+00 7.40395269e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 1.02994659e+02 7.53476366e+00 7.47997122e+00 -1.47910841e+01 3.94500859e+02
