G	c	dx1dt	d2x1dt2	p	m2	d1	d2	Fc	m1	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	5.645011715652273665e+01	4.541019814974282198e+00	6.836954947400884386e+00	-9.338037389236202301e+00	2.090893770986278071e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	1.998929813194608585e+02	5.265228276086735271e+00	2.562938550123859738e+00	-5.648425081066976361e+01	3.476805706148550712e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	2.108378583803213857e+01	8.695556609634298439e+00	8.856384025446107700e+00	-4.023264120613662342e+00	-2.129878053365110873e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	3.117707547517770905e+01	4.058483116214253172e+00	6.517564152314371917e+00	-4.953535868702283018e+00	3.434347589114140078e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	1.002592779641583576e+01	8.834068865250703340e+00	2.414852346363961288e+00	-1.956131131403759582e+02	2.363602731094646003e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	8.904166859717145499e+00	1.777252442425731882e+00	9.658187400239281573e+00	-1.692847181385622068e+00	-4.303390179948567038e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	1.166008279373759216e+01	7.984477701383476678e+00	5.660121402796109535e+00	-2.113614012806303677e+01	4.159763258370683303e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	5.707968398106122443e+00	8.622905376039703640e+00	1.653079227570352083e+00	2.810148998284353183e+01	1.259692096741128040e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.029772181702960836e+02	2.631861775505803358e+00	6.637295819854966972e+00	-3.734848083687662079e+00	6.295551347307240349e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	3.026817967921946018e+00	4.874963589212926607e+00	3.282344339975056258e+00	-4.821735863698576985e+00	-7.240338731877422106e+03
