G	c	dx1dt	d2x1dt2	m2	m1	d1	d2	Fg	Fc	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	6.168726755396424011e+00	1.275277189475087170e+00	4.550220109965910531e+00	1.468882184972109650e+00	6.814079551759095743e+00	4.241894251315099496e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	8.142713016237127732e+00	1.975072220429673342e+00	5.020893015393417258e+00	9.936621858441749833e-01	2.525837854213339728e+00	3.260994039802337170e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	7.596082644131248784e+00	1.074609830240103214e+01	8.725658481652667220e+00	-2.995332397556578030e+01	9.362632128181729740e+00	-6.588399064652829793e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	2.280383868036645723e+00	5.603375680274096382e-01	3.744541858937630696e+00	1.405808265921246525e+00	6.266257324826442598e+00	2.355171069021108821e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	1.711017098202794129e+00	6.916607913362416982e-01	8.621037229663182089e+00	3.401023212720443833e+00	1.779936190393361706e+00	4.833926973396113169e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	3.207242008029061786e+00	1.398880957562963490e+00	2.002751949393435371e+00	1.317022328288436572e+00	9.747383886685291543e+00	1.002458624551458044e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	3.950230151658970623e+00	1.048305236985709765e+00	7.872251898214870813e+00	3.068243797417390617e+00	5.991949707937195946e+00	3.105801627223263495e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	4.599865824935446490e+00	1.699758026288469992e+01	8.879538353025052899e+00	-1.190888731317594740e+01	1.715895528567869643e+00	-3.288849704142758696e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	6.496380130213753823e+00	1.085916899204670827e+00	2.594250490505680240e+00	2.853189223116147089e-01	6.778089970477068071e+00	1.746500131374467912e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	1.562113031448890910e+00	2.354597724152346583e+00	4.497633605407895807e+00	-1.067436374251933096e+01	3.483432866541011474e+00	-5.685006956465981887e+01
