G	c	dx1dt	d2x1dt2	d1	d2	p	W	Fc	Fg	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	-4.908658020734757876e+00	7.008086431481841849e+00	3.514085599214639046e+02	6.189894122169683044e+00	1.373625338112561067e+01	4.515549869186640031e+00	-3.737909085533712150e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	-5.106711542570951501e+00	8.210764815804534322e+00	9.245508094325680304e+02	8.658911910295358894e+00	4.194638109984737184e+01	4.939670349769079039e+00	-2.429325016277771587e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	-2.680552699749389589e+00	3.163632554688424303e+00	3.215017471561104685e+02	7.817001136774540448e+00	3.108642376715856059e+01	8.525777998833813598e+00	-5.822438978374225860e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	-5.185808252422600795e+00	6.501940227217530399e+00	5.244442266280514104e+02	2.408546717896151268e+00	3.207688798648465678e+01	3.576940032983472406e+00	-9.164692788333519968e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	-4.793467771532696098e+00	5.709195395569330422e+00	1.984892252097367304e+02	2.358282170683469570e+00	1.040442459398863662e+01	8.574236249115948283e+00	-5.582254922802856179e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	-2.340739409586173103e+00	8.586754122082083995e+00	2.674682581533177199e+02	3.227734583009150171e+00	8.478909715561650629e+00	1.910027489413243629e+00	-7.632856069974015834e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	-3.135844735863621668e+00	8.633893778470161706e+00	1.591438368027011734e+02	3.979135024438723800e+00	-8.149791639428304313e-01	7.978086884601005124e+00	-6.736841759410929775e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	-2.541376473991212581e+00	1.117823195019920668e+00	1.222598263898750588e+02	4.406677200590047860e+00	4.404656135684570728e+01	8.566595907749265493e+00	-9.206085536128855162e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	7.359607344267067752e+00	6.579203973381958725e+00	5.448576162736924289e+02	7.217548684644954804e+00	2.519239417806061709e+01	2.418803596263006561e+00	2.682293405499503458e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	-3.144736527658360536e+00	1.480192286662387557e+00	1.412612938917010297e+02	1.716528453632729212e+00	4.019100466849330644e+01	4.386933754049424650e+00	-1.749246486930687849e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	3.702796482370709796e+00	5.938071766545464314e+00	7.943268970105175697e+01	1.531316390524507964e+00	4.232441904100337382e+00	2.539445010374602685e+00	1.318248789749815741e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	7.137815297201091980e+00	3.697867446890039211e+00	4.206043438380532962e+02	4.424099909824970922e+00	4.952178072016360488e+01	7.463444220868944434e+00	5.658937128702510311e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.558015580335133876e+00	9.236329949147659590e+00	9.257299353337213432e+00	-2.883122022345348867e+00	3.994383215643941831e+00	3.845209731636234096e+02	7.572232963223721747e+00	3.701847915098383623e+01	5.546135081445483728e+00	-2.889082155921784967e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.772552091971206778e+00	1.482971381037684999e+00	1.720504333049172274e+00	-1.802290589483481753e+01	4.460176001282523117e+00	1.551936941474171761e+02	2.824627825608709841e+00	1.091795174821345249e+01	6.571582642192707269e+00	-2.237867564516716534e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.478040678814608988e+00	7.428980091833762955e+00	5.460844786958421793e+00	-3.069020815670970403e+00	6.155843787573106241e+00	2.199887598578308143e+02	6.792806789832297021e+00	3.519875371485463145e+00	3.191403816703276775e+00	-2.760644354835287140e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.383406643891166965e+00	9.277517460116685655e+00	4.829261142928119810e+00	-3.250405151324313735e+00	3.990695129104925520e+00	1.290713711079249038e+02	2.428988151444750443e+00	7.037274671824569339e+00	3.223773507489263057e+00	-2.683911422273375091e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.631354844251960756e+00	2.865177532026740970e+00	3.932581402667221226e+00	-4.003881584154526330e+00	8.138590358771933708e+00	3.428308064905522201e+02	8.752155601503931237e+00	5.907849832294855830e+00	9.662848830130000843e-01	-1.369064654368831457e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.491247932277187438e+00	5.952469172271389830e+00	8.866600996374156551e+00	-2.646459363704991130e+00	4.672983274559570965e+00	3.226413296937175801e+02	8.646942448549182814e+00	1.680816574420800791e+01	3.875391295551261273e+00	-2.880489145302285170e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.150025424714101518e+00	9.314586639610324070e+00	1.581783664217808250e+00	3.347121548414233594e+00	1.390158820180406263e+00	1.234787183576137437e+02	3.846366676219934000e+00	2.130297114290966576e+01	6.436809417566290215e+00	6.974657584398460397e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.377200560400079876e+00	1.268887722023712694e+00	7.584514496135152051e+00	-2.865734847440911448e+00	8.032265974019937360e+00	3.197560765034987185e+02	3.095825870404092406e+00	1.651917809220871192e+01	8.662047998292692341e+00	-2.026150550281363705e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.539768114687381839e+00	7.105799701837401727e+00	9.929243132126847726e+00	-2.548190053590828175e+00	3.467978531270910825e+00	2.619581244188703977e+02	4.409783050025858131e+00	2.850601182847657356e+01	6.928573487516989537e+00	-2.859251132106226945e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.270140225180890869e+00	3.816022361291512510e+00	5.740064448253211715e+00	-3.013633632278642338e+00	4.576471435894355899e+00	1.442444494989972554e+02	3.247676619981531232e+00	7.327115701748112997e+00	5.218314697652713718e+00	-3.539599963427373375e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.885214061010276776e+00	9.261782444169366357e+00	9.918279121550986233e+00	-2.817357097642790631e+00	7.404234312922715944e+00	3.169317270246153839e+02	6.663770152039962369e+00	7.930248098856668371e+00	9.848843027199073674e+00	-5.502714145962294134e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.592056478638474104e+00	9.329795992732128340e+00	1.039236668337261138e+00	5.670351532089429547e+00	4.150271399068060418e+00	2.104487583026239861e+02	8.150315999027389680e+00	9.169164189247377195e+00	7.729768954197066222e+00	1.695839770767665122e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.292970078688797209e+00	8.997417837488288939e+00	4.685075084760834230e+00	-3.579919183389917769e+00	1.148060978903145068e+00	1.041055385787374092e+02	6.864402250555060370e+00	1.560606731619019705e+01	9.299622050164646936e+00	-2.476947464356464845e+00
