G	c	dx1dt	d2x1dt2	d1	Fc	W	d2	m2	m1	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	2.334096949658946230e+01	1.829775967284236415e+00	6.128343107576733395e+00	4.537281749503044637e+00	2.048596744648043977e+00	4.378138917803763519e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	2.640481870752592997e+01	9.169256212050724830e-01	8.359414427578714779e+00	5.287446321586919851e+00	6.361616174231168319e-01	1.010680372187691578e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	2.948714513525879255e+01	6.132074340331745699e-01	7.901630060829553770e+00	8.733740450173119285e+00	8.781527746576817117e-02	6.230232112305154057e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.128979934953866149e+01	6.661414110375984965e-01	2.374810937353895035e+00	4.003780344361742571e+00	6.766887245115744687e-01	2.391911515943017097e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	2.129312508749010391e+01	5.421047202811415389e-01	2.391064519319904491e+00	8.927454092900978466e+00	2.440343675907468424e-01	9.780487938801387671e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	6.583464212945084171e+01	6.223236590464630291e-01	3.346452101477004781e+00	1.820613394834288634e+00	2.140034242162835110e+00	2.252105369063889473e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	4.669965275964012363e+01	4.790177884340044989e-01	4.263304166470966550e+00	8.019686791583390928e+00	4.514200305878877106e-01	1.124260071249164561e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	8.877636167072529005e+00	6.205946010909136890e-01	4.625012080456359698e+00	8.536746879701240687e+00	2.457760398460321488e-02	3.112334187174483624e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	1.083788410273486491e+01	1.596408079327177987e+00	7.025298212535846076e+00	2.679949041009694888e+00	2.376220789971434932e+00	1.220500187040240103e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	7.598694966512412385e+00	9.823504062543624293e-01	1.552857170139269272e+00	4.900901374905634711e+00	1.363602579300564333e-01	1.204784450197709411e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	5.888647286554402172e+00	8.032133418085125598e+00	1.075914801807155152e+00	1.361544823607162558e+00	2.578604036322703852e+00	-3.102080223997396580e+00	2.067372966653302413e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	3.525294857228431944e+00	5.791393620601445136e+00	5.505780474443181527e-01	4.552099204100903407e+00	7.342360588812629985e+00	1.043486532462781780e-01	7.381351637971138580e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	3.828822443914433826e+00	3.485615649734500465e+01	5.637573721362770796e-01	7.264507110620480823e+00	5.763945192276627161e+00	1.414281297329275933e-01	3.460112562798660085e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	4.120465916107197479e+00	9.207356467489439922e+00	3.287170778506570024e+00	2.671940193803991725e+00	6.680481257969590914e+00	-7.359016166166886030e+00	2.318327537691027374e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	6.691987042793133611e+00	3.826570330015213273e+01	5.810430381220095253e-01	6.710282370977633803e+00	2.740678683033482610e+00	7.508961080306021385e-01	1.238943313390559631e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	3.857232010208233142e+00	1.895686897281592920e+01	4.783684471389905157e-01	3.285657064468352928e+00	2.844330821586768643e+00	3.328225130087778538e-01	1.304222719317054358e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	7.671301878903957316e+00	3.154191503452499390e+01	1.782322115854924505e+00	8.962046917536261148e+00	1.444256436386416320e+00	6.218541311990533060e+00	1.160694469394461414e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	4.667103914076850657e+00	4.255975529659264112e+01	8.415986320140481647e-01	9.119828394963809259e+00	3.971447719962294620e+00	4.229775945925423053e-01	6.386679389857111699e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.950445050361526711e+00	9.299250570975260644e+00	1.318512674117296335e+00	1.621598761358980623e+00	1.718676658869993545e+00	5.489016066522782733e-01	3.733344504939838604e+00	6.026960464062078415e+00	5.926108620062028876e-02	6.291428676666673825e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.613097760201319009e+00	1.313622590119733147e+00	7.036773744015782484e+00	8.044340356187779761e+00	5.613431134669787781e+01	3.598650512254994105e+00	2.980147171701535314e+00	8.699866712125233548e+00	-1.391878368446161529e+00	4.544975796253373801e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.508351056160433856e+00	7.305241040781356610e+00	9.636465607106524445e+00	3.674177225069385599e+00	3.435969024456565535e+01	7.153434640468455674e-01	4.663975691302036708e+00	6.902746417058184036e+00	1.556073686452170979e-01	1.186859701489608954e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.173985609795511476e+00	3.696470612563533820e+00	6.007335540782873906e+00	4.933177670515551227e+00	2.955693867808793485e+01	1.145097284773126889e+00	3.125557474445416428e+00	4.956748599998364035e+00	9.382630762959347503e-01	7.671172223717595884e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.684335869516643047e+00	9.312807243112471767e+00	9.484219488039618895e+00	7.120101147754174242e+00	6.782180316947217591e+01	4.960656718272837828e-01	6.913560575866614322e+00	9.668791737219628146e+00	1.837019574933320132e-01	2.659966809776676211e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.331209526187143055e+00	9.691680932885450517e+00	1.414494962789612176e+00	3.899054360778399619e+00	5.376783446415801748e+00	4.923513561842838282e-01	8.465418473048954340e+00	7.438249158295112018e+00	1.097035369468975785e-01	7.932786400720395203e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.134773600249389780e+00	9.493829009481533632e+00	4.829200350861690083e+00	1.518868673774395939e+00	7.528510107196497714e+00	5.221149937175173505e-01	7.044420982610982485e+00	9.365079820233551899e+00	2.594268047703140317e-02	3.739895385822422647e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.022580341163264350e+00	5.322823035626956134e+00	3.359878999079894957e+00	4.365231435520263936e+00	1.424679647671863769e+01	1.027677589473672937e+00	8.412991214973454035e+00	5.772117773040998934e+00	3.236805813184600034e-01	7.880260396521989730e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.755192261200174464e+00	8.733823873367461132e+00	7.605975416513810927e+00	9.417761077097962286e+00	7.189388019290670684e+01	5.205341376095145023e-01	4.646238355392756425e+00	3.424743172159134375e+00	8.488589515470059688e-01	2.492817556006159396e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.640211843352028076e+00	8.650642889575717476e+00	9.817497863999330221e+00	6.772610920501789700e+00	6.698627041398404458e+01	5.751812493061619902e-01	2.411662885947349455e+00	1.486400263931431764e+00	1.579532148167137606e+00	8.580324415717131004e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.294142720176743033e+00	3.912908649368012082e+00	3.273993829028643443e+00	7.012243103589532289e+00	2.340244942368063974e+01	1.350642241238191321e+00	7.618096865970477971e+00	7.545485297753923071e+00	6.385698088275533202e-01	2.870694204255736182e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.441591460872025721e+00	8.443608917019343352e+00	6.968297559586937417e+00	6.691042286275134643e+00	4.618274568303456107e+01	4.259779734826674713e-01	4.275431319981490397e+00	2.101564716468918625e+00	9.244615776970929177e-01	1.930755527745066535e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.350948403152234079e+00	1.410329822771493768e+00	2.769254717160951174e+00	2.830226220432744633e+00	7.414998087448027242e+00	3.917302715797351453e+00	7.099113627843669505e+00	3.646796295875143645e+00	1.596078834810760627e+00	1.750879183127916683e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.508329692192494687e+00	6.346649294930271523e+00	6.065281887036587882e+00	4.845805360160111874e+00	2.869808566907311231e+01	6.805551557108485694e-01	3.451943913872319580e+00	5.712864624682503667e+00	3.397729226152917947e-01	4.295987730778465519e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.682710189156301661e+00	3.154057983033092150e+00	5.170967490361326746e+00	7.807659765779778382e+00	4.043355414655894720e+01	1.197904620985306590e+00	1.768606508394740873e+00	6.035421217377822778e+00	-1.815634075391480362e+00	4.113661692947599846e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.563756170934089695e+00	2.109253130120573694e+00	9.758705979554070709e+00	1.873301783707477464e+00	1.846617756588672776e+01	2.618628438232594391e+00	9.925307165954723843e+00	6.460817774172924466e+00	3.095503073070899336e-01	6.823571737867425435e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.699715688483347975e+00	1.691696164245823253e+00	6.419826878567536532e+00	3.520645740941186652e+00	2.252550003759532160e+01	3.221896117663973325e+00	2.401354821201129308e+00	2.477899676116871674e+00	1.180760542954896231e+01	2.386597035611882411e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.383022724061895303e+00	7.217209206492506191e+00	4.114367114469459352e+00	3.490288205409360245e+00	1.474227937670479349e+01	7.642876900998072376e-01	9.901945129209702046e+00	4.388581606463072937e+00	2.271744076026788461e-01	2.137466612824610590e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.615094892522843661e+00	4.053964615935394811e+00	1.992736482504497530e+00	4.816057208475560181e+00	9.594779116469132063e+00	1.178268249996156980e+00	9.754497284182527039e+00	6.524729054099296377e+00	4.147377448212407614e-01	1.972200564712404569e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.834921873320037422e+00	7.511565480916056359e+00	2.407894892914207663e+00	9.844876505720298709e+00	2.327526125072538221e+01	5.224295187290608489e-01	8.113420919807722953e+00	9.720817675310359007e+00	3.142153454390115286e-01	6.441400573213746483e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.136384508400485771e+00	1.518206082336289953e+00	2.978932604264686201e+00	1.708031564154401938e+00	4.880128205201978098e+00	3.300325339544130543e+00	7.009859046257410853e+00	7.642060951912294620e+00	3.211576115984333679e-01	1.610140325933737460e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.007829060863204340e+00	3.825506755105877232e+00	3.161752567131416836e+00	5.670064323823806873e+00	1.847051776984166338e+01	1.294060009822966872e+00	6.309635772458941361e+00	9.295138848656595343e+00	4.180689339888162825e-01	4.467428761781304658e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.145737337980242909e+00	5.810704807196120925e+00	8.546928412872784264e+00	2.527983046508182952e+00	2.247354469898438722e+01	6.763081745894375940e-01	8.881640100892063572e+00	7.816770825839936876e+00	1.224574719166409836e-01	1.559057231465843962e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.409721231123024054e+00	8.149108114769784805e+00	5.969815822723637311e+00	9.737727466804747323e+00	5.874033024251531288e+01	6.220961285765199689e-01	3.532878551152746738e+00	6.326837740755197892e+00	5.677620490325242519e-01	3.927477927447511341e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.363509061392820909e+00	3.941442947350489501e+00	5.785697595076902289e+00	1.954028742031204358e+00	1.121236766324813061e+01	8.907465637411801085e-01	5.131792009792774500e+00	2.824497372829061437e+00	4.267124550798080951e-01	1.382197875363964101e+00
