G c dx1dt d2x1dt2 p d1 Fg m2 m1 d2 Fc W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 2.07897562e+00 6.14796290e+00 4.54271968e+00 -1.99632239e+01 6.83431259e+00 1.28477558e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 3.76965076e+00 8.24889096e+00 5.26092093e+00 -1.43851582e+01 2.55147726e+00 -2.74762574e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.13500098e+01 7.84144837e+00 8.69092654e+00 3.32935095e+01 8.85155107e+00 3.75444930e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 3.13029706e+00 2.38509914e+00 4.06003947e+00 1.60561905e+01 6.51804615e+00 -3.19543457e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 1.34866069e+00 2.34324523e+00 8.82684716e+00 8.36684260e+00 2.41483495e+00 -2.36811031e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 2.21693996e+00 3.41356931e+00 1.79320988e+00 -9.40172070e+00 9.66104252e+00 1.33228548e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 8.39597653e-01 4.24967254e+00 7.99118593e+00 1.95529375e+01 5.66528917e+00 -5.01782832e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 6.33491146e+01 4.67610023e+00 8.62792870e+00 2.42214929e+00 1.65608607e+00 8.09868044e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 1.44081108e+00 7.11727495e+00 2.63635888e+00 -4.15740534e+00 6.64149614e+00 5.83703288e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 2.70878227e+01 1.51012389e+00 4.87311879e+00 2.12505135e+00 3.27879016e+00 1.56789421e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 2.59915654e-01 1.31205434e+00 2.48949797e+00 1.25585127e+01 8.23324107e+00 -5.27737240e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.23977910e+00 4.52719507e+00 7.35943716e+00 9.32504046e+00 8.36039866e+00 -2.36372991e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 2.06778177e+01 7.27447323e+00 5.81812991e+00 -1.50252517e+01 9.81052620e+00 -2.04155558e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 1.57045563e+00 2.74091809e+00 6.71791012e+00 7.05513147e+00 5.51682578e+00 -1.13596460e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 2.31651402e+00 6.77354033e+00 2.76838270e+00 -4.55616528e+00 5.09461192e+00 3.09696723e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.10939654e+00 3.33845324e+00 2.90571276e+00 -2.69020174e+01 7.78128045e+00 1.44400770e+02
