G	c	dx1dt	d2x1dt2	p	d1	Fg	m2	m1	d2	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	2.093522228364632642e+00	6.141816882249848675e+00	4.541019814974282198e+00	-1.993795875229552195e+01	6.836778300866514613e+00	1.285798398733228112e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	3.779022737806804866e+00	8.255822110410710124e+00	5.265228276086735271e+00	-1.427557000130808973e+01	2.548767205776064415e+00	-2.752622987240532737e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	2.134842998430814021e+01	7.832950200795565365e+00	8.695556609634298439e+00	3.333972025602951561e+01	8.866185790569041103e+00	3.755887866772882830e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	3.127111250550363319e+00	2.396632094308385419e+00	4.058483116214253172e+00	1.605158183399723981e+01	6.514948950628724589e+00	-3.185321095049006956e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	1.356765846621621030e+00	2.341005115860546049e+00	8.834068865250703340e+00	8.367008936962916366e+00	2.412467594209704025e+00	-2.313794518737649852e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	2.232546181281152009e+00	3.414362478195523742e+00	1.777252442425731882e+00	-9.429020194929931264e+00	9.656283930181439601e+00	1.332451035964101607e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	8.471057566391193561e-01	4.239366731699734991e+00	7.984477701383476678e+00	1.950352540999849182e+01	5.672240536571023561e+00	-5.014389813131635520e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	6.336621126492305223e+01	4.675761778083037612e+00	8.622905376039703640e+00	2.393399084564615364e+00	1.654058251855242023e+00	8.111470840999093923e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	1.433550230821098781e+00	7.118519480518819442e+00	2.631861775505803358e+00	-4.197567094361779105e+00	6.637552766808325622e+00	5.850216873372038151e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	2.708137239846307764e+01	1.509654569507747679e+00	4.874963589212926607e+00	2.159034974625509751e+00	3.282635839408188705e+00	1.582278176486085997e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	2.505561812386180587e-01	1.308987266708068642e+00	2.491089169711135920e+00	1.250279668304321845e+01	8.225732254325366810e+00	-5.276927106002827372e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.243256687497532376e+00	4.522039182380646949e+00	7.361598663355887417e+00	9.394384689669458055e+00	8.363799123568142591e+00	-2.357750173930768511e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	2.067920007009069394e+01	7.280631149599698482e+00	5.821400120611479601e+00	-1.498613554036369599e+01	9.820216621754923381e+00	-2.040107917144782732e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	1.569259454361356276e+00	2.741085894859378147e+00	6.712697674932304182e+00	7.056197825661345568e+00	5.519908001703892175e+00	-1.142685100790270880e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	2.322884591235045537e+00	6.781932727926480275e+00	2.761699566335328981e+00	-4.556148708074117870e+00	5.098081946217983607e+00	3.093536308559385972e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.119097563741581869e+00	3.335585518041525699e+00	2.907887041272608108e+00	-2.693100325133049466e+01	7.786013385778220552e+00	1.444024979402872759e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	2.018997940903692889e+00	8.972406675956651867e+00	1.370018363148451934e+00	-1.358161839896839584e+00	2.201536344776792387e+00	1.542580294503083760e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	1.121525587178643590e+01	9.065651999360392566e+00	3.889991910583282753e+00	-3.447926948546374160e+00	5.928821176425579154e+00	-4.305270688013342095e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	3.626775468861822116e+00	3.666744579933914672e+00	6.043030919978058080e+00	4.091913079963818589e+00	5.918620106365500178e+00	-5.795201311827093527e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	3.131925370614289772e+00	3.063334118294914088e+00	8.729068010739124972e+00	1.234902013623529982e+01	1.810175079959737143e+00	5.657643956354735160e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	1.761023933564495891e+01	4.707713693463406734e+00	7.010889895556807083e+00	1.090810346405235798e+01	4.757037479306749361e+00	9.386175916414480014e+01
