G c dx1dt d2x1dt2 dx2dt Fg d1 Fc d2 m2 m1 W p
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 9.54708708e+00 6.83431259e+00 4.05405169e+01 7.92513513e+01 1.67206835e+03
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 1.28104059e+01 2.55147726e+00 8.39328933e+01 6.11673765e+01 -5.59480045e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 2.93613438e+00 8.85155107e+00 7.72035848e+01 3.29398481e+02 -1.79532410e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 3.89123784e+00 6.51804615e+00 2.82719300e+01 -2.42620135e+00 -3.32025417e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 1.63149020e+00 2.41483495e+00 1.04632245e+01 1.25755762e+02 -4.77904081e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 1.61720541e+01 9.66104252e+00 2.75281373e+01 -2.76027074e+02 2.42368518e+03
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 4.86846790e+00 5.66528917e+00 1.78017779e+01 4.48283335e+02 -2.68075842e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 6.01270241e-01 1.65608607e+00 4.44412107e+01 1.50341067e+02 -1.37225056e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 1.90762878e+01 6.64149614e+00 5.89049746e+01 -3.31188354e+01 -4.23647604e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 4.54458488e-01 3.27879016e+00 1.76912001e+01 2.20388426e+01 -7.45744220e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 3.13044877e+00 8.23324107e+00 1.80216082e+01 -4.21151334e+01 -1.91047523e+03
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 2.20760365e+00 8.36039866e+00 6.07667323e+01 5.27389135e+00 -6.11322139e+01
