G	c	dx1dt	d2x1dt2	dx2dt	m1	Fg	m2	Fc	d1	W	p	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	1.920171962455870229e+01	6.221693446417200235e+00	-2.368251464720785648e+01	4.608528489826033692e+00	-1.177028919016661312e+01	6.887009615252392969e+00	-2.112612228697562244e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	4.797189590686012650e+01	8.248907571244490811e+00	-1.544114257849008425e+02	5.307325449243943893e+00	-4.148178037007206598e+01	2.530583560764433582e+00	-8.859145538726675539e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	2.850973094421687648e+01	7.844756635118780963e+00	-1.758244797001609072e+02	8.692466849946201890e+00	-1.764564181188801939e+01	8.844070897436219880e+00	-3.656777938989381482e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	4.979750436469941377e+01	2.343291281945850013e+00	-3.789467245419307773e+01	4.153377234575449606e+00	-3.293333693448764699e+00	6.458535548857488706e+00	-1.163984369036047184e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	5.052552199162371238e+01	2.313686773542334318e+00	-1.601187094614296669e+01	8.874740727173110244e+00	-7.398819545295158839e-01	2.322735519071927879e+00	-2.317221883220625784e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	5.874220898459470419e+01	3.391327423735940982e+00	-1.880050206149045167e+01	1.769170473310570202e+00	-5.512040621360838166e+00	9.659325632409505147e+00	-2.890314733955329984e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	6.644018730612646095e+01	4.328268733768231513e+00	-1.478766532476897133e+01	7.915457529129422909e+00	-1.101586863406437189e+00	5.613285861192510495e+00	-1.250699069048590673e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	9.251264303583836224e+00	4.672185465739331356e+00	-1.188824545967204500e+02	8.605160294137627730e+00	-7.643723725974797212e+00	1.706557088781259557e+00	-4.862862782490566360e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	2.341127945290386592e+01	7.045256877862809297e+00	-4.954348269803597304e+01	2.659035939683334515e+00	-4.129984081385640593e+01	6.626206103179740126e+00	-2.019310845484006300e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	7.524130388214548937e+00	1.524032907983170038e+00	-1.875412986078542588e+01	4.905882279698015047e+00	-1.113184319662145372e+00	3.295576787634443505e+00	-1.505536069783743642e+03
