G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	p	W	m2	Fc	m1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	5.338102072069635717e+00	3.331742766565950475e+00	2.889955549028279336e+00	6.517782727427256617e+00	-1.079928765652920930e+01	5.582087553962954196e+00	-3.728951533723839251e+00	4.081065832584241271e+00	7.656509252184735992e+00	1.369270115739439131e+00	1.004078874379829074e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.725192012894217086e+00	6.242438722053079481e+00	3.920077956623448934e+00	7.609680522873169650e+00	-1.427732635398610128e+01	6.999427251410502038e+00	-6.260847897211489155e+00	4.356273544634159833e+00	2.481274783363782710e+00	2.633858186070792140e+00	2.942328891073363906e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.737161266651150449e+00	9.012590745027113215e+00	9.126222766674196407e+00	3.867849476105488460e+00	-6.227067113069744586e+00	7.525404034215391391e+00	-3.254850722345844360e+01	8.043302868270261641e+00	8.800073717924595584e+00	9.200485089806363703e+00	2.792645287058299886e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.942566564424075715e+00	7.825202247417346157e+00	2.627214375107203903e+00	5.870332978282993608e+00	-1.161977445993842473e+01	2.397893181300488674e+00	-8.282731628045023609e-01	4.656615764892990228e+00	6.117052858184369057e+00	6.907161669947619487e+00	2.818801445001888695e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.599235796012567157e+00	7.617793803267475461e+00	2.916002922604973957e+00	6.186143482711313979e+00	-1.143434848298427298e+01	2.686795588638581478e+00	-4.541990824376429536e-01	8.313575740606292896e+00	1.327565583072765953e+00	5.017926266432049864e+00	9.946458273456516963e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.790096873580623305e+00	8.359724941673928100e+00	8.129990527991816762e+00	9.414704253914868204e+00	-1.687703793985256695e+01	3.100012671841822165e+00	-7.133094085428239417e+00	8.857416753535987120e-01	9.863912651234672424e+00	4.768631148053049884e+00	1.030264166809052426e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.496102560459960484e+00	7.524293643758776184e+00	5.627118521497850523e+00	9.807722379184202310e+00	-1.620510485127544698e+01	3.942434234532158133e+00	-5.770789411077345221e+00	7.947671389440194467e+00	5.323024077593904835e+00	5.883251086883171332e+00	3.357315853908233407e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.984868240611964652e+00	8.992079583018030675e+00	8.256346617413944600e+00	1.339673484332449815e+00	-2.104834723986972911e+00	5.237473394671467553e+00	-3.301304392611133665e+01	8.943220766469291760e+00	5.628794836564701143e-01	2.364752690083969933e-01	1.454985591663421474e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.983161735912373658e+00	3.231050057656962515e+00	1.856775465749737064e+00	7.057380384162310172e+00	-8.965232462581019135e+00	6.392191721681492744e+00	-1.512016639122474748e+00	2.657563672158712365e+00	6.554357323614081743e+00	2.278091496715280329e+00	2.499517328030846031e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.171529765448116933e+00	4.126651750108165650e+00	4.940708376220707798e+00	1.865294194103179093e+00	-2.888869378615309014e+00	1.421189820420078798e+00	-7.037195090576237710e+00	5.205793654194538433e+00	3.176445993239704002e+00	2.574465821817580213e+00	1.064519562600056801e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.335553313987954072e+00	2.843270210884929927e+00	1.353810011805570257e+00	6.139694777070319631e+00	-7.516761465487908467e+00	1.833465977751218334e+00	-4.136120712786677700e+00	3.123159145674756054e+00	8.061796803772637077e+00	3.593576356606422717e+00	9.726884063987034779e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.489318773692732023e+00	9.931262644640744597e+00	1.381603420211358735e+00	4.358815282869956675e+00	-4.161382597322942800e+00	4.141326279860868986e+00	-2.707085565309722774e+00	7.672850896360071005e+00	8.387961415418201838e+00	8.249946381443626464e+00	3.342534669354923693e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.054332040099321688e+00	9.038776564276103542e+00	9.050283549512728953e+00	3.688602326489683669e+00	-7.461788173586779926e+00	6.439164367695704883e+00	-2.937717266944956407e+01	5.733613760505463119e+00	8.915156650770224900e+00	3.825922168713451921e+00	7.073411113374348247e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.578389037540429030e+00	8.922352991672996003e-01	2.191480551407103405e+00	4.718560461634419667e+00	-7.855576055956856152e+00	3.670630164746325086e+00	-3.203510313827259370e+00	6.419287625700750510e+00	6.010295011018201627e+00	1.942064149219474567e+00	3.521275773584815738e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.772828815603280761e+00	7.161445399498709286e+00	5.427392619045305011e+00	6.415304406643137725e+00	-1.124685472254205720e+01	7.208912326083412481e+00	-1.000202365334438070e+01	3.191260017452239861e+00	5.284205692059057213e+00	5.562086505276176318e+00	3.644225956410759437e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.158862634104173228e+00	9.756448371955167786e+00	5.114904502927237750e+00	5.031470335915680714e+00	-7.798240897719326270e+00	3.790750747263768705e+00	-5.763182635998618686e+00	3.056755169829554308e+00	8.411082137064024522e+00	9.375885278961574087e+00	3.590017309027601300e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.454722190419268202e+00	3.323773771134759691e+00	3.568891283885501142e+00	7.506677919350346784e+00	-1.328502807278150044e+01	8.926128560400673706e+00	-6.681669968713698893e+00	9.012438903223110032e-01	1.844306602811127460e+00	3.947648773339136774e+00	4.444370342850104016e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.278018023732768071e+00	6.206616424520624342e+00	8.381443007632579878e+00	3.764356222377024608e+00	-9.361553561779523136e+00	9.410155740248249856e+00	-2.935734640801932827e+01	4.613008470188599830e+00	6.110013882666687657e+00	1.037040215173399726e+00	6.571435808413853863e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.948763251584077594e+00	8.923753058057936727e+00	7.628489947856431641e-01	1.657243506152565438e+00	-2.796341940178014962e+00	2.319082982982943797e+00	-3.749829258748024863e+00	6.181529383847516712e+00	4.853485538977635017e+00	4.019669071392751647e+00	2.893231703180666869e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.936628190099856983e+00	1.103913646305612728e+00	7.461887174317221039e+00	8.467746243218053692e+00	-1.674127377697289987e+01	2.831752028119237874e+00	-3.645496106148897741e+00	9.079614341851014458e+00	1.305660536601666255e+00	7.546835276951383342e+00	7.210462403605085058e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.741549681028323526e+00	7.332154725664212336e+00	9.857821449813933157e+00	4.453491218337828350e+00	-6.454837051156429695e+00	5.217872061901468683e+00	-1.922711025786783878e+01	6.787278589765211478e+00	3.969201562871004008e+00	5.621652465577290592e+00	2.735546039794030193e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.975798268765986077e+00	3.797434623913977347e+00	5.056869610355615663e+00	4.355647727630483246e+00	-1.217633982540779058e+01	2.404442315450618928e+00	-6.802494572463946731e+00	5.538897620241836073e+00	8.774693379648935476e+00	8.836010747401262577e+00	3.361797552214343199e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.179889953553638904e+00	9.561540329604435229e+00	9.761195877228981743e+00	6.224673679432022766e+00	-1.235495195035037774e+01	6.869824382206132896e+00	-1.613535058769426556e+01	8.708324883526641358e+00	8.058355838129806159e+00	1.117008068388234854e+01	1.731646438900422424e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.472216047367147063e+00	9.495101463702171785e+00	1.443536438824765566e+00	4.260994902404712903e+00	-4.297023824978108308e+00	8.608700348349906051e+00	-4.933851290766676279e+00	8.392414962727006156e+00	1.608987889546144912e+00	7.539089956184255925e+00	1.337078488323944647e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.920724772011418224e+00	9.792851300534968217e+00	4.538675703881369650e+00	1.761409730023863141e+00	-3.558740991289015554e+00	6.630637702906045483e+00	-2.484432575868773441e+01	8.307804524966835302e+00	1.768097780459582324e+00	6.661110591708840012e+00	9.166011589827455452e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.669773053425445575e+00	5.518401935982064188e+00	3.207807183466665268e+00	3.601423210305939371e+00	-5.928177077891154667e+00	8.423171258490905089e+00	-8.232503079103612009e+00	4.993052169931877060e+00	3.096378082053387715e+00	5.597928101833613113e+00	8.885668154372790895e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.088629192226591158e+00	8.538587606107075345e+00	6.841005251106142104e+00	9.321613642843660230e+00	-1.580526114533384074e+01	4.783010027419673627e+00	-7.381744551968486334e+00	3.468297081566232620e+00	8.110697077528612908e+00	1.529933346932012439e+00	6.464975002428489006e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.095185425396323353e+00	7.644364953860532275e+00	9.927331342889491594e+00	6.621461885305703454e+00	-1.311949612201170012e+01	2.571335584087544479e+00	-5.565877600090925803e+00	1.184257790562745605e+00	3.009331224724231646e+00	1.057089636370709229e+01	1.093337224806796293e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.516365804024914610e+00	3.379600201487349853e+00	2.608872788161030076e+00	7.488898112430905307e+00	-1.157084972979881066e+01	7.423275857815234247e+00	-7.891960202644938249e+00	7.354634857964617467e+00	7.496505286226214260e+00	4.650718403694937386e+00	5.577874406038499444e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.853577615962768155e+00	9.332316964668518011e+00	6.694310276386230996e+00	6.466584987556526443e+00	-1.228133256453141975e+01	3.792689787496560161e+00	-8.746385919291228106e+00	1.800361216063238734e+00	2.764590717333223147e+00	1.228985468970603234e+00	7.081586044711113459e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.317279106259142019e+00	3.909084560073943226e-01	2.590332969948793362e+00	2.555170849516298581e+00	-3.153282200989429462e+00	7.257218742872908912e+00	-9.133146161086717285e+00	3.295366864714984523e+00	6.000723854969606030e+00	6.232923473338733089e+00	-1.251602470796110111e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.067872600507948189e+00	7.099387053153536797e+00	6.513089445809319145e+00	4.827056363318603438e+00	-1.005904619081428386e+01	3.620529970196884051e+00	-7.225771610854184068e+00	5.966137719831088759e+00	3.953997014015002698e+00	2.988705689494880247e+00	7.991851911128651409e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.627215842043153726e+00	2.108443063274360707e+00	5.197337769452908596e+00	7.012434827965837059e+00	-1.423197177979431061e+01	1.889042913177317207e+00	-3.283498661406418329e+00	6.053107433074404575e+00	8.101357837667800155e+00	5.872170183371226315e+00	1.157437233432893748e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.284429655680460414e+00	1.654986457128256649e+00	1.013787162143512433e+01	2.941320705217336240e+00	-2.762547774610001117e+00	9.995601283786303526e+00	-6.527384648405900691e+01	6.890684668252198719e+00	3.890617188575252960e+00	6.206355834210529387e+00	1.537313449914433328e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.344901959696594318e+00	1.484116801835850374e+00	5.816498055339379469e+00	4.006321164326751116e+00	-5.694578755701913408e+00	2.591089005531798328e+00	-5.797535030853481430e+00	2.540281683515259736e+00	7.603071934916641794e+00	4.896885651408568130e+00	7.262988174820391052e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.202367343757900997e+00	8.258121943788177433e+00	4.086033864406467764e+00	3.106962366291357913e+00	-6.172954673921943858e+00	1.037346781727311296e+01	-1.939047326355548151e+01	4.188964060261354483e+00	2.838781501862276180e+00	7.551129628578259201e+00	1.403241940500991269e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.371717646144464453e+00	4.073411728749052330e+00	2.319684321214022571e+00	4.283150618267022480e+00	-6.053221426697546370e+00	9.964348886001356931e+00	-4.400639829240528655e+00	6.979635259983588469e+00	6.979840766078891257e+00	2.525441689939938339e+00	7.960657597413417363e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.447831378286993598e+00	7.403846536013433344e+00	3.047175755218062498e+00	9.260241339254763560e+00	-1.526645284892602561e+01	8.197594965952257340e+00	-2.815302584122403751e+00	8.723171194718048582e+00	8.813945852029556605e+00	3.905874045411294571e+00	6.736295145135877647e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.742479737536477558e+00	1.067859504031525741e+00	2.398833839909944921e+00	1.925148110626097475e+00	-2.577039077551446233e+00	6.647828375688465741e+00	-1.429494644556148053e+01	6.132291551896029702e+00	2.747970283125213520e+00	5.009178394409605772e+00	3.191681692882171184e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.780265916762611589e+00	4.127988044037810056e+00	2.794355926658902867e+00	5.121352049823971520e+00	-8.940630414000709791e+00	6.955144031275931837e+00	-5.901126597841965804e+00	8.432325938360104800e+00	8.827035534930294247e+00	7.502036577358029312e+00	5.827458347287806362e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.737454809865312422e+00	5.570188373876383992e+00	8.934546382708358436e+00	2.479311935463532457e+00	-4.983886376342251623e+00	8.183202746798151850e+00	-3.943330538727538936e+01	7.671446279697285320e+00	6.469085101774176394e+00	7.911288518946490100e+00	5.573652750114289489e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.535722876601908204e+00	7.989110047978856599e+00	6.940870750042424930e+00	8.820783216092603851e+00	-1.781583254770795932e+01	3.494497121623652891e+00	-2.934529507106301338e+00	6.540219191821655897e+00	2.745703597514667749e+00	4.044394406651737661e+00	4.496292161523737718e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.829060136296468686e+00	3.669414337631810685e+00	5.868371072608617567e+00	2.312739292005975500e+00	-4.427331630447733701e+00	4.931841180136362190e+00	-1.951321063579325710e+01	1.262753505772578055e+00	5.361837515854073644e+00	5.790180941598165987e+00	7.810582677223965931e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.578888236547447477e+00	7.033492929321382370e+00	1.420038219875780605e+00	4.945707841368255586e+00	-4.223131936251644625e+00	5.579296218682891606e+00	-3.624095836424305439e+00	6.993801298332635419e+00	2.982731769063277305e+00	1.814515275802635719e+00	2.993475835817969610e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.168891069207846023e+00	9.397594010017169097e+00	8.139151967231473606e+00	7.541050798896700158e+00	-1.485371345166063684e+01	4.893434307845883069e+00	-1.027865874735750751e+01	6.415888311104652075e+00	7.641508281493114119e+00	9.718149533729754097e+00	1.006884016506640336e+02
