G c dx1dt d2x1dt2 dx2dt m2 m1 d2 W d1 Fc p Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 1.55822227e+00 6.55744811e+00 6.14796290e+00 4.54271968e+00 -3.70875923e-01 6.83431259e+00 5.04250267e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 1.60669146e+00 6.50417035e+00 8.24889096e+00 5.26092093e+00 -1.75420493e-01 2.55147726e+00 4.81683846e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 1.23870588e+00 3.42705798e+00 7.84144837e+00 8.69092654e+00 -1.22078669e-01 8.85155107e+00 2.78846869e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 1.53617095e+00 3.36648547e+00 2.38509914e+00 4.06003947e+00 -9.83465315e-02 6.51804615e+00 5.66769538e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 1.50894420e+00 1.16437976e+00 2.34324523e+00 8.82684716e+00 -1.13534650e-01 2.41483495e+00 1.42863891e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 1.61888332e+00 1.38775190e+00 3.41356931e+00 1.79320988e+00 -9.43779986e-01 9.66104252e+00 2.65478936e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 1.64140945e+00 8.42406367e-01 4.24967254e+00 7.99118593e+00 -3.61754452e-01 5.66528917e+00 9.83692062e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 7.13582710e-01 4.07072946e+00 4.67610023e+00 8.62792870e+00 -6.33169052e-02 1.65608607e+00 3.38826680e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 1.55879981e+00 7.89653373e+00 7.11727495e+00 2.63635888e+00 -5.49558919e-01 6.64149614e+00 1.54805039e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 8.46105757e-01 5.45634957e+00 1.51012389e+00 4.87311879e+00 -4.54861525e-02 3.27879016e+00 6.77532719e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.49620440e+00 1.58516353e+00 1.31205434e+00 2.48949797e+00 -6.07961232e-01 8.23324107e+00 2.17351207e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 1.28426935e+00 3.93535314e+00 4.52719507e+00 7.35943716e+00 -6.50144488e-02 8.36039866e+00 1.22882071e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 1.30567482e+00 3.57687709e+00 7.27447323e+00 5.81812991e+00 -1.52764006e-01 9.81052620e+00 2.89187044e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 1.35239730e+00 8.59451802e+00 2.74091809e+00 6.71791012e+00 -1.79627188e-01 5.51682578e+00 1.24772681e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.53443071e+00 1.43475449e+00 6.77354033e+00 2.76838270e+00 -1.02921707e+00 5.09461192e+00 1.11219983e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 1.33404920e+00 1.13673157e+00 3.33845324e+00 2.90571276e+00 -4.67987713e-01 7.78128045e+00 3.41131540e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 1.58308542e+00 5.69588810e+00 8.97477498e+00 1.37347593e+00 -3.92536123e+00 2.19223591e+00 1.97807897e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 1.39765808e+00 3.74559520e+00 9.06120950e+00 3.89860782e+00 -4.43347052e-01 5.92223962e+00 4.76943081e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 8.93554035e-01 2.11594172e+00 3.67558484e+00 6.03770195e+00 -1.29188513e-01 5.91622840e+00 7.74935227e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 1.60214201e+00 1.10946732e+01 3.06994379e+00 8.72141423e+00 -1.17923061e-01 1.80525811e+00 2.56381623e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 1.28210235e+00 3.57667754e+00 4.70173575e+00 7.00234703e+00 -1.07410146e-01 4.76185677e+00 2.65375160e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 1.41986122e+00 2.45414385e+00 3.16478427e+00 4.91856691e+00 -3.20761101e-01 8.67956319e+00 1.08601705e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 1.56374717e+00 1.55771285e+00 7.05145459e+00 9.57808103e+00 -2.07500141e-01 8.70538260e+00 5.73810562e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 1.33245500e+00 1.76487331e+00 8.43458216e+00 7.47320681e+00 -2.70063477e-01 1.89313898e+00 1.17817196e+02
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 8.60162094e-01 2.14968025e+00 7.05782918e+00 9.37148683e+00 -1.50927215e-01 1.81648794e+00 1.16792820e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 1.37159181e+00 6.12505238e+00 8.41915403e+00 5.74829176e+00 -1.94408328e-01 3.36425929e+00 1.72226819e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 1.65217504e+00 1.27743387e+00 4.57292946e+00 3.33013847e+00 -5.27084546e-01 8.87289456e+00 5.65925026e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 1.54419121e+00 2.61743807e+00 2.40685274e+00 1.47544018e+00 -3.44071032e-01 2.16012327e+00 6.60447112e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 1.55768419e+00 6.54120629e+00 7.64155853e+00 7.53476366e+00 -1.71961957e-01 7.47997122e+00 8.42009364e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 1.53972937e+00 6.70455608e-01 4.24427055e+00 2.09172698e+00 -1.61320627e+00 1.91049058e+00 1.82572693e+01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 1.16508890e+00 1.94075627e+01 7.04143743e+00 3.72497615e+00 -4.89362340e-01 6.60824068e+00 1.42456595e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 1.40872178e+00 1.59255190e+00 3.43579548e+00 5.79223817e+00 -2.47439266e-01 4.20460569e+00 4.07182024e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.59009918e+00 2.06569806e+00 1.73106671e+00 6.07974929e+00 -2.01137689e-01 8.10022567e+00 9.83554559e-01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.77598174e-01 1.83012053e+01 9.93323616e+00 6.40524877e+00 -1.91188204e-01 3.10321404e+00 1.30935506e+00
