G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	d2	W	d1	Fc	p	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	1.560767042893004275e+00	6.551315510599929226e+00	6.146275190964225033e+00	4.545384576481003691e+00	-3.706502366692945305e-01	6.839476340461601467e+00	5.037394486425480267e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	1.608330986855935674e+00	6.511086367912487738e+00	8.253167503608347388e+00	5.272479983937445880e+00	-1.756685440598866055e-01	2.548954375259358418e+00	4.817574040296828031e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	1.238429508212995689e+00	3.418578364502056210e+00	7.846045329311383654e+00	8.695800720138109341e+00	-1.207391541237908261e-01	8.858813744798760936e+00	2.795919795029702115e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	1.535613626854528846e+00	3.377993244879256007e+00	2.383553915933779521e+00	4.059553360915796993e+00	-9.863001792619011110e-02	6.523151987354167680e+00	5.669745632861459939e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	1.510362110096101995e+00	1.162144536610453471e+00	2.350415291752496749e+00	8.826864704753441870e+00	-1.137513338979549427e-01	2.417577109320038886e+00	1.428646326045394055e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	1.621613460791791583e+00	1.388543336503726744e+00	3.397725986456993752e+00	1.790330406314633249e+00	-9.442155393692405196e-01	9.661878337391955895e+00	2.644899874395105321e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	1.642722912089565224e+00	8.321230589509965858e-01	4.243012282933199764e+00	7.985974082188767476e+00	-3.611181939390455398e-01	5.667025117030682679e+00	9.812485109318041410e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	7.165735878985715068e-01	4.070391747011314898e+00	4.671112828583330767e+00	8.624896209464457897e+00	-6.350251124272116021e-02	1.662543366578318027e+00	3.376359410142478090e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	1.557529602422570214e+00	7.897775543386057251e+00	7.112810004975044009e+00	2.632122731487372302e+00	-5.499198556525156656e-01	6.648152143615200238e+00	1.547632392903930842e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	8.449773460267060443e-01	5.455881274156052285e+00	1.511955496776855590e+00	4.876703286822879235e+00	-4.513415775216059189e-02	3.286051975918032664e+00	6.892855916647470105e-01
