G c dx1dt d2x1dt2 dx2dt d1 Fg W m2 m1 p d2 Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.33697404e+01 4.54271968e+00 6.83431259e+00 2.72886334e+00 6.44429674e-01 1.01617355e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 6.73945328e+01 5.26092093e+00 2.55147726e+00 1.71818177e+00 5.75719423e-01 5.60904576e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 2.55177282e+01 8.69092654e+00 8.85155107e+00 4.38525172e+00 2.12469535e-01 2.75555218e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 1.57985793e+01 4.06003947e+00 6.51804615e+00 2.50173099e+00 3.97992487e-01 5.81011531e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 1.44009146e+01 8.82684716e+00 2.41483495e+00 1.89610228e+00 2.00715944e+00 4.41512192e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 2.89998872e+01 1.79320988e+00 9.66104252e+00 1.51247557e+00 5.53256346e-01 2.27389921e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 3.89048322e+01 7.99118593e+00 5.66528917e+00 3.31508525e+00 3.51796387e+00 2.40119481e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 5.18771677e+00 8.62792870e+00 1.65608607e+00 1.38939829e+00 1.05820926e-01 5.77606725e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 5.02919407e+01 2.63635888e+00 6.64149614e+00 1.88722148e+00 3.13242867e-01 1.52266311e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 2.21463020e+00 4.87311879e+00 3.27879016e+00 1.96002360e+00 1.18908393e-01 6.35914751e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 7.79324587e+00 2.48949797e+00 8.23324107e+00 1.91151131e+00 1.16347968e+00 4.07156027e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.62467203e+01 7.35943716e+00 8.36039866e+00 3.91402488e+00 1.72685736e-01 1.97083083e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 2.73592167e+01 5.81812991e+00 9.81052620e+00 3.65219604e+00 1.64874971e-01 2.35240146e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 1.14477912e+01 6.71791012e+00 5.51682578e+00 3.02920635e+00 7.87798719e-01 3.58934512e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 4.46486855e+01 2.76838270e+00 5.09461192e+00 1.79369772e+00 8.80269657e-01 5.97028048e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.33753450e+01 2.90571276e+00 7.78128045e+00 2.11567140e+00 4.10966098e-01 2.72670549e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 6.81570569e+01 1.37347593e+00 2.19223591e+00 8.44426972e-01 7.82531519e-01 1.22364330e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 4.20507760e+01 3.89860782e+00 5.92223962e+00 2.35096715e+00 3.21913552e-01 2.00067661e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 5.93672672e+00 6.03770195e+00 5.91622840e+00 2.98817399e+00 1.66914600e-01 8.13666937e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 2.47248317e+01 8.72141423e+00 1.80525811e+00 1.49566769e+00 1.84273438e+00 1.24975280e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.67937769e+01 7.00234703e+00 4.76185677e+00 2.83437572e+00 3.26747346e-01 1.71663729e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 1.54913086e+01 4.91856691e+00 8.67956319e+00 3.13947668e+00 7.85002778e-01 2.34738759e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 5.05518423e+01 9.57808103e+00 8.70538260e+00 4.56045209e+00 1.03479714e+00 1.14977251e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 3.36717411e+01 7.47320681e+00 1.89313898e+00 1.51049507e+00 7.41220680e-01 3.65075028e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 1.06521762e+01 9.37148683e+00 1.81648794e+00 1.52156160e+00 2.47662336e-01 4.63715696e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 3.67520440e+01 5.74829176e+00 3.36425929e+00 2.12220967e+00 3.41367546e-01 4.23921181e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 4.34430002e+01 3.33013847e+00 8.87289456e+00 2.42136258e+00 9.26866966e-01 3.96876632e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 1.63078944e+01 1.47544018e+00 2.16012327e+00 8.76654390e-01 4.88579992e-01 5.28862075e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 5.38218835e+01 7.53476366e+00 7.47997122e+00 3.75363373e+00 5.58221359e-01 2.23563697e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 2.83964592e+01 2.09172698e+00 1.91049058e+00 9.98502612e-01 2.46588464e+00 1.99031417e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 1.96521537e+01 3.72497615e+00 6.60824068e+00 2.38217579e+00 1.55551154e-01 1.68115854e+01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 1.63715819e+01 5.79223817e+00 4.20460569e+00 2.43617665e+00 1.08922436e+00 3.99319634e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 1.34304087e+01 6.07974929e+00 8.10022567e+00 3.47302033e+00 2.09811435e+00 8.76306487e-01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 1.89958845e+01 6.40524877e+00 3.10321404e+00 2.09043862e+00 1.35035342e-01 6.74642038e+01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 8.42197139e+00 2.49629797e+00 6.75281646e+00 1.82255741e+00 9.74974906e-02 7.76076655e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 3.45053492e+01 4.41763664e+00 3.12114281e+00 1.82895321e+00 2.46903199e-01 4.59495108e+01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 4.78821674e+01 6.55474804e+00 7.42294255e+00 3.48094113e+00 6.12658391e-01 1.50909688e+01
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 8.00046725e+01 9.72836978e+00 8.86310231e+00 4.63780040e+00 2.73556106e+00 5.79047085e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 1.11478607e+01 7.54868024e+00 2.14121619e+00 1.66806286e+00 1.74949004e-01 5.00484281e+01
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 3.51450088e+01 9.30343381e+00 8.79936120e+00 4.52218978e+00 5.87150347e-01 1.41825952e+01
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 2.29923863e+01 7.85990852e+00 6.34217729e+00 3.50997269e+00 6.89510849e-01 7.60656784e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 3.50981692e+01 6.32545272e+00 2.14399442e+00 1.60125391e+00 1.33259932e+00 1.67674872e+01
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 5.20913091e+00 1.05210460e+01 2.72821032e+00 4.84787670e+00 1.74575968e+00 5.55420796e-01 1.93215817e+00
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 3.04558182e+01 7.00017087e+00 2.44774264e+00 1.81358738e+00 3.73725954e-01 5.35634238e+01
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 4.70071428e+00 3.59179927e+01 6.61041609e+00 7.30313100e+00 3.46976471e+00 1.09049268e+00 6.38959633e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 3.55845533e+01 6.42222253e+00 7.82981321e+00 3.52825405e+00 4.75100353e-01 1.43645594e+01
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 1.90864035e+01 5.40807281e+00 1.95216868e+00 1.43439184e+00 9.27691558e-01 1.14977560e+01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 6.07808635e+00 2.50339207e+01 5.75790944e+00 5.55525867e+00 2.82738452e+00 3.69017918e-01 1.60035540e+01
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 8.65517075e+00 3.96277980e+01 4.00998274e+00 8.33162550e+00 2.70707624e+00 2.51272260e-01 1.79347267e+01
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 2.81375540e+00 9.50623427e+00 5.67381423e+00 9.42546737e+00 3.54178115e+00 4.76603582e-01 2.57822689e+00
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 2.84799645e+00 9.40989735e+00 2.67993542e+01 2.77800315e+00 5.62166080e+00 1.85924003e+00 9.68421265e-02 3.30250608e+01
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 5.34735728e+00 7.20178888e+00 3.85105382e+01 8.24656958e+00 9.55251301e+00 4.42581593e+00 3.10612641e-01 2.52038503e+01
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 3.41680380e+00 8.40945891e+00 2.87334712e+01 2.67199259e+00 5.82120073e+00 1.83137304e+00 1.13684229e-01 2.80385023e+01
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 3.58715498e+00 6.00571623e+00 2.15434349e+01 1.76469661e+00 4.54771445e+00 1.27135831e+00 1.10767154e-01 1.82851659e+01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 6.91080457e+00 8.01565031e+00 5.53945928e+01 4.92621424e+00 8.63382816e+00 3.13657479e+00 3.93446170e-01 1.89397808e+01
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 9.71683599e+00 1.14580358e+00 1.11335854e+01 6.92476696e+00 5.43684439e+00 3.04562887e+00 5.85488379e-01 5.69016732e+00
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 6.43273481e+00 8.36542382e+00 5.38125530e+01 4.93945142e+00 5.24712260e+00 2.54432031e+00 1.73634217e+00 5.32493793e+00
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 1.69281520e+00 1.36124973e+00 2.30434424e+00 3.49078719e+00 5.41281240e+00 2.12217272e+00 2.40133914e-01 1.32768502e+00
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 1.68025252e+00 9.00922039e+00 1.51377653e+01 6.02354066e+00 8.62106502e+00 3.54597022e+00 4.91179857e-01 3.80965803e+00
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90888682e+00 9.56280899e+00 9.92766473e+00 9.49363615e+01 4.12302102e+00 8.48747388e+00 2.77499285e+00 7.95976797e-01 1.32790344e+01
1.00000000e+00 1.00000000e+00 4.49809561e+00 8.86309403e+00 1.56045795e+00 3.67561711e+00 3.64660716e+00 1.34035317e+01 9.39580921e+00 4.63167993e+00 3.10236426e+00 5.47338290e-01 1.05699823e+01
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 5.61252384e+00 1.82860287e+00 2.89286701e+00 5.28990492e+00 9.30380626e+00 3.99969874e+00 2.79718932e+00 3.71522642e-01 6.59781347e+00
1.00000000e+00 1.00000000e+00 8.45863758e+00 7.91446072e+00 8.25763256e+00 6.39140128e+00 7.88827027e+00 5.04171008e+01 5.52134638e+00 5.42735222e+00 2.73697291e+00 3.81046661e-01 3.16446804e+01
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 5.13315890e+00 6.61283900e+00 3.27723707e+00 2.16718411e+01 3.95095595e+00 6.15495259e+00 2.40630978e+00 6.13977178e-01 5.13856640e+00
1.00000000e+00 1.00000000e+00 3.52841059e+00 4.79221302e+00 1.46760920e+00 6.83654338e+00 8.79006145e+00 6.00936364e+01 7.63419173e+00 3.14503490e+00 2.22741392e+00 1.37224898e+00 2.12407910e+01
1.00000000e+00 1.00000000e+00 5.88426475e+00 7.63824071e+00 8.07650379e+00 3.40661825e+00 1.92558333e+00 6.55972731e+00 1.33041649e+00 8.14559576e+00 1.14362821e+00 8.12817921e-02 3.21669153e+00
1.00000000e+00 1.00000000e+00 2.26831802e+00 3.14899431e+00 2.81227404e+00 1.13599616e+00 2.13359677e+00 2.42375773e+00 5.27292105e+00 5.37834489e+00 2.66255562e+00 2.47926506e-01 1.87317798e+00
1.00000000e+00 1.00000000e+00 8.21977283e+00 1.99426702e+00 3.32758751e+00 9.68513833e+00 9.81236400e+00 9.50341026e+01 4.02691055e+00 4.00640994e+00 2.00831704e+00 5.90640064e-01 3.79652356e+01
1.00000000e+00 1.00000000e+00 1.67095579e+00 4.19159942e+00 2.48235718e+00 3.25803741e+00 7.06455008e+00 2.30165685e+01 9.28482297e+00 1.96138894e+00 1.61931406e+00 1.60975014e+00 8.56069169e+00
1.00000000e+00 1.00000000e+00 9.88198243e+00 3.58515092e+00 3.97193558e+00 7.08423659e+00 8.62198502e+00 6.10801818e+01 1.10802725e+00 3.14960644e+00 8.19668860e-01 1.86565409e-01 2.80357891e+01
1.00000000e+00 1.00000000e+00 7.95020292e+00 3.66677308e+00 7.81076355e+00 7.35966883e+00 3.91896440e+00 2.88422801e+01 5.97533388e+00 9.54353055e+00 3.67461045e+00 3.56436603e-01 1.20525979e+01
1.00000000e+00 1.00000000e+00 2.78844113e+00 3.10246976e+00 5.67447274e+00 6.49006675e+00 7.08835375e+00 4.60038890e+01 7.66597223e+00 3.74589718e+00 2.51632250e+00 1.56350089e+00 1.14272819e+01
1.00000000e+00 1.00000000e+00 1.04969905e+00 1.37883871e+00 2.84393147e+00 3.81616655e+00 6.34817645e+00 2.42256986e+01 5.36516189e+00 2.51973360e+00 1.71451590e+00 2.47371353e+00 1.83386302e+00
1.00000000e+00 1.00000000e+00 8.33915286e+00 1.16086541e+00 8.90047070e+00 3.43986628e+00 6.42835108e+00 2.21126681e+01 1.76862727e+00 5.14605512e+00 1.31625039e+00 1.05507591e-01 1.74554114e+01
1.00000000e+00 1.00000000e+00 7.36171609e+00 9.88950151e+00 8.91623669e+00 6.37901454e+00 7.14279214e+00 4.55639749e+01 9.75215251e+00 3.76378969e+00 2.71568571e+00 6.25213988e-01 4.25803547e+01
1.00000000e+00 1.00000000e+00 7.56106451e+00 4.84995820e+00 8.83520583e+00 8.79486070e+00 6.17823256e+00 5.43366947e+01 5.66209388e+00 1.31643325e+00 1.06810055e+00 9.43755110e-01 5.52654849e+01
1.00000000e+00 1.00000000e+00 7.94143312e+00 4.45893982e+00 3.14916590e+00 9.52060356e+00 4.86156132e+00 4.62849980e+01 6.52767620e+00 3.90830696e+00 2.44463429e+00 7.49878380e-01 2.37427153e+01
1.00000000e+00 1.00000000e+00 1.66640187e+00 7.11682554e+00 5.06115410e+00 1.95315224e+00 3.48330425e+00 6.80342350e+00 3.12948804e+00 5.89697762e+00 2.04449024e+00 4.06360902e-01 1.75911832e+00
1.00000000e+00 1.00000000e+00 4.22619156e+00 2.96428499e+00 9.86490691e+00 2.39345751e+00 7.91723198e+00 1.89495584e+01 5.35148277e+00 5.96541135e+00 2.82089730e+00 2.67807924e-01 1.40933865e+01
1.00000000e+00 1.00000000e+00 2.04282154e+00 9.54965066e+00 7.94811229e+00 9.50262633e+00 3.03645187e+00 2.88542675e+01 4.86234543e+00 4.20903029e+00 2.25608109e+00 2.49336511e+00 2.46522484e+00
1.00000000e+00 1.00000000e+00 8.76793083e+00 8.07710513e+00 1.24450679e+00 7.62881706e+00 7.23118876e+00 5.51654161e+01 1.67406258e+00 5.02572481e+00 1.25576788e+00 2.17405613e-01 2.05282941e+01
1.00000000e+00 1.00000000e+00 6.60968314e+00 1.80469902e+00 1.58684132e+00 8.94694442e+00 3.09999540e+00 2.77354866e+01 1.95544318e+00 9.68966126e+00 1.62708563e+00 2.27298156e-01 5.99985313e+00
1.00000000e+00 1.00000000e+00 3.97808222e+00 4.75822698e+00 5.17538239e+00 2.82369371e+00 6.62797153e+00 1.87153615e+01 8.53725268e+00 4.39613630e+00 2.90186327e+00 4.68543187e-01 1.61747163e+01
1.00000000e+00 1.00000000e+00 1.57202515e+00 8.91206477e+00 9.18298185e+00 6.28827284e+00 7.72370440e+00 4.85687606e+01 3.15837957e+00 3.32404132e+00 1.61954683e+00 1.94894230e+00 4.08495532e+00
1.00000000e+00 1.00000000e+00 3.79884090e+00 9.50258820e+00 5.84831618e+00 7.31025635e+00 2.96842500e+00 2.16999477e+01 2.75462444e+00 3.19120340e+00 1.47844289e+00 8.91520982e-01 4.61202765e+00
1.00000000e+00 1.00000000e+00 3.92664990e+00 5.20661360e+00 5.48031257e+00 7.12100697e+00 1.53948971e+00 1.09627169e+01 5.54420306e+00 5.11988151e+00 2.66180023e+00 9.42833005e-01 2.73099794e+00
1.00000000e+00 1.00000000e+00 7.56645561e+00 6.52070250e+00 1.94926330e+00 4.67336522e+00 2.17876369e+00 1.01821584e+01 7.91872418e+00 7.83568134e+00 3.93849195e+00 3.10449118e-01 7.73597432e+00
1.00000000e+00 1.00000000e+00 6.73801724e+00 2.50330551e+00 6.91102094e+00 1.13855403e+00 6.45397271e+00 7.34819660e+00 1.55751867e+00 2.85389366e+00 1.00761215e+00 5.96591599e-02 1.59244558e+01
1.00000000e+00 1.00000000e+00 8.98491468e+00 9.92051764e+00 8.39892845e+00 6.24633451e+00 8.64501766e+00 5.39996721e+01 6.19127128e+00 7.38366514e+00 3.36754976e+00 3.17068655e-01 3.38892024e+01
1.00000000e+00 1.00000000e+00 5.24993433e+00 3.08504531e+00 4.42378007e+00 3.27791385e+00 1.40497139e+00 4.60537519e+00 2.07289399e+00 1.19034841e+00 7.56139373e-01 3.96617088e-01 4.44351913e+00
