G	c	dx1dt	d2x1dt2	dx2dt	d1	Fg	W	m2	m1	p	d2	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.333680589193426158e+01	4.541019814974282198e+00	6.836954947400884386e+00	2.729955701437943194e+00	6.451214023924555230e-01	1.015429672221205593e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	6.743167457836545964e+01	5.265228276086735271e+00	2.562938550123859738e+00	1.716981159348863084e+00	5.753814610827904241e-01	5.610116946713137054e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	2.547218927811833211e+01	8.695556609634298439e+00	8.856384025446107700e+00	4.391735207022664511e+00	2.134424321995901930e-01	2.756637245048700890e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	1.586038064717020468e+01	4.058483116214253172e+00	6.517564152314371917e+00	2.500358865958715260e+00	3.986764574380374793e-01	5.813100984892651368e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	1.438891055767646243e+01	8.834068865250703340e+00	2.414852346363961288e+00	1.895053491916072863e+00	2.007526775616314652e+00	4.415229915949926642e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	2.900413753011535078e+01	1.777252442425731882e+00	9.658187400239281573e+00	1.510367415273760505e+00	5.533683108645346405e-01	2.259497674742175111e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	3.884960672874576204e+01	7.984477701383476678e+00	5.660121402796109535e+00	3.318164850648361863e+00	3.518196414902750924e+00	2.365610667134670830e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	5.185903116372203137e+00	8.622905376039703640e+00	1.653079227570352083e+00	1.388499924188105084e+00	1.066859359215567987e-01	5.774333239741903867e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	5.029860973384864309e+01	2.631861775505803358e+00	6.637295819854966972e+00	1.885474483274430346e+00	3.141344954230150255e-01	1.522054402918842086e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	2.212115264286200755e+00	4.874963589212926607e+00	3.282344339975056258e+00	1.961727316338053306e+00	1.198811751451951818e-01	6.376262597358871353e+00
