G	c	dx1dt	d2x1dt2	dx2dt	m1	m2	W	d2	Fc	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	9.230921579842270575e+00	6.219227409249849181e+00	-5.187032717980585517e+00	4.562390254412920676e+00	6.899564804082904956e+00	-6.941799271328775944e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	2.415568001009222243e+01	8.240766619925544489e+00	-1.199756164742840703e+01	5.262822518692792606e+00	2.597489300517441979e+00	-8.241850033028487843e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	2.608169275689448341e+00	7.785083071848438507e+00	-5.557753738162031221e-01	8.674265658052847883e+00	8.853078352359752046e+00	-5.687836260359520679e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	1.303966595137196371e+01	2.298566519770745220e+00	-1.814948927381995247e+01	4.124370638585022952e+00	6.610594485279080779e+00	-1.625245050325113283e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	4.290504684208666042e+00	2.301185821780269869e+00	-5.654276276325033379e+00	8.777265874948964708e+00	2.462323444422481966e+00	-6.172608219252964545e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	2.595813488173883687e+00	3.391229401489571860e+00	-3.269384656034459713e+00	1.808291505854332737e+00	9.637206433070737432e+00	-6.931960371671380017e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	2.740298017711632728e+00	4.294337465739364923e+00	-2.884126603206202955e+00	8.070991437278022929e+00	5.590201262486921507e+00	-1.735898005856368442e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	1.348097391040324222e+00	4.615048154309911332e+00	-1.493800476365852725e-01	8.589162155704006096e+00	1.633510234065791655e+00	-9.451432847155933459e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	2.854925175248160940e+01	7.201907005759282221e+00	-1.423949669910256155e+01	2.620071179399379613e+00	6.663981402340095173e+00	-2.839026122962565069e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	2.152827522141441907e+00	1.437289905690196656e+00	-9.583233621241281641e-01	5.001786429343178852e+00	3.311276543654855242e+00	-3.109780154419572540e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	5.499114601384235357e+00	1.439049172829825807e+00	-1.218242826946459978e+01	2.515523919648419149e+00	8.307175163799769280e+00	-8.669037616258168555e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	2.245228851249752822e+01	4.621183166844911483e+00	-8.850455701980587619e+00	7.331666253237824726e+00	8.300857771842148125e+00	-7.494006095020115943e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	3.407800256074693390e+00	7.282162482060938302e+00	-8.092677451581208325e-01	5.862163352294080809e+00	9.786637117935988783e+00	-6.021358994383223973e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	5.440025334746234620e+00	2.651169081558188978e+00	-4.062419995499592318e+00	6.686743482904008218e+00	5.452764614831227874e+00	1.409990443088538825e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	2.968490225849935715e+00	6.770521410218030667e+00	-1.525855131142646925e+00	2.682528589251094164e+00	5.021784194226484033e+00	-1.940169707620470163e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	2.136192412479346991e+00	3.317382214550583797e+00	-1.390476245956890899e+00	2.981003121817897838e+00	7.747128494224779338e+00	-2.303842469721400832e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	6.991283884804589732e+00	8.905365218824428553e+00	-2.896794344266361509e+00	1.312960108821849436e+00	2.212178807905623490e+00	-1.867865919456071566e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	2.897169979475186175e+00	9.077060642789202660e+00	-8.521199439766664607e-01	4.033113197561407404e+00	5.964201776745769124e+00	-5.311845171786829667e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	6.519973376866206927e+00	3.630721427809218582e+00	-1.428621346976650219e+00	6.010856293113667981e+00	5.864640027213500417e+00	-5.705754033730565666e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	4.150926231818783840e+00	3.031003240954921907e+00	-5.595836269481189618e+00	8.838448978896074948e+00	1.761235284006016588e+00	-4.982941403158376659e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	2.344188323964108367e+00	4.690641480885077819e+00	-8.485771298316292510e-01	6.927259266062385734e+00	4.665038312820835031e+00	-3.324208206078400707e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	4.950755065433147806e+00	1.775933705968962828e+00	3.133469285610020805e+00	-1.356209995217395381e+00	4.974827338159967027e+00	8.691223477598263969e+00	-1.770280727649724497e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.626293109120901637e+00	9.194962663206332820e+00	9.456845314513040890e+00	7.196639915186946901e+00	2.742267242196124499e+00	7.164650698279015906e+00	-1.370642720010394999e+00	9.605496914855276458e+00	8.665555857707596843e+00	-4.459301400508952895e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.316908599076862529e+00	9.659241458861918872e+00	1.448599150411121972e+00	3.904988658252869893e+00	1.179596752104226809e+01	8.405402063031177207e+00	-2.803594319569262083e+00	7.519167079250179242e+00	1.983604220879758406e+00	-3.511190821084499980e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.063379489064411487e+00	9.492426529078166197e+00	4.818652948808580305e+00	1.507227804877244282e+00	1.566020136236931259e+00	7.081843739005361016e+00	-1.620367052428141608e-01	9.424594302026681802e+00	1.838780635291659582e+00	-3.015506254577716483e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.941602393384615155e+00	5.354233508835794630e+00	3.304460048783061321e+00	4.386182707130630298e+00	1.066139643279380778e+01	8.427080564338005786e+00	-2.764276079738682057e+00	5.720984563549126989e+00	3.354933019502143843e+00	-1.157796621592878417e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.802412702662744337e+00	8.770947792968179613e+00	7.674095386004435859e+00	9.468095257012805632e+00	3.569736794008555592e+00	4.592143580997953833e+00	-3.707316817332579006e+00	3.258332935639002059e+00	8.838019457251682809e+00	-3.790346073972248320e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.585474039082747311e+00	8.525755900131828824e+00	9.826998578088527836e+00	6.695498936809621604e+00	3.908068014937749801e+00	2.430224961802974093e+00	-5.480767337433829489e+00	1.472646741456665964e+00	2.078816504970069534e+00	-1.058464725571032439e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.289307183167157866e+00	3.805304017903934355e+00	3.223757794222930073e+00	7.058386359690315359e+00	1.353371622786757733e+01	7.689565831013511321e+00	-6.167665326124295966e+00	7.546999502283570749e+00	7.405562010760036173e+00	-3.970977977623915933e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.398857313029454819e+00	8.553310292791671543e+00	6.821605151950111079e+00	6.810242262565770588e+00	1.378500465503964101e+00	4.258783728928828616e+00	-1.082963191466889130e+00	2.065840732863302609e+00	1.876647483559422014e+00	-6.066331048176022200e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.460668716467147910e+00	1.298514013747442020e+00	2.785288539545682784e+00	2.769980347858616465e+00	6.582003272826226770e+00	7.053687386783742852e+00	-1.194401955442815799e+00	3.740203261517631717e+00	6.570221903925029139e+00	3.182680311666647555e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.534225521119531255e+00	6.313970388958453306e+00	6.095692954240464978e+00	4.849953696543382264e+00	2.025955750680881184e+00	3.438980695454725289e+00	-1.327614773302708162e+00	5.810322021293373496e+00	4.150252944388834742e+00	-1.948596996901557787e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.537620075319058754e+00	3.152268076503506933e+00	5.284149958578438167e+00	7.717733971760955214e+00	2.253306686417283267e+00	1.723527161694437870e+00	-5.284866444583455447e+00	6.029823597430960191e+00	8.120738791880622642e+00	-1.006608973162603036e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.528051419852975101e+00	2.141350871168699044e+00	9.690705655383867523e+00	1.924024374445828967e+00	1.893509196351588875e+00	9.883571004404283045e+00	-2.811998039295425245e-01	6.426917607052119230e+00	3.131188954546714864e+00	2.731711534139155901e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.595571117108478987e+00	1.763456732257852044e+00	6.478924415133602288e+00	3.542440391122513077e+00	5.295956868511471072e+00	2.402498101192453106e+00	-3.828649538625008564e+00	2.481638236322593283e+00	6.727867868625991399e+00	9.975226285918019187e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.292410525265974997e+00	7.213746670544121109e+00	4.087059791613946835e+00	3.486416516673553012e+00	6.939238552283228501e+00	9.908930658237913747e+00	-1.293174145064869274e+00	4.379234425030889000e+00	3.226410827417607319e+00	-9.483507054225748689e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.586933469312489464e+00	3.974030667892171298e+00	1.999659375735388656e+00	4.872052801537440025e+00	9.032774078455050315e+00	9.817425083881294867e+00	-2.262928690457917558e+00	6.597944860528425437e+00	7.327924323065801993e+00	-2.767141827545883714e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.863380932380713562e+00	7.530309199205354354e+00	2.454204527446957496e+00	9.862626678830451965e+00	7.771894394268717754e+00	8.154182957662019504e+00	-4.757986415417382986e+00	9.685742640413911531e+00	8.866266297883793612e+00	-1.308182538756535251e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.207846434737638752e+00	1.606850658730010206e+00	2.965107843491573636e+00	1.709914486477381645e+00	3.698138151371525684e+00	6.922117721779774691e+00	-4.641811103203316580e-01	7.523626632177484730e+00	2.129325908750092200e+00	2.692308236592163553e+02
