G c dx1dt d2x1dt2 dx2dt d2x2dt2 d2 m1 p m2 d1 Fc Fg W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 3.09800007e-01 6.14796290e+00 4.54271968e+00 1.10953660e+00 6.83431259e+00 1.34919509e+00 7.48241132e+00 1.58669433e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 5.84839271e-01 8.24889096e+00 5.26092093e+00 1.36272731e+00 2.55147726e+00 2.68095275e+00 7.18554704e+00 9.02036637e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 1.16586559e+00 7.84144837e+00 8.69092654e+00 8.46687357e-01 8.85155107e+00 8.48121225e+00 1.86178779e+00 1.76777203e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 4.82190121e-01 2.38509914e+00 4.06003947e+00 8.20513723e-01 6.51804615e+00 7.90091521e+00 9.30315164e+00 1.21765934e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 1.95597112e-01 2.34324523e+00 8.82684716e+00 1.22349037e+00 2.41483495e+00 4.15578422e+00 6.11624982e+00 1.53836797e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 1.41484210e-01 3.41356931e+00 1.79320988e+00 2.14501291e-01 9.66104252e+00 4.39129565e+00 4.27352969e+00 3.95209742e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 8.31670406e-02 4.24967254e+00 7.99118593e+00 1.15344844e+00 5.66528917e+00 5.80198990e+00 7.80884725e+00 5.66885845e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 3.96407903e+00 4.67610023e+00 8.62792870e+00 8.77222565e-01 1.65608607e+00 1.00216904e+00 3.31628913e+00 -1.83870907e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 4.53571503e-01 7.11727495e+00 2.63635888e+00 1.34596534e+00 6.64149614e+00 3.17119902e+00 7.24158853e+00 3.03727754e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 2.51365211e+00 1.51012389e+00 4.87311879e+00 5.65648089e-01 3.27879016e+00 2.87408628e+00 1.35740087e+00 2.88005152e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 9.97739671e-02 1.31205434e+00 2.48949797e+00 7.77985857e-01 8.23324107e+00 3.25434652e+00 8.55467234e+00 6.75789009e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 1.35553312e+00 4.52719507e+00 7.35943716e+00 2.30740596e+00 8.36039866e+00 8.25315258e+00 5.03353762e+00 5.67928297e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 1.12895609e+00 7.27447323e+00 5.81812991e+00 5.84282289e-01 9.81052620e+00 3.51706471e+00 6.73023623e+00 1.16019181e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 3.48493213e-01 2.74091809e+00 6.71791012e+00 1.42807278e+00 5.51682578e+00 2.72369190e+00 2.99114038e+00 2.02833174e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.99982697e-01 6.77354033e+00 2.76838270e+00 4.46477940e-01 5.09461192e+00 5.53837115e+00 7.09366341e+00 1.25974170e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.30796689e-01 3.33845324e+00 2.90571276e+00 5.21649718e-01 7.78128045e+00 8.79080533e+00 7.95016248e+00 2.60683698e+02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 2.46117772e-01 8.97477498e+00 1.37347593e+00 3.20971037e-01 2.19223591e+00 3.17214733e+00 5.25891868e+00 4.30431725e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 6.16582690e-01 9.06120950e+00 3.89860782e+00 4.09141468e-01 5.92223962e+00 1.70682619e+00 6.55954232e+00 4.85192181e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 1.51299199e+00 3.67558484e+00 6.03770195e+00 2.12665434e+00 5.91622840e+00 4.20764262e+00 5.10693331e+00 1.92064685e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 2.24803504e-01 3.06994379e+00 8.72141423e+00 8.88579184e-01 1.80525811e+00 7.72886642e+00 9.04682232e+00 3.00793414e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 9.10833565e-01 4.70173575e+00 7.00234703e+00 6.27458268e-01 4.76185677e+00 5.95621490e+00 5.48082262e+00 8.82813512e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 2.30387124e-01 3.16478427e+00 4.91856691e+00 6.47548860e-01 8.67956319e+00 8.35114033e+00 8.57627838e+00 2.22624026e+02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 2.53124871e-01 7.05145459e+00 9.57808103e+00 8.87704732e-01 8.70538260e+00 9.63632933e+00 8.21216852e+00 1.88410050e+02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 5.38219328e-01 8.43458216e+00 7.47320681e+00 3.17153065e+00 1.89313898e+00 8.13396229e+00 4.69454339e+00 9.11146539e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 1.69109132e+00 7.05782918e+00 9.37148683e+00 1.53707679e+00 1.81648794e+00 6.43422771e+00 3.07076043e+00 1.37361552e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 9.23946029e-01 8.41915403e+00 5.74829176e+00 1.42843672e+00 3.36425929e+00 5.44007429e+00 4.65473919e+00 2.46033119e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 1.47213320e-01 4.57292946e+00 3.33013847e+00 4.00950142e-01 8.87289456e+00 1.36062178e+00 8.43595638e+00 5.96770769e+01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 4.15321299e-01 2.40685274e+00 1.47544018e+00 1.41262225e-01 2.16012327e+00 9.85889781e+00 3.04869282e+00 3.00464188e+02
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 4.49485328e-01 7.64155853e+00 7.53476366e+00 1.75439424e+00 7.47997122e+00 4.45133010e+00 5.71992711e+00 3.72841515e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 1.05974544e-01 4.24427055e+00 2.09172698e+00 2.83416216e-01 1.91049058e+00 2.37005393e+00 8.25487073e+00 3.15405345e+01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 1.15873659e+00 7.04143743e+00 3.72497615e+00 1.12472937e+00 6.60824068e+00 7.00037970e+00 4.18129728e+00 8.08839873e+01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 2.65972148e-01 3.43579548e+00 5.79223817e+00 7.45095198e-01 4.20460569e+00 3.55859460e+00 6.77988673e+00 3.91129280e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.02176508e-01 1.73106671e+00 6.07974929e+00 6.99824618e-01 8.10022567e+00 6.27200444e+00 3.21068417e+00 1.44813502e+02
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 2.49429747e+00 9.93323616e+00 6.40524877e+00 6.16311361e-01 3.10321404e+00 6.28091117e+00 1.98351501e+00 6.22543893e+01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 1.38411711e+00 2.40581357e+00 2.49629797e+00 3.32203839e-01 6.75281646e+00 5.01156839e+00 8.14945803e+00 1.94366468e+02
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 1.18667622e+00 9.89578895e+00 4.41763664e+00 9.62034509e-01 3.12114281e+00 8.52506754e+00 1.89071761e+00 5.48625464e+01
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 3.82712105e-01 9.79551939e+00 6.55474804e+00 2.43126847e+00 7.42294255e+00 3.38470355e+00 3.44243256e+00 2.03987868e+01
