G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d2	m1	p	m2	d1	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	3.917894199670593380e+00	2.860117714953521961e+00	3.570263080355656982e+00	6.579489190644049579e+00	3.720517980512529910e-01	5.906039719251171327e+00	5.243502262655278301e+00	1.216956576507563614e+00	7.263783102519685286e+00	1.627222179886389064e+00	8.069796957521740310e+00	1.298021798253052772e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.001607215220209035e+01	5.662179649823387173e+00	2.795422951347211526e+00	8.000432588501235287e+00	5.698860422668812209e-01	8.532927542672812393e+00	5.204074968734271778e+00	1.601527607140942555e+00	2.923296896385095156e+00	2.825489596416326243e+00	7.768104378788005526e+00	2.356209007917899001e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.237614246409264318e+00	8.289928473082987637e+00	9.811627599539392008e+00	2.843664392681251929e+00	1.105703231667706454e+00	7.775294015851561547e+00	7.795017908690001995e+00	7.772965109202684131e-01	8.043064953008123297e+00	7.805220277849138633e+00	1.275945089327756854e+00	1.597887574557236690e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.382782150731307169e+00	7.370475261089202590e+00	3.099255429140876483e+00	7.090080717100177843e+00	3.965473351885024922e-01	2.915925726642249582e+00	3.623626062448733087e+00	8.652110051329663376e-01	6.563887943736578912e+00	8.032247261464402044e+00	9.128841769250341187e+00	1.186348884194428592e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.899541470189034520e+00	7.633226709457400005e+00	3.159920299596496562e+00	6.423215920638990717e+00	2.460955553707677157e-01	2.410880467274149286e+00	9.029291954626097905e+00	1.184717503260393823e+00	3.183369863776008390e+00	4.064527161342565087e+00	6.327983310338895606e+00	-2.919294705490363739e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443851245097069302e+00	7.165793724393591191e+00	8.055172301646484456e+00	8.629573104684956419e+00	2.064686234250885377e-01	3.417090879534956382e+00	1.634286561906587831e+00	1.259530640214234498e-01	9.918786912401449385e+00	3.792203807095738899e+00	3.948256460882395125e+00	3.982218058000674432e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.042188263213986499e+00	6.800913183237016213e+00	4.790861639269831329e+00	9.725108313335713461e+00	3.871897661173918925e-02	4.541145632071570404e+00	7.775434142179572738e+00	1.062273182951458006e+00	4.242363426423422013e+00	6.069521370545318817e+00	8.076901178260834868e+00	5.465912355129584199e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.320451322108537440e+00	7.865558109717447621e+00	7.972902679132214843e+00	1.251879897061118907e+00	3.946703720507480195e+00	4.730732862266311400e+00	8.739261260997871261e+00	1.028096923327522783e+00	1.073676504978699597e+00	1.278955540622797704e+00	2.591254631551445531e+00	-3.514230260034051589e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.756388524039301124e+00	3.660191465674123457e+00	2.552514212841622054e+00	7.162970109755197434e+00	4.568783036862856251e-01	7.631482739720615527e+00	2.833106718932367762e+00	1.173068364001567776e+00	7.183175227531763518e+00	3.398421382505775856e+00	7.382184019945556841e+00	3.742273584272873421e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.403225300677375387e+00	5.781824642148714943e+00	5.048733237506521476e+00	1.401586735136168382e+00	2.641317983340675912e+00	1.812544313620930270e+00	4.198109490679186706e+00	6.137680160522565043e-01	2.975704632181392029e+00	3.170848187736931223e+00	1.909942390482370467e+00	2.609719779640342807e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.210871354314303039e+00	2.807153417018533048e+00	1.675459980672937998e+00	5.551995977283581851e+00	1.043622403349718231e-01	1.808252187073296380e+00	3.160727579710336244e+00	6.997936645486292351e-01	8.843224842987767786e+00	3.320532957853405520e+00	8.583689414059454847e+00	9.431817683115517070e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.539537114425606035e+00	1.028021413413707386e+01	1.241690925631928177e+00	3.202156625718126204e+00	1.286451662686495467e+00	4.917445328739877830e+00	7.287501399250034595e+00	2.475350739096792818e+00	9.473433305477916733e+00	8.121366999761781003e+00	5.128058729558527595e+00	6.449562681067243375e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.910575650247771762e+00	9.048090333744509550e+00	8.620574642173769675e+00	3.840631434505819897e+00	1.047502004819901300e+00	8.015405545453749170e+00	6.048377402553113846e+00	5.584081405623994021e-01	9.681087834484877419e+00	4.462503952298630949e+00	7.184345062638598733e+00	1.163054245534365094e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.274173448480913073e+00	1.147715867443690252e+00	2.208179761932536511e+00	4.727657691936067330e+00	2.843221729877402071e-01	3.192434205921046875e+00	6.771335599749178868e+00	1.393582871735467021e+00	5.180734693749610820e+00	2.802869377959700259e+00	2.752280332140358610e+00	1.385539359001504778e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.564205643769806198e+00	7.576780653207171312e+00	7.274033066410900084e+00	6.900391347770696626e+00	2.889987705621009928e-01	7.725446516068238623e+00	2.543385255652053978e+00	5.951897279802513818e-01	4.547287638708248814e+00	4.180292902552011469e+00	7.428222939407004510e+00	1.172977927245061238e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.760336342781593011e+00	9.902354914335861125e+00	5.131446909626260933e+00	4.312098698419836396e+00	3.669335150806488088e-01	3.043672326323534350e+00	3.405856948743122281e+00	6.047269623135649308e-01	8.193748127622205502e+00	7.494083644116587450e+00	7.933725550777628754e+00	2.648472424285810689e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.140301844924339392e+00	2.412421139226236910e+00	4.381219304073352916e+00	6.995487618836850885e+00	2.217871130125846912e-01	9.429477558392427738e+00	1.418006821218377178e+00	3.734843196899901296e-01	1.864391232028177248e+00	3.815748208272570885e+00	4.770504624740720345e+00	3.802686377087696457e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.015894812036020056e+00	5.779993184457404176e+00	8.808860765410225113e+00	4.923774985878202060e+00	4.105748684245977831e-01	8.309140263254045422e+00	3.938831177317194232e+00	4.854925519572521608e-01	5.703431811262347217e+00	7.272275639942971104e-01	7.044848334380096944e+00	5.795931873205349660e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.721543927544609609e+00	9.785978647785837481e+00	9.840572661374382690e-01	1.399072814974585022e+00	1.452947177023431680e+00	4.191450593543581959e+00	4.672359685339581681e+00	2.024013628157231182e+00	5.313190098929862160e+00	3.916894386631490477e+00	5.860416664980791168e+00	1.842260099726452083e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.251979361636192500e+00	1.646360806604795002e+00	6.154982749513646212e+00	8.148971413650055950e+00	2.490268225825602033e-01	3.100688858899756539e+00	9.171254682435176164e+00	9.588568794862869504e-01	1.569952552168239812e+00	7.079464521030898183e+00	9.669929900327941752e+00	2.932751190719719858e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.974374137574541166e+00	7.359519609453239575e+00	1.066170622952197711e+01	3.870651293326475173e+00	9.356342235709983468e-01	5.212006151299445555e+00	6.908789188487219235e+00	6.085977821078760730e-01	4.377418743461035433e+00	5.794600717630167708e+00	5.966098080795777747e+00	8.937362026968776263e+01
