G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	m1	m2	Fg	W	p	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	3.981976142208585756e+00	2.497397483010381336e+00	3.113434985953923206e+00	7.211396641650365424e+00	6.379630689092919305e+00	4.933476851406415342e+00	7.219533840143535386e+00	7.825974600234662404e+00	1.141843591097420951e+00	9.719083188522120720e-02	7.447932064060278634e+00	-2.687767509308804037e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.797315832349330122e+00	5.754607470307798067e+00	3.100108736986941338e+00	8.340752394986088447e+00	7.840961942425487052e+00	5.571209937906282939e+00	2.669892966166773185e+00	1.308701506214851484e+01	2.296107287238439376e+00	1.531803523728218486e-01	7.567868470785132473e+00	-2.816428938417236694e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.778035869979146533e+00	8.650684702963170380e+00	9.412725387700339397e+00	2.858403589835201597e+00	7.567516277733031593e+00	8.582616070643421580e+00	8.134739599402909249e+00	5.451359902915715594e+00	8.660227740102596883e+00	-1.875596516927912627e-01	1.344886913260771255e+00	-3.786990971697884678e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.138590601194753305e+00	7.363997258807949642e+00	3.277083738595444551e+00	7.092582113844516201e+00	2.570851323071614125e+00	4.396557777996606298e+00	6.304925098109999126e+00	3.008767043774425609e+00	7.546905842027664235e+00	6.282599671758269944e-01	9.438574213988088601e+00	-8.966279169999795329e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.606488036566102728e+00	7.583360625402582933e+00	3.228982266471424278e+00	6.076492013036455475e+00	1.879648940989756101e+00	8.856505498006647770e+00	2.228363946852339517e+00	3.213381236773199312e+00	4.398016728828931576e+00	-1.039843402873222411e+00	6.258100712548391620e+00	-1.323829794106151212e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.836770901198951478e+00	6.953237034778015691e+00	7.947543503460601677e+00	8.683743418360341693e+00	3.634652166976417131e+00	1.561850721178568158e+00	9.554930024701102198e+00	8.096035505829981105e+00	4.516255446553586239e+00	-9.907546829346145500e+00	4.463307137958208770e+00	-8.888106003837327407e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.917271634467541119e+00	7.249312431800464473e+00	5.272001818007001184e+00	9.350645826761205370e+00	4.372179343143410613e+00	7.860579355093335607e+00	5.763087784389728796e+00	3.838293777928937001e+00	5.781852571653840478e+00	-7.551438717078819529e+00	7.672103208794314178e+00	-1.274560300675742042e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.229727731249131040e+00	8.420973180863780883e+00	7.983834021336429387e+00	4.355709938441203466e-01	4.878160138523202072e+00	9.004624623275010009e+00	1.792443045187733563e+00	7.519811330208598932e+00	1.253218727054828063e+00	9.299875956213683736e-02	3.419010857530867753e+00	-1.682243006658974194e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.560358954275859134e+00	3.347255771237423350e+00	1.523482017838779790e+00	6.888369051898290074e+00	6.989465135497464843e+00	3.207702123335179234e+00	5.926889587757151467e+00	1.279220250606185338e+01	3.999960986084710513e+00	6.913145090909602608e-01	7.471779713300320758e+00	-4.550503046684720942e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.324575708277617281e+00	5.793385378214922277e+00	5.668606386725871360e+00	1.693983786227002852e+00	1.648977060189060762e+00	4.960847411715223920e+00	3.214350649948901406e+00	1.725961161048145120e+00	3.001617514355299665e+00	1.013239404645023822e-01	7.327018047920083044e-01	-1.219390743756867623e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.076343122312520828e+00	2.997443894126642583e+00	1.253052475427164358e+00	5.956577786717837775e+00	9.927848738962627984e-01	2.334091716310649822e+00	8.101088120468348919e+00	2.240835417541795049e+00	2.955215538595187041e+00	-6.303531602402396850e-01	8.469644972209732003e+00	-8.094395159348152902e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.724483509331390607e+00	1.025903363041996919e+01	2.007872484962405224e+00	3.775177043864006432e+00	4.414305728640218085e+00	7.325171171845051177e+00	8.736025861791764768e+00	3.254399021137530212e+00	8.650819728662543895e+00	5.065243324027847160e-01	4.790615713156959110e+00	-2.551728382249303095e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.254918330133444115e+00	1.011908788272410398e+01	8.948767292278407837e+00	3.785990143713539258e+00	7.284370045727297516e+00	5.608984593547371666e+00	9.971610204396483823e+00	7.199952881731480403e+00	3.566768897030439867e+00	-5.719691812593272889e-03	6.908301122967820618e+00	-1.288876419320872202e+01
