G c dx1dt d2x1dt2 dx2dt d2x2dt2 Fc m1 Fg d1 m2 W d2 p
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 -3.01873851e+01 6.83431259e+00 1.34919509e+00 7.48241132e+00 -8.88348512e-01 2.45845194e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 -8.45081189e+01 2.55147726e+00 2.68095275e+00 7.18554704e+00 -3.76452837e-01 4.02017143e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 -2.23072451e+02 8.85155107e+00 8.48121225e+00 1.86178779e+00 -6.79749540e-02 6.64875075e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 -9.00622917e+01 6.51804615e+00 7.90091521e+00 9.30315164e+00 -1.82746838e-01 3.90875077e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 -2.16360880e+02 2.41483495e+00 4.15578422e+00 6.11624982e+00 -2.65837463e-01 8.28839721e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 -3.38621550e+01 9.66104252e+00 4.39129565e+00 4.27352969e+00 -1.15927577e-01 2.93961453e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 -1.69090875e+02 5.66528917e+00 5.80198990e+00 7.80884725e+00 -1.50931780e-01 2.37665819e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 -2.19031273e+02 1.65608607e+00 1.00216904e+00 3.31628913e+00 3.72337012e+00 1.43442017e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 -1.85635924e+01 6.64149614e+00 3.17119902e+00 7.24158853e+00 -3.39695118e-01 6.83869647e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 -7.75049341e+01 3.27879016e+00 2.87408628e+00 1.35740087e+00 -3.57124587e-01 5.09325048e+01
