G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	m1	Fg	d1	m2	W	d2	p
1.000000000000000000e+00	1.000000000000000000e+00	4.371148243395853505e+00	2.668646117851522614e+00	3.354627198875521632e+00	7.058495520339398865e+00	6.131911266242104475e+00	4.549500287374828034e+00	-3.025700495352208108e+01	6.830679134558123700e+00	1.346229980265816195e+00	7.473270988923577995e+00	-8.879172455828294730e-01	2.458679015782350419e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.561111975517363248e+00	5.874210300810489116e+00	3.219620247044574946e+00	8.178285910467007369e+00	8.257631868010268050e+00	5.249838536086436136e+00	-8.433963966751885266e+01	2.548421950386446255e+00	2.669431293038293518e+00	7.175826733473146035e+00	-3.775066877051989067e-01	4.024356947263088102e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.585364477249744830e+00	8.850668771869278473e+00	9.160141125529097650e+00	3.251835430244137903e+00	7.844122842913853866e+00	8.694153170902698236e+00	-2.231115986608097330e+02	8.851465730919199970e+00	8.476863309604679486e+00	1.862562915566631450e+00	-6.873314317289698494e-02	6.650292539508171785e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.397003429284578324e+00	7.594731068824657427e+00	3.243996888367696840e+00	6.617700732421536891e+00	2.386895669029795108e+00	4.052849030783360007e+00	-9.004897621533177698e+01	6.516571373037192139e+00	7.897870246319715015e+00	9.307399190720719417e+00	-1.825453308677217334e-01	3.907626913102635626e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.396263077866895852e+00	8.258474750386117336e+00	3.441161445110390904e+00	6.132406856002159401e+00	2.342908739007152796e+00	8.826807353929270406e+00	-2.163217368843788506e+02	2.406722999333236857e+00	4.162144146206894213e+00	6.112638820271945939e+00	-2.656360547931010396e-01	8.280300369050642928e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.410398150884621504e+00	6.926326742241668555e+00	7.841658913377901108e+00	8.490164141692817523e+00	3.414459492823562314e+00	1.791499795914855531e+00	-3.396074010968283119e+01	9.658867572740764018e+00	4.392345958162179542e+00	4.282512240322868813e+00	-1.161712135641911059e-01	2.938502018666625304e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.526406560353067876e+00	7.230722153534522967e+00	5.054375378583181089e+00	9.154168272841376464e+00	4.246419192752820315e+00	7.994816336432989168e+00	-1.689837218019200691e+02	5.664747636229076733e+00	5.803829696029249696e+00	7.812800081257285534e+00	-1.508752931681968112e-01	2.376105677423392422e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.786297607840326762e+00	8.657429061088553368e+00	7.991253690885628203e+00	1.118067594461311653e+00	4.679458705610151092e+00	8.629180576632826671e+00	-2.189760158250998927e+02	1.652669356239154119e+00	1.008478341117485577e+00	3.311403643620488335e+00	3.722402791890080387e+00	1.458141355501501835e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.424706766327412666e+00	3.253429196007331825e+00	1.581322320894104516e+00	7.069823195390565473e+00	7.110155253413815934e+00	2.643738435477109849e+00	-1.842843414472253372e+01	6.645232047263146313e+00	3.170685481096149783e+00	7.241754448637331976e+00	-3.394249634915053049e-01	6.848222060529229793e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.372308190818839257e+00	5.411292248382873815e+00	5.381351724487666743e+00	1.468173731833857687e+00	1.511137395058080424e+00	4.869816673591293110e+00	-7.756384284860156697e+01	3.283791539172022045e+00	2.878114650974153310e+00	1.370722959603513758e+00	-3.570291601151871497e-01	5.074438149899248174e+01
