G	c	dxdt	d2xdt2	m1	W	d2	Fg	Fc	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	7.061364269700170837e+00	2.364065936499328835e+00	6.147171189268908265e+00	1.409428594130527124e+00	1.235611640699371572e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	8.175331062402117155e+00	1.294534685421141029e+00	8.250783216010281862e+00	8.657572823297353670e-01	9.120271933413733878e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	3.244498455833112693e+00	1.208340672753820261e-01	7.836066770122211977e+00	1.033136719174235996e+00	7.935720634685007602e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	6.629730371681221257e+00	8.055698843721580404e-01	2.384297388754851088e+00	3.708651161237401794e-01	4.966946420945405616e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	6.135761258457383960e+00	6.487338936760442820e-01	2.342160946640210017e+00	9.713582719516002939e-01	2.427143027510752782e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	8.500335236255562421e+00	4.703545620120619941e-01	3.414576053223223884e+00	1.419117909980317727e+00	1.766908345964622318e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	9.152792584280366128e+00	7.535656659533649382e-01	4.251485068991349259e+00	2.790504384174456565e+00	2.070520470021599280e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	1.113214016580328813e+00	4.820358947926735999e-02	4.679149586395445759e+00	5.334743167197506519e-01	3.440617125682632338e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	7.058966226851910442e+00	4.108929951410375203e+00	7.118569377168422641e+00	1.111555968245897752e+00	2.530642986410585493e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	1.472862160087173855e+00	1.521327706691124326e-01	1.503529037988676320e+00	2.051481538489069723e-01	9.852525099592179814e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	5.931797531704026127e+00	4.573778194824794419e+00	1.306942558566245971e+00	1.105721758355366235e+00	1.046036044085906891e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	3.585075962609598044e+00	6.946433205519738641e-01	4.524218816162919765e+00	4.639671862111679479e-01	4.935063154586233347e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	3.755586339065330126e+00	1.312000953580661489e-01	7.272935880199651315e+00	8.569863200145738658e-01	8.781010786849387240e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.257946684918249236e+00	4.167129927480702989e+00	4.106743690654615975e+00	2.746641602818129080e+00	9.425380121130502165e-01	1.728785676461634724e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.791106223512725748e+00	6.592143753211830770e+00	4.644748049287092395e-01	6.767205861924116661e+00	2.569766570858092347e+00	1.833052282508538244e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.703187658261631654e+00	4.016226728454690864e+00	2.765226433375523318e-01	3.336506418852827061e+00	1.258031471053587813e+00	1.094058557405868104e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	4.123629214320209790e+00	7.608728419204352278e+00	2.103446491337868984e+00	8.979965973087940867e+00	2.401757450953943884e+00	1.016290711975986527e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723816821909508690e+00	6.114305840075203058e+00	9.109840581122687908e+00	4.641272410750683974e+00	2.499630253911601374e-01	9.059576083019100778e+00	1.583950398726092557e+00	1.474461806185892176e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.883545352969510311e+00	9.237621433478361510e+00	1.191923975401164570e+00	1.621223814977468702e+00	4.376643618883243603e-01	3.678092700058470221e+00	7.505284535976630700e-01	2.393585743538107768e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.631293909096274586e+00	1.299784806297001660e+00	6.985731898782957749e+00	8.055094995410371439e+00	2.655486575912000546e+00	3.069183711761878097e+00	8.466968794334424064e-01	1.260158056680932503e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.506942921925472412e+00	7.276096227761309265e+00	9.670742549086599027e+00	3.574525562028943337e+00	1.514274940826484395e-01	4.703134435025038584e+00	7.235718791085382628e-01	9.387252698864596845e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.259605947882365573e+00	3.677860349058638789e+00	6.033918558185230374e+00	4.893049740898617550e+00	6.619877829058509189e-01	3.163539791956578640e+00	1.402844838787479231e+00	2.385642070065880915e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.626009930211931298e+00	9.315918067095587674e+00	9.438956217445598540e+00	7.170050974635021390e+00	2.440796381910554091e-01	7.055088060877914735e+00	1.945162269195165550e+00	1.165636832739214562e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.299221883972791147e+00	9.738212911633668867e+00	1.471016093594487151e+00	3.995014984013605552e+00	8.358232778537820762e-01	8.426166318241490316e+00	1.963489091354053251e+00	4.330444303251019256e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.106313683398806980e+00	9.493172019666747730e+00	4.773839480684279657e+00	1.506139490316519947e+00	1.010691208393922208e-01	7.055850238417733067e+00	1.381947236457667039e+00	5.640378429138855759e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.056356284167488724e+00	5.274154483794854187e+00	3.348177825911215155e+00	4.364869914261002570e+00	7.435721171734157586e-01	8.420769445919439988e+00	1.043693140304893241e+00	4.967702249364291944e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.807971331577355567e+00	8.756745756760093258e+00	7.579254752804300388e+00	9.499720935829452984e+00	4.290021840747943460e-01	4.575836470212027329e+00	1.634992687226038521e+00	1.770685684704303153e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.635095316605735150e+00	8.609026495359083597e+00	9.828403662430162058e+00	6.780083211413217015e+00	2.416053912543471294e-01	2.414984775157951624e+00	4.266221907520149625e-01	1.407850279986210262e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.329581376223640810e+00	3.880408922389640303e+00	3.314158109269508046e+00	7.037541507634638371e+00	1.651057412370910971e+00	7.639428639010752420e+00	1.205581352857128197e+00	1.010995301465650753e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.412087885585436631e+00	8.459788398675630816e+00	6.887575581648896161e+00	6.690260362674321115e+00	3.451540087125716805e-01	4.252329210080458388e+00	2.994013488646009691e+00	9.004940475980885428e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.469784780843464311e+00	1.327458552638508760e+00	2.786665757876897409e+00	2.801279653427985128e+00	2.256247904058682696e+00	7.037847761549277159e+00	1.089864820419758962e+00	1.395575259620646325e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.535186344737078823e+00	6.354824735234937627e+00	6.076080140271290730e+00	4.771306274628922317e+00	3.682684149659561923e-01	3.443032547785337627e+00	1.356345378336482277e+00	1.433424228326378447e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.587389330244187491e+00	3.061890368498174197e+00	5.177860457283835594e+00	7.765761802713776696e+00	1.464972337279526915e+00	1.735519410851630973e+00	1.093970873811995759e+00	4.152616073566006150e-01
