G	c	dx1dt	d2x1dt2	d2	d1	m1	Fg	W	Fc
1.000000000000000000e+00	1.000000000000000000e+00	3.952143590132434881e+00	2.612360102665674422e+00	3.235142319452129378e+00	-2.861558613532778139e+01	7.235008124706164168e+00	-1.726032534953720869e+02	7.405825968307533813e+00	-1.249166043584807761e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.229140359614216749e+00	5.848000256545464737e+00	3.165653481485017018e+00	-6.196769540108854102e+01	8.096689531489932534e+00	-8.994093043641313443e+02	1.185045312315103772e+01	-1.386312790527377548e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.363820221101960328e+00	8.952795988018591444e+00	8.633674887372098539e+00	-1.282753576739413006e+02	3.323105576564882035e+00	-4.111536038610098558e+02	9.059155365963732720e+00	-1.966813885689775887e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.473254016221284601e+00	7.374022416823373227e+00	3.195827832938762381e+00	-3.634100170622575376e+01	6.447869109365242046e+00	-6.270153997580928262e+02	8.081166709289799854e+00	-1.467651764483467236e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.476375044090802557e+00	8.466665876488541187e+00	3.940055168533529883e+00	-1.041149087721285760e+01	6.599030362663791394e+00	-1.944821086515840420e+02	5.080412576439062633e+00	-1.411919776360864187e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.220124225155339026e+00	7.002853364693620186e+00	7.587222662755573666e+00	-3.123343733681277001e+01	8.805173994631612544e+00	-2.143779248021290869e+02	9.135452933294546440e+00	-1.641261971165068889e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.198755325182708109e-01	7.135805516392279557e+00	4.886566165198334311e+00	-1.361440893017993403e+01	9.447906134498019526e+00	-1.564752490115883745e+02	4.266964587199446157e+00	-1.593582342094322923e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.195471830313785233e+00	8.444701206804547056e+00	7.663618795659109750e+00	-1.317787752370653891e+02	1.324353324435228352e+00	-1.646185626632460526e+02	4.458829188913226993e+00	-2.017501237459563335e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.332702763062607154e+00	3.195584882191926823e+00	1.757302662026860807e+00	-2.662370787692455210e+01	7.206854845438442680e+00	-3.320419509742378068e+02	5.299714417030056524e+00	-1.058507711897128445e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.070567834354136494e+00	5.177597225329845898e+00	5.720322566973536915e+00	-7.122405819903677582e+01	1.129712125121332678e+00	-1.059820659380088443e+02	4.917429807205242476e+00	-1.956726003562231142e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.259660966762102596e+00	3.007140158062891810e+00	1.628387590422970543e+00	-2.497686018113558060e+00	6.111142857603264034e+00	-2.540292024518543457e+01	9.975246436627235314e-01	-1.235161770884189103e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.784514691616191584e+00	9.912777505632599073e+00	1.219324850808201299e+00	-3.386662292900006577e+01	3.619622589445775418e+00	-7.082261462536818044e+02	5.741707836367226925e+00	-1.464898976984873924e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.404662533543591607e+00	9.569329978898222677e+00	9.295920868793443148e+00	-1.516896060547348952e+02	4.102942604823939021e+00	-6.009033421724126356e+02	1.178656275063051240e+01	-1.850729003501781822e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.951246787487658008e+00	1.846135380551249483e+00	2.649041743859833264e+00	-1.881418801053315448e+01	4.395169688176545186e+00	-2.215393161470335315e+01	3.797132177274896492e+00	-9.392042901090651430e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.323855781134206211e+00	7.313336019825685597e+00	5.932495244050514316e+00	-2.506361380980149178e+01	6.740602845710884417e+00	-2.303043854562509125e+02	7.264977717862390882e+00	-1.512771024856579993e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.856284745254030977e+00	9.606671579869253463e+00	4.831940998119223174e+00	-2.080205789945579653e+01	3.550582633131939669e+00	-1.610686696158995233e+02	5.272828068283868852e+00	-1.582632557056182332e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.468412553563031686e+00	2.689039632340123109e+00	3.995877641585862339e+00	-3.310257374436532984e+01	7.570201794093834202e+00	-1.449127428013139536e+02	7.535445021640756913e+00	-1.242703813415321434e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.558931375831709154e+00	6.045237562141494436e+00	9.159268597320723515e+00	-9.793107637604221338e+01	4.489742457385586860e+00	-2.995888285542815197e+02	1.111006773564518468e+01	-1.885224238844325217e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.063080964787278759e+00	9.206249601131281324e+00	1.537736478734977652e+00	-1.546639815513917426e+01	1.683486374665706720e+00	-1.186631742227409205e+02	2.552625586133514091e+00	-1.257457908101571098e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.946872155889003864e+00	1.289150786189628306e+00	7.064719957715944076e+00	-4.739620544425474691e+01	7.941362639871957008e+00	-2.710263018453989048e+01	1.053898561589424610e+01	-1.465395075104932276e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.935811146738298127e+00	7.354601976546248032e+00	9.325922998864584201e+00	-1.181201016353968072e+02	3.497135015785728385e+00	-3.422607493134830179e+02	1.092739517845450337e+01	-1.793336743825578505e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.541160064351817294e+00	3.409298528613204482e+00	5.915608489458200836e+00	-2.351973066053626837e+01	5.019148063115419944e+00	-5.164532023899706559e+01	6.166455670186275384e+00	-1.540675184067793690e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.541602900473366677e+00	8.911969921265178840e+00	9.765263171106315809e+00	-6.348801729962635676e+01	7.052028657684388691e+00	-4.260782662137591501e+02	1.275244891313304763e+01	-1.722962261552792862e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.880229234087694046e+00	9.921522125220338495e+00	1.559976882664556364e+00	-1.290673032240185414e+01	4.025016442640622749e+00	-3.024464137110018100e+02	3.633212384285428254e+00	-1.188261514247799688e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.484859608162264699e+00	9.748218538013304624e+00	4.802010835354439955e+00	-4.618048705265362486e+01	1.098013560102915953e+00	-1.204772497496002615e+02	4.003146816834693311e+00	-1.831626323878911000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.437515160474536202e+00	5.475332363401542501e+00	3.188466084022279823e+00	-5.272065103899066685e+01	4.139984334895147278e+00	-3.473213927639159806e+02	9.014047686123847214e+00	-1.366189119491614701e+00
