G	c	dx1dt	d2x1dt2	d1	m1	Fc	d2	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.428216541324684563e+00	2.628066470304298630e+00	2.335172161326868334e+00	6.727446431339711097e+00	5.151057042547719789e+00	1.632133446861151072e+01	5.937707866227208697e+00	1.917383168164321461e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.512031553025643404e+00	4.757801611553304610e+00	3.585477349872751685e+00	8.505716399852925491e+00	1.193694534917395877e+01	2.883280613237046808e+01	7.307340382715998395e+00	1.465626798106856086e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.281075839234754099e+00	8.569373090401860793e+00	9.425952730158050130e+00	2.511785187029645261e+00	1.342568197385332063e+00	6.877808141350315907e+01	8.564363539292740413e+00	2.426129026605966743e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.823780674182007289e+00	7.625358673995864756e+00	2.873443653370580719e+00	6.779477224441960992e+00	6.810189178338423410e+00	2.258395591559034798e+01	2.081419233062548280e+00	3.076019501943389756e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.629698283754711818e+00	8.685761507205629783e+00	3.251401345529203901e+00	5.625618393458454491e+00	2.336898433005780262e+00	6.163097038304067965e+00	2.879941762120378446e+00	5.642571393447174621e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.234397516943841921e+00	6.373202061894250647e+00	8.091225720237620322e+00	8.072814970813791291e+00	1.581702758031113376e+00	2.149197019752570981e+01	3.145542711696541094e+00	4.097231136248502992e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.901289239683758403e-02	7.438375389011041783e+00	5.553406106336118420e+00	9.371665873430698568e+00	1.714817065738416746e+00	8.160642319154227664e+00	3.598796131459155223e+00	1.274678020088866859e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.959786162921634656e+00	9.459706612113045310e+00	7.024402411119357481e+00	2.285998794890922170e+00	-3.695952498185173241e-02	7.142446959141791751e+01	5.316402013083266098e+00	1.045197216389848904e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.254536488899558933e+00	2.890556288142873687e+00	1.935191006380826639e+00	6.573011571018878563e+00	1.373430263692201336e+01	1.450033290445745848e+01	7.165591329600703219e+00	7.966195292222114688e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.270053283661797927e+00	4.544175034842539596e+00	5.135441702878069670e+00	1.856220576402368483e+00	1.437668304424349230e+00	4.079404608313002711e+01	2.537913547825876748e+00	2.774690269738699921e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.152777807086194262e+00	3.152127462265875923e+00	1.923868200955290320e+00	5.770445040046459972e+00	2.412581476672796654e+00	1.757954170573658104e+00	1.057941732520124800e+00	4.918825937422093730e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.937673752327487620e+00	9.225885570331257668e+00	5.482951492381236136e-01	3.331698104630192780e+00	1.091352005158439731e+01	1.496763365795593614e+01	4.284843853774652267e+00	1.256076102354895596e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.491841317341993545e+00	9.040912397963005276e+00	1.050814595842465238e+01	4.340965456735506933e+00	1.275410889249602553e+00	7.736528893972764820e+01	7.821777567108950890e+00	2.941659428241050378e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.838854402157793277e+00	1.868508021316021894e+00	1.763912747866563491e+00	3.719995964113932185e+00	2.547835760737666710e+00	7.495625073303701313e+00	3.292014487810175805e+00	7.048373993444052577e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.344851731971018705e+00	8.394324848935715622e+00	6.581360878199904896e+00	5.966867221475821381e+00	1.370710480835676703e+00	1.935748313019346512e+01	6.857113062209934107e+00	2.425093625084554105e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.956758664144307325e+00	8.770535362883913777e+00	4.661659083825520078e+00	4.255560124326909666e+00	7.821185711518114925e-01	1.062325164363583418e+01	5.155156447278495868e+00	9.065262672364964303e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.219245918900722092e+00	2.214940023577283590e+00	3.674050695390183030e+00	8.457607801988805463e+00	3.049615956377477843e+00	1.336275204657476046e+01	8.821954978057577890e+00	2.135563114020634501e+01
