G c dx1dt d2x1dt2 m1 Fc d2 d1 W Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 3.57841001e+01 7.05432695e+00 9.14706432e+00 6.14796290e+00 1.46888066e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 7.57631975e+01 8.17013257e+00 9.12498568e+00 8.24889096e+00 4.31945548e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.24371232e+02 3.25421109e+00 3.74817557e+00 7.84144837e+00 7.93725928e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 9.85463150e+01 6.62386690e+00 7.85325766e+00 2.38509914e+00 9.70032968e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 1.13893874e+02 6.14571385e+00 1.05224799e+01 2.34324523e+00 2.67691394e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 2.17144917e+02 8.49547339e+00 1.45465929e+01 3.41356931e+00 2.82060972e-01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 1.45988161e+02 9.15478354e+00 2.66674370e+01 4.24967254e+00 1.21331486e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 2.76236293e+02 1.10941094e+00 1.25172366e+00 4.67610023e+00 1.64289610e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 2.06288576e+01 7.06617927e+00 8.37230375e+00 7.11727495e+00 2.72457759e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.16487824e+02 1.46652219e+00 1.69664960e+00 1.51012389e+00 3.28106042e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 1.55827787e+01 5.93972799e+00 3.80012286e+01 1.31205434e+00 2.04615242e-02
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 6.18608666e+01 3.58869456e+00 3.99980889e+00 4.52719507e+00 5.50600493e+00
