G	c	dx1dt	d2x1dt2	m1	Fc	d2	d1	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.413470895509473024e+00	2.618080842220442239e+00	3.192251310177776968e+00	3.485894368610839678e+01	7.034171959726844392e+00	9.076543492094689469e+00	6.121196030612463090e+00	1.456404243909565244e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.581302405423370416e+00	5.948052507481055962e+00	3.193925193009365504e+00	7.418503333688165924e+01	8.254876507928294416e+00	9.137909307013725169e+00	8.322233056565423226e+00	4.291212523411451762e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.697153741531128190e+00	8.790541708001299526e+00	9.108442213679879274e+00	3.243202004251868402e+02	3.283923944699122632e+00	3.845237843224082575e+00	7.926406701291511148e+00	7.937405012373813129e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.390302812965427570e+00	7.636314554936087795e+00	3.265187041287970882e+00	1.006665558887186478e+02	6.602533302839329821e+00	7.881619299849617732e+00	2.322619074368805325e+00	9.924717849325485064e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.435410982937713964e+00	8.304702001951977053e+00	3.628973753871715058e+00	1.139954938204808172e+02	6.208511626625244695e+00	1.042220773525016320e+01	2.356848223511817331e+00	2.443426488733337343e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.325422789274885993e+00	6.874855848739398034e+00	7.872969005082477878e+00	2.167349984992904979e+02	8.519584389427159010e+00	1.451551893706700902e+01	3.390096025695887416e+00	2.808634673950702876e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.478103088678812460e+00	7.340827242370245642e+00	5.198728766137040047e+00	1.469203670371690862e+02	9.104300599196694321e+00	2.661766686554584638e+01	4.211705598995413524e+00	9.953699224828606307e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.730593275439343159e+00	8.655641149951934565e+00	8.021800490613211210e+00	2.760405772105267488e+02	1.210034905164663499e+00	1.256500946589010459e+00	4.691615299813388873e+00	1.643569708808949770e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.478991367740534635e+00	3.283389144324035502e+00	1.553515296894438347e+00	2.293813269660336118e+01	7.080225832854731394e+00	8.492364437041489467e+00	7.179422606519739958e+00	2.706900884359965342e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.234501840136117856e+00	5.319868561718740452e+00	5.407351453468003832e+00	1.164829873292113689e+02	1.467539698438697693e+00	1.683214334998652806e+00	1.534725709617688283e+00	3.257266269924922852e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.163486188511436037e+00	3.108697598357090364e+00	1.400843058560507171e+00	1.644873796740978023e+01	5.893414794652647615e+00	3.799327345638309339e+01	1.294650663308959615e+00	-1.416769651777224220e-03
1.000000000000000000e+00	1.000000000000000000e+00	9.567160018711740932e+00	9.820888060211069970e+00	1.664900901183191673e+00	6.092801949395303751e+01	3.652547394764827260e+00	4.160224531413403426e+00	4.555239290244405659e+00	5.522199803808265806e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.446991900583844526e+00	9.553550088479209279e+00	9.126168955386136261e+00	3.484965673807977282e+02	3.788991460889635565e+00	4.342060508264641960e+00	7.254865515361439421e+00	7.242352205886347427e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.884480325906839671e+00	1.299500600009624529e+00	2.267188261419899487e+00	1.255103134040312973e+01	4.210689555047589572e+00	6.413943659110752371e+00	2.763365741262062247e+00	6.132808215856198064e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.711378202569731499e+00	7.315741238844372774e+00	5.712867003399678012e+00	1.702127497416673521e+02	6.564157462950586108e+00	1.079640416871429487e+01	6.849605089188623985e+00	8.492032673590916847e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.672107319571354722e+00	9.371114475917927678e+00	4.745395747773772932e+00	1.747265316189388784e+02	4.051602685420351513e+00	6.477859525722328371e+00	3.225311435493467105e+00	6.743771349247491553e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.693087996517423921e+00	2.682342467838827904e+00	4.211860773584104045e+00	4.253814663914310046e+01	7.643651353040758600e+00	1.018850740341668448e+01	9.018200897357822043e+00	1.654208388666835283e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.780501130125735187e+00	6.040783547241440843e+00	9.100697697169110256e+00	2.227712372971374464e+02	4.604542993141371277e+00	5.698511123736321515e+00	8.977377980221806553e+00	4.579383883108805620e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.888470306713236013e+00	9.300059345136549638e+00	1.159559948118212391e+00	4.499393673521660020e+01	1.538471803934545301e+00	1.886994615471325742e+00	3.742491210472820740e+00	4.417288501088848740e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.623095494467286404e+00	1.363647702464493072e+00	6.993992356199155047e+00	3.626197328024158395e+01	8.085310486350254067e+00	1.116736621185819800e+01	3.035245336900756374e+00	4.543461860136974728e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.441583751985917594e+00	7.224602601036633764e+00	9.693600543013177528e+00	2.818370725815711921e+02	3.486653742803119016e+00	4.065811141882679891e+00	4.635409824430692716e+00	3.613167900016232892e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.201862148859980994e+00	3.765076325468668106e+00	6.045994129636865999e+00	8.879095531520222551e+01	4.903131104767026294e+00	8.751711182240278220e+00	3.202655222585879979e+00	3.518088571554212618e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.584645024741971220e+00	9.238518501136232075e+00	9.441270186406136133e+00	3.517080885468250244e+02	7.144783893386057905e+00	9.862744224936836446e+00	7.071290743618089181e+00	1.317109495214831894e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.299771217659109190e+00	9.704767138158839401e+00	1.460723459641034783e+00	5.703311303950111721e+01	4.058076333093464605e+00	5.133344890252036663e+00	8.380156969940980360e+00	3.507910070654360446e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.108845276195451035e+00	9.525046062007914927e+00	4.824133030582122394e+00	1.812189798257151949e+02	1.488004795339384012e+00	1.845489944835360552e+00	6.989578936000942377e+00	9.622506266785201490e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.150154715886197110e+00	5.220442728182636216e+00	3.382072034026904372e+00	7.374477779247986575e+01	4.425230263008266718e+00	5.076205254800130184e+00	8.408942011048374354e+00	6.815443497566883835e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.817904415431945253e+00	8.773060526625254596e+00	7.523105149985278572e+00	2.658479594546710700e+02	9.472201152280677050e+00	1.472203079843694695e+01	4.507343471116029399e+00	4.042062688495582923e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.481568128824150676e+00	8.614356027731309595e+00	9.775872518448329274e+00	3.390444475198625582e+02	6.829742847369007386e+00	8.288815621340459572e+00	2.349034860159257221e+00	7.962542880279513957e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.345946115894619766e+00	3.861497027002627203e+00	3.294724891097656538e+00	5.178645908107363738e+01	7.154846362905879609e+00	8.277189507990211581e+00	7.647856334219419239e+00	2.941533458254727229e+00
