G c dx1dt d2x1dt2 Fg d1 Fc d2 m1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 -3.26379955e-01 3.08334830e+01 -1.40034275e-02 -5.92708537e-01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.78532377e+00 7.80772899e+01 7.82111081e-02 3.83397073e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 4.48446122e+01 2.46927763e+01 3.33651694e-01 6.51463825e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 3.41945324e+00 4.23127739e+01 3.52633546e-02 1.40147860e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 -2.36674535e+00 1.47753271e+01 -5.95973097e-02 -2.19760807e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 -6.05811292e+00 2.04226991e+01 -1.81847821e-01 -9.26929993e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 -4.62149210e+00 1.39404696e+01 -2.09872348e-01 -1.15280155e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 1.77740452e+02 9.75791860e+00 1.16906604e+00 7.78184792e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 1.49025445e+00 4.52944572e+01 3.58002549e-02 1.51782612e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 6.11815668e+01 1.08121595e+01 7.67688761e-01 6.75499563e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 -1.19983315e+00 7.04012466e+00 -1.69230002e-01 -6.03108106e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 1.21859914e+01 3.49150865e+01 6.33288119e-02 1.36360658e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 4.93739603e+01 3.19382609e+01 3.06121394e-01 6.90791590e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 -7.29315678e-01 1.21583770e+01 -9.24585682e-02 -2.31698945e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 -3.75601454e+00 1.73783416e+01 -9.69134659e-02 -3.83290744e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 -1.95256287e+00 1.06196582e+01 -3.94885579e-02 -9.49253524e-01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 -1.59533183e+00 2.83888298e+01 -8.12834313e-02 -3.70374041e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 1.23047162e+01 2.65581005e+01 1.75907404e-01 4.89804999e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 4.70169905e+00 7.89419475e+00 5.20587915e-02 5.04505539e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 -3.18936390e+00 2.91634510e+01 -3.37331282e-01 -1.63008702e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 2.85377860e+01 2.32407077e+01 3.01364233e-01 6.45852166e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 -3.94863091e+00 1.10401808e+01 -2.38117977e-01 -6.99338486e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 -3.65519299e+00 2.60184465e+01 -5.40333073e-02 -2.32418704e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 7.96783131e-01 1.71551013e+01 9.51877602e-03 2.27999744e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 2.26769270e+01 7.70426933e+00 2.33851182e-01 2.11766871e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 1.32611785e+01 3.52129723e+01 1.56035227e-01 4.08683356e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 -5.49731930e+00 2.65722125e+01 -1.12200446e-01 -6.39545048e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 5.48918037e+00 3.81338756e+01 5.66981363e-02 2.30498661e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 2.96911477e+00 4.45963599e+01 6.05549871e-02 2.55904612e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 -6.19753963e+00 9.48754422e+00 -2.58293805e-01 -1.03687492e+01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 1.11214901e+01 1.80514615e+01 6.44936427e-01 1.07998316e+01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 -3.35177716e+00 1.20779392e+01 -1.03853168e-01 -2.96916506e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 -4.61645963e+00 1.23007588e+01 -4.74212439e-01 -2.20749443e+01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 1.44891882e+02 1.82438193e+01 3.64199846e+00 4.17887874e+01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 5.14385175e+01 3.39239501e+01 1.56803200e+00 3.29350224e+01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 2.29952116e+01 2.88558745e+01 1.91195639e-01 4.00004829e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 -9.19837372e-02 1.82892063e+01 -3.02849518e-03 -8.88228020e-02
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 -2.07832113e+00 1.84584974e+01 -7.35121631e-02 -4.33280042e+00
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 2.91421768e+01 1.15068054e+01 1.28170263e+00 1.23621981e+01
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 1.45838032e+00 2.81225918e+01 3.82981492e-02 1.30251445e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 -3.79624011e+00 5.48566354e+00 -1.54485881e-01 -2.42321808e+00
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 1.17284100e-01 5.31258667e+01 1.32409273e-03 7.73489070e-02
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 -4.09441375e+00 2.64483177e+00 -4.04095609e-01 -4.89698788e+00
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 1.03050824e+01 4.25435053e+01 8.45831080e-02 2.35094131e+00
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 -4.51518215e+00 2.54369236e+01 -7.55705397e-02 -3.46459103e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 9.01616374e+00 5.11131141e+01 9.89583646e-02 4.35871410e+00
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 7.52322276e-03 1.82832625e+01 3.19215221e-04 9.20212775e-03
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 1.18783394e+01 2.33968369e+01 8.57256277e-01 2.11847786e+01
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 9.14326856e+00 2.71065847e+01 8.74412810e-02 2.40210541e+00
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 -5.20585904e-01 8.99924069e+00 -8.20185549e-02 -1.66259142e+00
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 2.84799645e+00 5.16167057e+01 2.77003586e+01 2.99073122e-01 5.11055514e+00
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 5.34735728e+00 1.59034252e+01 4.26515666e+01 1.73065168e-01 5.55264772e+00
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 3.41680380e+00 1.92435367e+01 3.23075558e+01 1.07662652e-01 2.20717296e+00
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 3.58715498e+00 6.29315735e+01 3.24761145e+01 4.24415461e-01 9.13466421e+00
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 6.91080457e+00 8.33837558e+00 4.40985337e+01 6.54582145e-02 2.71421357e+00
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 9.71683599e+00 1.37967806e+01 9.03361427e+01 1.78522555e-01 1.04080463e+01
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 6.43273481e+00 -4.29766130e+00 1.15559740e+01 -1.51323433e-01 -5.84054110e+00
