G	c	dx1dt	d2x1dt2	Fg	d1	Fc	d2	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	3.952143590132434881e+00	2.612360102665674422e+00	3.235142319452129378e+00	7.114870058658715024e+00	7.871651607710966614e-02	3.002119359957323752e+01	-1.169656684335259635e-02	-5.832733687080386975e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.229140359614216749e+00	5.848000256545464737e+00	3.165653481485017018e+00	8.137809935995553801e+00	8.620660706601212198e+00	7.984621716745633080e+01	6.609736053825449043e-02	3.833050198344042148e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.363820221101960328e+00	8.952795988018591444e+00	8.633674887372098539e+00	3.560722661992675508e+00	4.499907717638445348e+01	2.495700076772027742e+01	3.160724538287172369e-01	6.444303664011404642e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.473254016221284601e+00	7.374022416823373227e+00	3.195827832938762381e+00	6.961525305611639070e+00	3.024857156487398058e+00	4.147287855205979668e+01	1.926875675734689153e-02	1.342012116353108464e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.476375044090802557e+00	8.466665876488541187e+00	3.940055168533529883e+00	6.458225373899910693e+00	-1.350386452291221229e+00	1.547217522521253130e+01	-5.052353691068667274e-02	-2.182021375491037585e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.220124225155339026e+00	7.002853364693620186e+00	7.587222662755573666e+00	8.428594791484442794e+00	-5.363748262305347403e+00	2.183580191752172439e+01	-1.823726336403838910e-01	-9.330591688870446987e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.198755325182708109e-01	7.135805516392279557e+00	4.886566165198334311e+00	8.883173772069016039e+00	-3.964296192251326012e+00	1.247432601411836295e+01	-2.135128920779411077e-01	-1.151768910389709610e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.195471830313785233e+00	8.444701206804547056e+00	7.663618795659109750e+00	1.377081491085602183e+00	1.782223638624904538e+02	9.466262278523172924e+00	1.175528201699889586e+00	7.765901769135622246e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.332702763062607154e+00	3.195584882191926823e+00	1.757302662026860807e+00	6.696701660871021033e+00	1.805656313362528742e+00	4.493553797334624988e+01	3.303497303772331278e-02	1.527010508181013027e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.070567834354136494e+00	5.177597225329845898e+00	5.720322566973536915e+00	1.993583779238647935e+00	6.042642134044955071e+01	1.147022802466548441e+01	7.695242744262481560e-01	6.693188407242255167e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.259660966762102596e+00	3.007140158062891810e+00	1.628387590422970543e+00	5.947306592500217093e+00	-8.155122152420769543e-01	7.959683772141157299e+00	-1.690539088842139270e-01	-6.020871543860740971e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.784514691616191584e+00	9.912777505632599073e+00	1.219324850808201299e+00	3.301546321811936302e+00	1.225533363007033216e+01	3.411270330047111798e+01	6.010851970592587940e-02	1.306490031488139136e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.404662533543591607e+00	9.569329978898222677e+00	9.295920868793443148e+00	3.427561051803724279e+00	5.014063694339111521e+01	2.976633863835568405e+01	3.081325125960542866e-01	6.918334597554951060e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.951246787487658008e+00	1.846135380551249483e+00	2.649041743859833264e+00	3.830818801817299502e+00	-2.393306958935876860e-01	1.365962296839868451e+01	-8.717166769524227476e-02	-2.230149721008016783e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.323855781134206211e+00	7.313336019825685597e+00	5.932495244050514316e+00	6.629623895525527999e+00	-3.422014344433781829e+00	1.574884426363813184e+01	-9.817769958941838238e-02	-3.815986555709692141e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.856284745254030977e+00	9.606671579869253463e+00	4.831940998119223174e+00	4.004719488582417775e+00	-2.974640218776831713e+00	1.101422564127742909e+01	-4.263744397462849306e-02	-9.283850622294901322e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.468412553563031686e+00	2.689039632340123109e+00	3.995877641585862339e+00	7.259765923633453966e+00	-1.649342097886981495e+00	2.819680030661104908e+01	-8.362523892280097904e-02	-3.650756836790355564e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.558931375831709154e+00	6.045237562141494436e+00	9.159268597320723515e+00	4.544265020160808355e+00	1.196615745015756005e+01	2.679445304131823136e+01	1.601962386228434343e-01	4.807050304233751348e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.063080964787278759e+00	9.206249601131281324e+00	1.537736478734977652e+00	1.244921409562801839e+00	4.854848139770501447e+00	1.029670622024335458e+01	5.399411117963687917e-02	6.159517953537545498e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.946872155889003864e+00	1.289150786189628306e+00	7.064719957715944076e+00	8.213344175854400575e+00	-3.441540733037804500e+00	3.358408826378553869e+01	-3.455981534103129138e-01	-1.636930936250718460e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.935811146738298127e+00	7.354601976546248032e+00	9.325922998864584201e+00	3.557048227729399770e+00	2.837032739966992168e+01	2.086408985900850155e+01	3.056697123751137557e-01	6.515554468544513256e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.541160064351817294e+00	3.409298528613204482e+00	5.915608489458200836e+00	4.792480178592883888e+00	-3.670064677503165118e+00	1.247174402140521110e+01	-2.387362198528156232e-01	-6.944958961352013738e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.541602900473366677e+00	8.911969921265178840e+00	9.765263171106315809e+00	6.820343601143738610e+00	-3.917437423207193792e+00	2.579110920408064089e+01	-5.331457892863957632e-02	-2.382678983515623905e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.880229234087694046e+00	9.921522125220338495e+00	1.559976882664556364e+00	3.910862662430509840e+00	8.705713560538913542e-01	1.867970806771226577e+01	1.430702938511052916e-02	2.934108626622268234e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.484859608162264699e+00	9.748218538013304624e+00	4.802010835354439955e+00	1.397017023851472750e+00	2.175486690481427843e+01	9.097067419166958047e+00	2.275164029728795057e-01	2.149944393794989139e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.437515160474536202e+00	5.475332363401542501e+00	3.188466084022279823e+00	4.451288115887401808e+00	1.275603293051754683e+01	3.726412200224877580e+01	1.585598328220116926e-01	4.209370299154985950e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.615216911545638734e+00	8.801490533778725478e+00	7.905540204483696876e+00	9.545243790954412333e+00	-5.099197107028969000e+00	2.698683059109196591e+01	-1.103706815702270722e-01	-6.382912771343128178e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.877397935081086544e+00	8.814354094752502533e+00	1.029063696362676694e+01	6.989995514779623775e+00	4.742634244469046578e+00	3.683956010904992695e+01	5.543476261681624939e-02	2.297949204608573215e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.241838677148932035e+00	4.070350099289288259e+00	3.657515068004128178e+00	6.912152602274433733e+00	3.725087123861799299e+00	4.594607082841947943e+01	5.420884176464559057e-02	2.525671498653300429e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.824322427898841914e+00	8.679324509717938341e+00	7.285845822045155629e+00	6.186984084226237357e+00	-5.606222181654215042e+00	9.659228266600608848e+00	-2.542240729092133944e-01	-1.048177961480005216e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.328573338211426424e+00	1.093980737021253979e+00	2.683846146753329442e+00	3.059187141345741878e+00	1.095871388296727389e+01	1.771122443110200351e+01	6.497460490047530790e-01	1.077919932026004979e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.070170716586451576e+00	6.061303225302930642e+00	5.949884316786790528e+00	4.511650009614339041e+00	-1.531985521298786068e+00	1.138504324739626306e+01	-1.030764542687968022e-01	-2.987052928559103204e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.798200704953280660e+00	2.961995978101429561e+00	5.132228201638075582e+00	7.458850311114048282e+00	-3.862078141872415937e+00	1.376495635716978860e+01	-4.815302537631570012e-01	-2.205795376137429642e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.002641324523514221e+01	2.080266444555025629e+00	9.758697370038367680e+00	1.900685777702973311e+00	1.443158086142591117e+02	2.057668893664156329e+01	3.638392213519300533e+00	4.169652052957511756e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.565177593630579622e+00	1.625286564570075365e+00	6.871825078275768384e+00	3.582490168400411346e+00	5.189133567465827923e+01	3.218473671021489224e+01	1.567619496318475525e+00	3.291952604660796311e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.385183398263336585e+00	6.744582949943651151e+00	4.467438365229930319e+00	3.343191142200650834e+00	2.303518081806704743e+01	2.976080222199606595e+01	1.959029773262879470e-01	4.037409540996697466e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.479221994537556650e+00	4.537776877442727397e+00	2.175524075933676027e+00	4.742363063693944447e+00	-5.633340199844941720e-01	1.774739060356980858e+01	-1.385504471089225344e-02	-4.502614157335525780e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.107445560410034613e+00	7.446672914106663654e+00	1.966095729875923404e+00	9.717480056948380351e+00	-2.727599006731791231e+00	1.632364623594349595e+01	-7.736697016576825348e-02	-4.453381511109048674e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.401391768074770283e+00	1.636246148376041321e+00	2.561818949535094703e+00	1.990936156575701999e+00	2.974593108715313861e+01	1.172171433155378573e+01	1.278949498585365552e+00	1.240799796265891253e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.610044143878164746e+00	4.183794033486347708e+00	3.325087524196991495e+00	5.667584075330685423e+00	1.095515151352450367e+00	2.691039346378877184e+01	3.772915104263145636e-02	1.286527833768075224e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.228791526158536485e+00	5.203149332175016184e+00	8.898569854019580561e+00	2.352284827390547228e+00	-3.858064110579977779e+00	3.190065040966461041e+00	-1.633832330336755234e-01	-2.435213257672520726e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.652543267726587217e+00	7.974176844802044251e+00	6.029038014091593567e+00	9.476846865429195077e+00	-4.416435088660817243e-01	5.198845038986226541e+01	-1.632108149406587966e-04	-7.595441415769327298e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.182082716261473321e+00	3.761092845746335733e+00	6.239189969962706250e+00	1.951825027325034601e+00	-4.548435850934418490e+00	1.149441856205670964e+00	-4.062184307158860364e-01	-4.800152214423658137e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.330389242002857131e+00	6.539475131902782401e+00	1.734076737454220085e+00	4.696789734793580529e+00	1.022805499814624497e+01	4.160258922828523964e+01	7.748894003042766654e-02	2.362404063253687347e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.226215399991376298e+00	8.925543083796709354e+00	8.407652320163576221e+00	7.771963175867098172e+00	-4.279612451007660745e+00	2.350778953561207985e+01	-7.637710139352579808e-02	-3.563883245479158468e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.994054271275045309e+00	6.945300503494257427e+00	7.321932326881792186e+00	7.374595706773797943e+00	7.445409482347220553e+00	5.053819336823575270e+01	9.525831202824430743e-02	4.383040288897557701e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.852626314106049055e+00	3.283963100725656226e+00	1.415123235738521945e+00	4.576688904353312992e+00	1.779105844294943950e-02	1.724549968702232050e+01	3.707610441664876185e-03	3.153638267695891423e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.585273048515134953e+00	1.486092000499670052e+00	7.515814238732306585e+00	4.003969839262101260e+00	1.142555341351653908e+01	2.394334736652837847e+01	8.512031624773894745e-01	2.126404223317231157e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.937426425562808419e+00	8.843996740545009061e+00	5.775416665297453456e+00	4.777157354774428377e+00	9.994296941106817656e+00	2.797017171873396180e+01	8.805549008286739365e-02	2.382026742945099418e+00
