G	c	dx1dt	d2x1dt2	d2	d1	Fc	Fg	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	-7.657845439486965500e-01	7.046510438920880581e+00	1.613320127465300624e+00	6.158977576974193902e+00	-5.416102608205658697e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	-3.358518113381456782e-01	8.172540729210112431e+00	4.733388723978625201e+00	8.258865286458794586e+00	-1.665480580516558575e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	-1.209282586119122316e+00	3.256439049751909121e+00	7.418775350008914415e+00	7.840397210543536666e+00	-1.510828276127187735e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	-5.065672766707332020e-01	6.618770731215303904e+00	2.964453459776503319e+00	2.375392051991081832e+00	-3.399515065649498524e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	-1.436645459501615152e+00	6.151782065343351036e+00	2.555419922283656664e+00	2.330482818078352558e+00	-5.456921998275593211e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	-3.257747170541728465e+00	8.499834268303112950e+00	3.534757151577102352e+00	3.410224676123519316e+00	2.018860326453455034e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	-3.315356944697772423e+00	9.160066038077991024e+00	6.013426333320707862e+00	4.248593643255595964e+00	3.637958212202404695e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	-9.074396800616785219e-01	1.109458890075406545e+00	1.075359204331130414e+01	4.683184668801013473e+00	-1.289592956522831173e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	-2.497086657000222309e-01	7.058516506795751155e+00	2.571667181669817559e+00	7.122001841128161814e+00	-9.282161652415513231e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	-7.291350141378122318e-01	1.471815779731958429e+00	8.893323900864814391e+00	1.511362553618170068e+00	-4.413757272485133143e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	-1.101051079785255071e+00	5.938264368110973024e+00	5.007296231831086963e+00	1.307207401890828846e+00	1.244265758687595103e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	-1.617071673326843373e-01	3.581171158319891745e+00	9.331148813468937320e+00	4.521961753799867090e+00	-9.666781728023421749e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	-1.079864134520747809e+00	3.768308496684009690e+00	7.883949225847391773e+00	7.275857450272216198e+00	-1.617882978633273297e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.257946684918249236e+00	-7.765543643809704744e-01	4.187991411088814786e+00	1.439261583661925581e+00	2.744714890367551785e+00	-1.475790652501438061e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.791106223512725748e+00	-2.196696872414892976e+00	6.591408748392055372e+00	2.495221112878371006e+00	6.775674886819657239e+00	-2.835858520526298321e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.703187658261631654e+00	-1.770492956657603978e+00	4.018137823408485687e+00	1.509967217370590697e+00	3.332817838813358691e+00	-1.406794719914222469e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	4.123629214320209790e+00	-1.099914725317645336e+00	7.594785780908251738e+00	2.035641212423567659e+00	8.978319132676270797e+00	-6.649008876552338165e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723816821909508690e+00	6.114305840075203058e+00	9.109840581122687908e+00	-1.589725983379601360e+00	4.638686919356229232e+00	4.123996569762110376e+00	9.063529414849165633e+00	-1.150022212371267898e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.883545352969510311e+00	9.237621433478361510e+00	1.191923975401164570e+00	-2.431754890069860453e-01	1.611765891694545871e+00	6.006979713353810979e+00	3.669752975863871836e+00	-3.741605991131148556e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.631293909096274586e+00	1.299784806297001660e+00	6.985731898782957749e+00	-1.925648292145484497e+00	8.062700721684134209e+00	2.223565242028274991e+00	3.065671634535457990e+00	-2.068737629633167430e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.506942921925472412e+00	7.276096227761309265e+00	9.670742549086599027e+00	-1.485529274970312397e+00	3.567601708280716544e+00	5.973294836709665212e+00	4.705485951704938330e+00	-8.348096982151339773e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.259605947882365573e+00	3.677860349058638789e+00	6.033918558185230374e+00	-2.679129748585971971e+00	4.898882208816970341e+00	2.169278816913792873e+00	3.163506919673173989e+00	-4.116397678437111907e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626009930211931298e+00	9.315918067095587674e+00	9.438956217445598540e+00	-2.598400240460276400e+00	7.165967986234007547e+00	1.978174910832236622e+00	7.060110592562381271e+00	-4.926307824374381994e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.299221883972791147e+00	9.738212911633668867e+00	1.471016093594487151e+00	-3.413764769830908707e-01	3.989613596681267804e+00	3.142587015611642887e+00	8.437311785059446123e+00	-7.282187958655013915e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.106313683398806980e+00	9.493172019666747730e+00	4.773839480684279657e+00	-9.351134652144198478e-01	1.514848038379986495e+00	6.351970598029121007e+00	7.055178525269904632e+00	-7.857324144841344093e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.056356284167488724e+00	5.274154483794854187e+00	3.348177825911215155e+00	-4.143419133595346859e-01	4.363232137873843897e+00	6.863888515068017782e+00	8.419098440626349600e+00	-1.474507161891601186e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.807971331577355567e+00	8.756745756760093258e+00	7.579254752804300388e+00	-2.709135299492199334e+00	9.497845930638911582e+00	3.398724192805474331e+00	4.573274706037619985e+00	-1.447573876334937815e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.635095316605735150e+00	8.609026495359083597e+00	9.828403662430162058e+00	-1.745692751610730564e+00	6.781741877114550121e+00	2.035634421868994348e+00	2.402885235910642514e+00	-3.283427063942216506e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.329581376223640810e+00	3.880408922389640303e+00	3.314158109269508046e+00	-5.241105837930346567e-01	7.051959651258898454e+00	2.509396983244474022e+00	7.636587709627533194e+00	-9.980512999820089703e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.412087885585436631e+00	8.459788398675630816e+00	6.887575581648896161e+00	-4.857134103164472805e+00	6.694029327940999252e+00	4.724469060187239222e+00	4.248090984211348342e+00	4.711991349227412229e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.469784780843464311e+00	1.327458552638508760e+00	2.786665757876897409e+00	-4.274959988283937307e-01	2.787384735384402568e+00	6.665284560625011068e+00	7.046041589612878298e+00	-9.805472710699112326e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.535186344737078823e+00	6.354824735234937627e+00	6.076080140271290730e+00	-2.400152385848906444e+00	4.762240664495609010e+00	1.885603043826683978e+00	3.439084246209517914e+00	-1.077120806518076002e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.587389330244187491e+00	3.061890368498174197e+00	5.177860457283835594e+00	-3.262325280428126639e+00	7.758890801325203590e+00	4.897004004327444093e+00	1.739320568716421489e+00	3.302053706043032122e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.541006716061771087e+00	2.077459112899164406e+00	9.744521921598371605e+00	-1.021775874295525410e+00	1.914093394911941415e+00	1.075243630149716267e+01	9.930285149408145884e+00	-2.503999353725233163e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.693428232652424370e+00	1.700247451229346840e+00	6.485874449695923971e+00	-6.678833148603154912e-01	3.495327290954023169e+00	9.380097112313205088e+00	2.414933235638489162e+00	-8.225260595591731771e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.283409395633507089e+00	7.267243330218014385e+00	4.148997821210897996e+00	-4.994901099729558425e-01	3.490786055816999855e+00	7.922208415601369680e+00	9.890881679602424370e+00	-1.807910968263490474e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.744598670078639113e+00	4.061042100647052955e+00	2.028186470890545490e+00	-5.394656788721915452e-01	4.888633265757599489e+00	1.708564667110319624e+00	9.790003344494101256e+00	-7.299459135248754649e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.873367970117427284e+00	7.510548392104560378e+00	2.363906694321258328e+00	-1.259425500433067446e+00	9.814030896743027199e+00	5.226854906690530100e+00	8.134776535657318064e+00	-1.665070345911961880e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.165471851163441208e+00	1.581542596175221860e+00	3.022339327532126863e+00	-4.248982623848040485e-01	1.602494292203673121e+00	8.532535458604975531e+00	6.932378436150134604e+00	-1.108239639364218760e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.970251952934555462e+00	3.842548002955914477e+00	3.267663007796920649e+00	-6.549214424481928365e-01	5.665579912224551151e+00	2.355370061736177689e+00	6.197519700673656651e+00	-6.298879942359307194e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.115404014969417101e+00	5.857016999051240624e+00	8.666540173527565116e+00	-4.125340687664834860e+00	2.613887733977349193e+00	1.523255351995079332e+00	8.797778662965850316e+00	-2.498237232293621801e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.450511493155010712e+00	8.115689554107969883e+00	6.053174621488633278e+00	-1.109905778090341411e+00	9.746316285411792180e+00	1.787829859781993269e+00	3.606284151253047021e+00	-4.219064634379777345e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.310811242500834251e+00	3.871914836013095940e+00	5.719299854305652353e+00	-4.362662532987699571e+00	2.021020850696761073e+00	1.541404432865383756e+00	5.202632846198261163e+00	4.511772676406305749e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.172614658491649919e+00	6.642122587965267222e+00	2.029777211975168694e+00	-2.221595828178480059e-01	4.627857606109080812e+00	7.770833504943668757e+00	6.572370560639110515e+00	-1.296558237367307811e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.332013644146306408e+00	8.972570036348759714e+00	8.736855856653500396e+00	-2.627802154922714184e+00	7.642159217375113833e+00	2.292345974514308882e+00	4.698690945723151380e+00	-2.715139740454371520e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.959733530603437579e+00	6.543154605016288983e+00	7.505554702201637340e+00	-1.074910947778033643e+00	7.339083866838767456e+00	2.878325425933944803e+00	4.837704407223951009e+00	-7.671328660553236034e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.815809962947720457e+00	3.097706716655192594e+00	1.611416852852129988e+00	-4.228566778351538491e-01	4.806315768274544986e+00	1.860358781802987638e+00	3.967218844282231593e+00	-3.004346968021109987e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.676419734441787490e+00	1.232914708463660691e+00	7.368340422836752168e+00	-1.297569956273523228e+00	4.121860340852386173e+00	4.565924302090569320e+00	6.073887768311038826e+00	-7.896556400816189125e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.911250129474881376e+00	8.819210824133708826e+00	5.894813328553811793e+00	-9.943278756945980179e-01	4.585057429474751700e+00	4.402725759287159590e+00	8.662979630795559771e+00	-1.108910416976952860e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.661139475024285161e+00	1.195225576040843007e+00	1.737219885953992460e+00	-6.501592615599010028e-01	3.378354898081061819e+00	1.699512722237130902e+00	2.814798222075832523e+00	-1.346573811580381097e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.715569699796118286e+00	8.871676387210108317e+00	5.119193467861833824e+00	-5.255264168211710718e-01	2.856868758650668472e+00	1.004545722975211319e+01	9.413504148705818864e+00	-2.133932299239696988e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.980260592322443003e+00	5.763587249385458300e+00	5.365131174261149383e+00	-6.707318553528294203e-01	5.352272747571156231e+00	5.820788751114446491e+00	7.193625890521276212e+00	-1.304922535451038073e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.444313602484466941e+00	9.447952224098672858e+00	2.496738962045817356e+00	-2.644593718039547903e-01	3.412974164149980894e+00	9.216507641667529782e+00	8.415963734074116687e+00	-1.723631506395376221e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.053600171222184301e+00	8.188776719907203017e+00	9.512230113820676181e+00	-1.051001050120725644e+00	3.599117758364566377e+00	8.636252993779175213e+00	6.012803265153920940e+00	-1.545775948554056072e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.369854050428808812e+00	9.985364677853253212e+00	8.656142861168666158e+00	-1.354419341125727705e+00	6.912574714063844716e+00	2.692277365714315085e+00	8.004765429071520444e+00	-1.109509153579352159e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.295134569316257256e+00	4.173723944273182163e+00	7.014478960474947122e+00	-7.559845126529531889e-01	9.712315147529297477e+00	2.984122271701383333e+00	1.141961756549638052e+00	-3.314248210481165557e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.805326990350065275e+00	7.909189831170428064e+00	5.163243909166658874e+00	-2.872734301527802181e+00	6.441682648899275776e+00	3.577896299672438829e+00	8.368124229248371293e+00	-7.339662788816559313e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.765797697821407386e+00	4.612660298994932795e+00	4.699427987741167101e+00	-1.702083685473900765e+00	1.704062990128489607e+00	3.258598203454823317e+00	1.364759680335787984e+00	-6.907639620479919529e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.402372105807744740e+00	5.316523138889833078e+00	6.852609630958220066e+00	-4.873448491691327433e+00	1.680073741848814972e+00	1.197458278526559949e+00	9.005524664550501157e+00	-1.033130966276139695e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.927804097076609935e+00	6.645026756697413717e+00	5.905403039793426068e+00	-1.506879039958884281e+00	9.560082542055225119e+00	2.439151072925060504e+00	9.926000690340318400e+00	-7.770083287190455223e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.498193122878356043e+00	8.853104587365573153e+00	1.555256221941323735e+00	-3.458820983902305413e-01	3.674683979640592124e+00	3.668670033625019311e+00	3.643353256482182445e+00	-3.337093247908145344e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.444699311464991087e+00	9.854914876853182903e+00	5.609497998046284906e+00	-1.630870523146300766e+00	1.832471981172707265e+00	4.045048457422902644e+00	2.893468451349278325e+00	-1.618194715969451636e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.451239720206135786e+00	7.918537562317717438e+00	8.256450096608144662e+00	-9.752140989508262248e-01	6.398318797819263715e+00	5.324689450645463396e+00	7.894791239091594193e+00	-1.565610497806946455e+02
