G	c	dx1dt	d2x1dt2	d2	d1	Fc	Fg	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.400949257399505044e+00	3.306006703276556991e+00	3.571044097801587380e+00	1.272192706421675545e+01	7.489635221287284317e+00	1.592353932179391363e+00	3.364946313081165385e+01	3.166983707465922393e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.369724630437225699e+00	6.704096187669764007e+00	3.169845135172034922e+00	3.017497978431171290e+01	9.017152736341664365e+00	8.476343147434242109e-01	1.472241071328711257e+02	1.924869743837907654e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.418355698256420716e+00	8.175521455246892444e+00	9.101302074550130072e+00	6.764327188650842970e+01	3.850410507689310702e+00	5.665538469933424359e-01	5.320679681865982502e+02	3.480161129631530459e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.028086839526954677e+00	8.084056800346425931e+00	3.106366497042630126e+00	2.341858571325362703e+01	6.550126665633584366e+00	1.037769004366585701e+00	1.006171428055059778e+02	8.214006129664127576e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.824601336666961338e+00	9.082010432074516970e+00	2.994402428825314821e+00	9.286639054895013956e+00	5.284824267406953879e+00	2.538046398285438432e+00	6.302185116231838080e+00	1.333157930040064887e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.733637651875963748e+00	6.097593352823681201e+00	7.720851436493293640e+00	2.203974689684688215e+01	8.671217489185844229e+00	3.679737826169331427e+00	3.722791114082131259e+01	1.635944636967485710e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.339922483348662485e+00	7.135241616296042366e+00	6.266871859465458883e+00	1.102284212822745246e+01	9.516727416179234567e+00	6.097970142713536212e+00	1.122389133145827067e+01	2.236009644710553523e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.130617508499254242e+00	8.440594676871862490e+00	8.709483394861926797e+00	6.510107541792083907e+01	6.927884181577084188e-01	2.084836254405771083e-02	1.630627910374395015e+03	2.618108430923185015e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.808388051691238729e+00	3.722918838566287469e+00	1.107357816233914161e+00	1.423126514938192244e+01	7.078383869475231016e+00	9.381663310199025441e-01	5.414450459201199806e+01	2.505404500448989324e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.012603589579025076e+00	4.073037970005740860e+00	5.535948395595528204e+00	4.257601554986872117e+01	1.421651907258858483e+00	8.101521607521983137e-02	5.929198823663487019e+02	1.369121172897093675e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.065549361217905222e+00	4.001130529314055551e+00	1.355518749401053658e+00	4.367207314207555147e-01	6.690947855966513202e+00	5.004282283858321634e+00	-1.190147763338612563e+01	3.652997394417200727e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.659983078840385318e+00	9.826405948463497353e+00	1.485309349198805640e+00	1.626411325431956811e+01	4.592234853647203963e+00	1.905072594278048870e-01	1.045021678651641253e+02	1.943264586983098896e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.900271432953369199e+00	1.000617164368906842e+01	8.604238256514916472e+00	7.739823422883748094e+01	4.397177113837701157e+00	4.558767688566801035e-01	6.123894479124737700e+02	4.385009915910189626e-01
