G c dx1dt d2x1dt2 d2 d1 Fg Fc m1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 1.03075370e+00 7.05432695e+00 -1.61394445e+00 -3.73874726e+00 2.32891373e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.90012276e-01 8.17013257e+00 -8.54935749e-01 -2.47419033e+00 2.62511562e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 2.59074509e+00 3.25421109e+00 -4.28865903e-01 -9.38613409e-01 2.96500772e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 9.38512185e-01 6.62386690e+00 -1.03693539e+00 -1.43378789e+00 2.13481680e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 1.22038386e+00 6.14571385e+00 -2.55627496e+00 -9.38182000e-01 1.98900454e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 2.77340743e+00 8.49547339e+00 -3.53396326e+00 -1.45735804e+00 6.24814144e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 2.09062098e+00 9.15478354e+00 -6.01199702e+00 -1.40653720e+00 3.79562166e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 2.22471255e+00 1.10941094e+00 -1.26132702e-01 -8.06817936e-01 8.83272828e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 4.59019514e-01 7.06617927e+00 -1.10236202e+00 -3.49229868e+00 1.11442405e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.52974216e+00 1.46652219e+00 -1.98913763e-01 -1.18072735e+00 7.86055562e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 6.00363973e-01 5.93972799e+00 -5.01132725e+00 -2.25013722e+00 5.19826655e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 4.31154940e-01 3.58869456e+00 -3.68858564e-01 -1.01878937e+00 5.59593726e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 2.55908962e+00 3.76098940e+00 -4.42887021e-01 -9.92184291e-01 3.43094387e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 7.56806731e-01 4.17662653e+00 -1.43474817e+00 -4.51516192e+00 9.03780813e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 1.99715491e+00 6.59163204e+00 -2.50021631e+00 -1.13592489e+00 3.62833493e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 1.61824101e+00 4.00644969e+00 -1.51150243e+00 -6.18998396e-01 1.79069679e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 1.30746490e+00 7.59429146e+00 -2.03154773e+00 -3.84218181e+00 3.06241760e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 2.67209163e+00 4.64074647e+00 -8.10921241e-01 -1.38361154e+00 4.18451972e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 3.60300050e-01 1.61517880e+00 -3.30471017e-01 -5.27471306e-01 1.90805513e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 2.22502274e+00 8.05383858e+00 -2.22416462e+00 -8.01820711e+00 5.48016580e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 2.78920008e+00 3.57182492e+00 -5.48947710e-01 -1.08696516e+00 3.43061952e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 2.18003721e+00 4.89490192e+00 -2.17026018e+00 -1.74055664e+00 2.74749161e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 3.00752109e+00 7.16899495e+00 -1.97530965e+00 -1.02886012e+00 6.59767796e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 4.53118576e-01 3.99210541e+00 -9.28989305e-01 -7.04032661e-01 5.77172002e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.42585430e+00 1.50927091e+00 -2.95667061e-01 -5.17177451e-01 7.11533664e+00
