G	c	dx1dt	d2x1dt2	d2	d1	Fg	Fc	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.400949257399505044e+00	3.306006703276556991e+00	3.571044097801587380e+00	9.178372852145912919e-01	7.489635221287284317e+00	-1.635534967820608587e+00	-3.888462416541818456e+00	2.192123848761456273e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.369724630437225699e+00	6.704096187669764007e+00	3.169845135172034922e+00	8.537898161992961699e-01	9.017152736341664365e+00	-8.622371832565758343e-01	-2.551105849302746531e+00	3.257530827070927160e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.418355698256420716e+00	8.175521455246892444e+00	9.101302074550130072e+00	2.484199889574374431e+00	3.850410507689310702e+00	-2.911779590066576051e-01	-1.181457752822384411e+00	2.854777111793355715e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.028086839526954677e+00	8.084056800346425931e+00	3.106366497042630126e+00	1.094418525623756855e+00	6.550126665633584366e+00	-1.036101775633414324e+00	-1.278202026066214803e+00	1.829486800584391659e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.824601336666961338e+00	9.082010432074516970e+00	2.994402428825314821e+00	1.278365925334297160e+00	5.284824267406953879e+00	-2.574503521714561760e+00	-1.086316643130081028e+00	2.443165783729914864e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.733637651875963748e+00	6.097593352823681201e+00	7.720851436493293640e+00	2.959629217576392968e+00	8.671217489185844229e+00	-3.388188693830668896e+00	-1.465387341255384390e+00	6.085434785688378412e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.339922483348662485e+00	7.135241616296042366e+00	6.266871859465458883e+00	2.284435883841101855e+00	9.516727416179234567e+00	-5.926023897286463615e+00	-1.411006048364299881e+00	4.020478440505681306e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.130617508499254242e+00	8.440594676871862490e+00	8.709483394861926797e+00	1.923861504610746564e+00	6.927884181577084188e-01	-2.314170414559423294e-01	-7.647576476035462534e-01	1.076380239746514889e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.808388051691238729e+00	3.722918838566287469e+00	1.107357816233914161e+00	6.942942992824416848e-01	7.078383869475231016e+00	-1.266557708980097230e+00	-3.340693688637597081e+00	1.097679937574160292e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.012603589579025076e+00	4.073037970005740860e+00	5.535948395595528204e+00	1.695361463100857113e+00	1.421651907258858483e+00	-3.168123099247801555e-01	-1.236366162263735857e+00	5.078554808294755141e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.065549361217905222e+00	4.001130529314055551e+00	1.355518749401053658e+00	5.360530268608649784e-01	6.690947855966513202e+00	-5.018372216141678166e+00	-2.420024736907813168e+00	5.060501506115221204e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.659983078840385318e+00	9.826405948463497353e+00	1.485309349198805640e+00	4.920812339541490998e-01	4.592234853647203963e+00	-5.472098685721951128e-01	-1.444877403579932995e+00	2.251060209976969873e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.900271432953369199e+00	1.000617164368906842e+01	8.604238256514916472e+00	2.537549069730235196e+00	4.397177113837701157e+00	-4.298972731433198802e-01	-9.686681805660201094e-01	3.424162466707064567e+01
