G	c	dx1dt	d2x1dt2	d2	d1	Fc	W	Fg	m1
1.000000000000000000e+00	1.000000000000000000e+00	3.770303226001511021e+00	1.886414350520112748e+00	3.960138688517849115e+00	2.218801763011830186e+00	6.862684410558811621e+00	9.580246640389308510e+00	-4.085842263423684173e+00	-4.078205179769776834e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.858023185021178136e+00	4.761902092182081603e+00	4.478139504944673277e+00	2.898482506468533337e+00	7.638864094004073735e+00	1.216238402986644473e+01	-2.266105457062038031e+00	-4.806796349304186577e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.696173118336131047e+00	9.787409779592547210e+00	9.290426540598710758e+00	9.091720927272321617e+00	3.731522535176957867e+00	3.116205016753356460e+01	-7.865574298873677428e+00	-2.940896134325924649e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.667421460999943150e+00	7.857023641193938701e+00	2.853098704982298006e+00	1.903540669491920578e+00	6.935946172467840398e+00	1.022221037401810761e+01	-3.433598409441634303e+00	-2.418945520732328447e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.288589707914330251e+00	8.562739015088055794e+00	3.021297504902629605e+00	3.552575376905551252e+00	6.196781138928958654e+00	1.285292868477204387e+01	-3.254957379337143131e+00	-2.401896706628539135e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.029792051480647341e+00	7.760255629680449907e+00	8.368091623434091630e+00	6.957275422628959483e+00	9.103874795714286705e+00	2.793700136747741425e+01	-3.249229427544643833e+00	-1.339341911738283670e+02
1.000000000000000000e+00	1.000000000000000000e+00	-7.139891099371475924e-02	6.308841124378206544e+00	4.495460767689830384e+00	4.759804875285989390e+00	9.801624549525953967e+00	1.725794970014993268e+01	-3.376340870137378491e+00	-9.965489806489834734e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.477442600386304150e+00	8.442665755057591426e+00	8.335175790936764528e+00	7.427134477850894534e+00	1.064603584027736138e+00	7.224534485029572295e+01	-2.573880136878485203e+01	-5.901463223782599243e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.548144623800649100e+00	3.115287993956338486e+00	1.750974044609248104e+00	6.945563821469121768e-01	8.134293714540936193e+00	1.419490820426792865e+00	-2.191245724269792028e+00	-2.119885055174376731e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.404889766423816688e+00	5.819005198051744543e+00	5.489565971216345375e+00	5.870633727933851631e+00	2.323139257602876651e+00	3.498509713644506292e+01	-1.816138166104403950e+01	2.354903323116076308e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.159056240683215222e+00	2.604400181170460460e+00	4.338955211008840296e-01	7.945045039047297086e-01	4.866218640193078926e+00	1.154634706102524389e+00	-2.804101258583583167e+00	-1.742699370129480840e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.759474673006527823e+00	9.218660171922209656e+00	1.366149212419952796e+00	1.816944450243075826e+00	3.031399015312405965e+00	3.022151831149146872e+00	-6.700174194825079255e+00	-2.558349595122785480e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.469913159477178155e+00	8.821174272996451293e+00	8.350220712486189356e+00	9.023299479649317334e+00	2.540872106120908303e+00	3.252019342654050149e+01	-7.188249517667380850e+00	-2.122711589830642609e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.709069775721240525e+00	1.996202569357877765e+00	1.927360851472272429e+00	1.089060237323109748e+00	4.000955081544882219e+00	3.352450396592583814e+00	-3.190349372306920284e+00	-3.215665092551670057e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.847433536346823502e+00	6.935852696868055389e+00	6.299816143735136542e+00	5.729741417328731323e+00	5.936360621225726497e+00	1.945787390149792273e+01	-3.158954054016362978e+00	-5.535059186786054397e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.610183443198978104e+00	9.019215835624928346e+00	5.381779498847936161e+00	4.613496925893919354e+00	3.565901840549715818e+00	1.055884357255933637e+01	-6.048968769568316972e+00	-1.274367741841986046e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.290364157910190102e+00	2.979220340374466591e+00	4.244602371936717411e+00	3.921444718249566197e+00	8.184290964478552866e+00	1.359213945326319362e+01	-2.745920817571703587e+00	-6.808188044696132124e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.705688468593367979e+00	5.721504055873652739e+00	8.782571772422599565e+00	8.850014431787975866e+00	3.691380509933686049e+00	2.706900136473820240e+01	-5.534677541548068014e+00	-4.034891159324847365e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.758530958521291154e+00	8.288054252020263135e+00	2.076105368181600852e+00	2.130012491052554857e+00	1.685366090126838134e+00	2.431602797541264849e+00	-1.389918775863338851e+01	-5.132535279626575964e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.550822975728652242e+00	4.229438439740181854e-01	6.650839211604239409e+00	5.925558251192228454e+00	8.120747777737317818e+00	2.504859820974123963e+01	-2.013784097227748315e+00	-1.146219146015339732e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.777871650092254896e+00	7.245084575401373073e+00	9.041459853193178020e+00	8.822196741505242912e+00	3.527252153984870908e+00	3.461953269852264725e+01	-6.415934734020103392e+00	-2.719934284121196200e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.064674459587369171e+00	3.953644269202613692e+00	6.427315993350791068e+00	5.408611204049196708e+00	4.965653443223963848e+00	1.856643210829734869e+01	-4.759675125346894298e+00	-3.680816503447886845e+01
