G	c	dx1dt	d2x1dt2	dx2dt	Fc	m1	Fg	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	1.239370583373471391e+01	4.539877103092379684e+00	-1.144892773882373227e+01	-4.773509685158638938e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	9.816421081719752806e+00	5.257968064005016373e+00	-7.762170761173704747e+00	-6.134185869810719005e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	3.424743780573342278e+00	8.685525872437979800e+00	-8.653082860142692567e+00	-1.307878559062483070e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	1.044497071013546297e+01	4.042305032873931836e+00	-1.072273138051169461e+01	-1.712279102733978320e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	9.008740005696227016e+00	8.835122024870853963e+00	-2.585835468572889084e+01	-7.040988571874535751e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	1.325321241060084887e+01	1.787722215460613606e+00	-4.741206674274580202e+00	-1.316373935036765985e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	1.304701074994631504e+01	7.988923319095138531e+00	-2.348948607958703150e+01	-1.900944546283478642e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	1.143880352828117841e+00	8.619946899114850680e+00	1.017273435517486213e+01	5.686844071276146551e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	1.017203368375908568e+01	2.641691065202905531e+00	-3.427006303972549350e+00	-7.162389073238196069e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	1.778685156076619922e+00	4.873905667023544552e+00	-8.392759611753687565e+00	-1.739152414567927796e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	1.312768540130596406e+00	-1.157593166951341246e+01	2.484964380966560693e+00	-7.604047629267298269e+00	6.833277055497168906e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	4.532014761450971818e+00	3.902891247344713932e+00	7.357285317592912932e+00	-1.078977881600197719e+01	-1.076482469946650866e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	7.285646265236402463e+00	3.981983385763469663e+00	5.827336707800848004e+00	-1.914801710948537794e+00	-5.493618008968180533e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	2.737138973480741200e+00	-3.348523372047760205e+01	6.717509796532821653e+00	-2.038591879406150298e+01	3.642356938037176750e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	6.599313812512714428e+00	6.772999369976015593e+00	7.596607796836692295e+00	2.767385677027430990e+00	-5.950487509994855095e+00	-1.134606584955790609e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	4.008037714705738885e+00	3.336969344863224052e+00	4.589070246637369621e+00	2.900548171339344172e+00	-6.822805875393431307e+00	-3.994411396940744652e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	7.598242246203957606e+00	8.964128413732796119e+00	1.120122578942178393e+01	1.363081916021086526e+00	-1.123714098023216534e+00	-7.274625691465024602e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	4.648281460333716808e+00	9.059518784780649980e+00	5.074175357854830537e+00	3.897729818965346205e+00	-1.474723312023434874e+00	-9.257001475094452303e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	1.615297292406683072e+00	3.680383939834062534e+00	1.692068550429964846e+00	6.039487620044583061e+00	-7.513400644333319001e+00	-9.532517744118960135e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	8.055554360207063169e+00	3.072888353071217438e+00	-7.976822354158927375e+00	8.727446748739231097e+00	-2.754297384653512282e+01	1.203745983957497323e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.505399196849892540e+00	7.284520605866596554e+00	9.669089179732344164e+00	3.576209901550470693e+00	4.705107863771348597e+00	3.979825419354793503e+00	6.990011372377046506e+00	-1.334542757448132555e+01	-5.736827807741267549e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.253242561337372329e+00	3.668597595783949394e+00	6.043533249188643985e+00	4.890977974818873086e+00	3.162738892145307013e+00	8.452796793072064219e+00	4.912394428579615280e+00	-1.391358989292071335e+01	-3.554185165444700090e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626407571668317065e+00	9.318476576044735893e+00	9.420681499173436890e+00	7.169287551943595460e+00	7.047880862536102242e+00	8.043264046764734942e+00	9.574894979609986478e+00	-2.555983681560320164e+01	-4.421023689555235947e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.298853066658552713e+00	9.733725890825573046e+00	1.457152292835720786e+00	3.992785051634235138e+00	8.441495729520559266e+00	4.204148441895858568e+00	7.473187713436773016e+00	-1.376923796080813567e+01	-1.427731390850594861e+00
