G c dx1dt d2x1dt2 dx2dt d1 d2 m1 Fc Fg W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 6.71458856e+00 7.05432695e+00 -4.54684329e+01 6.14796290e+00 9.58778969e+00 -7.34255200e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 2.03257097e+00 8.17013257e+00 -1.84518991e+01 8.24889096e+00 1.05818832e+01 -6.98179040e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.26772407e+00 3.25421109e+00 -3.93104418e+01 7.84144837e+00 3.78060775e+01 -3.75182364e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 1.82057027e+00 6.62386690e+00 -2.42562196e+01 2.38509914e+00 1.96733735e+00 -3.15977218e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 7.12677350e+00 6.14571385e+00 -1.94873358e+02 2.34324523e+00 7.65279926e-01 -7.28606923e-01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 1.60342435e+01 8.49547339e+00 -6.59573839e+02 3.41356931e+00 2.18433346e+00 -1.29475112e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 -5.77875147e+00 9.15478354e+00 2.85837179e+02 4.24967254e+00 9.86936028e-01 -5.09024621e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 2.84249471e+00 1.10941094e+00 -9.57847257e+00 4.67610023e+00 6.85491163e+01 -4.60809349e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 2.76492458e+00 7.06617927e+00 -1.13959614e+01 7.11727495e+00 6.31636000e+00 -7.31272886e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 3.49772286e+00 1.46652219e+00 -8.79654203e+00 1.51012389e+00 1.51368344e+01 -6.55084625e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 -2.72630456e+00 5.93972799e+00 3.03611666e+01 1.31205434e+00 2.28041843e-01 -3.40931318e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 7.79994233e-01 3.58869456e+00 -3.37597302e+00 4.52719507e+00 3.88194632e+00 -3.55726680e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 2.93609259e+00 3.76098940e+00 -4.07479045e+01 7.27447323e+00 3.16789747e+01 -3.90540085e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 1.77031700e+01 4.17662653e+00 -4.03568870e+01 2.74091809e+00 6.35423532e+00 -1.14957170e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 8.21929353e+00 6.59163204e+00 -2.44439905e+02 6.77354033e+00 4.26955762e+00 -1.30283048e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 5.41587569e+00 4.00644969e+00 -1.15344247e+02 3.33845324e+00 2.22586332e+00 -1.02745786e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 9.21814061e+00 7.59429146e+00 -8.11943608e+01 8.97477498e+00 1.38869366e+01 -6.22997753e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 5.33168677e+00 4.64074647e+00 -7.43310397e+01 9.06120950e+00 3.32704731e+01 -4.07118731e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 9.87954530e-01 1.61517880e+00 -2.95156078e+00 3.67558484e+00 2.88044636e+00 -1.71925844e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 2.89987165e+01 8.05383858e+00 -1.71025450e+02 3.06994379e+00 1.47468967e+01 -1.25156747e+01
