G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	6.764994946750809035e+00	7.046510438920880581e+00	-4.551473373886904739e+01	6.158977576974193902e+00	9.602761856650650074e+00	-7.337674845675764779e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	2.069806342230690266e+00	8.172540729210112431e+00	-1.834123615558049991e+01	8.258865286458794586e+00	1.057432724153044390e+01	-6.978943342874429412e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	3.198155141054887629e+00	3.256439049751909121e+00	-3.962516860489731130e+01	7.840397210543536666e+00	3.782605278126038684e+01	-3.739323576021789552e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	1.862568706032234900e+00	6.618770731215303904e+00	-2.430310762836301919e+01	2.375392051991081832e+00	1.993676576040126935e+00	-3.159500169314246154e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	7.055485822326673429e+00	6.151782065343351036e+00	-1.949367690757357821e+02	2.330482818078352558e+00	7.512430788587717290e-01	-7.250307989949895671e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	1.606906756841270578e+01	8.499834268303112950e+00	-6.595149626276958088e+02	3.410224676123519316e+00	2.201598792643291169e+00	-1.303739484473305454e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	-5.793012138590222015e+00	9.160066038077991024e+00	2.859431793477006067e+02	4.248593643255595964e+00	9.704934480198231794e-01	-5.141352290737841724e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	2.869735102240007940e+00	1.109458890075406545e+00	-9.400140063472932184e+00	4.683184668801013473e+00	6.859771999592274483e+01	-4.615532529672385031e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	2.713259534490691127e+00	7.058516506795751155e+00	-1.132026069089091536e+01	7.122001841128161814e+00	6.301277813142892370e+00	-7.304836072207485209e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	3.543134323144822240e+00	1.471815779731958429e+00	-9.182222264396697753e+00	1.511362553618170068e+00	1.515916716006317344e+01	-6.566659163901968022e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	-2.783108253026520984e+00	5.938264368110973024e+00	3.006221932139999353e+01	1.307207401890828846e+00	2.464069057027278575e-01	-3.434236171893589873e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	7.540752144919119493e-01	3.581171158319891745e+00	-3.550030341610629581e+00	4.521961753799867090e+00	3.888825961254984254e+00	-3.575812727560883975e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	2.897391949597866390e+00	3.768308496684009690e+00	-4.083781181411866612e+01	7.275857450272216198e+00	3.166438034971547921e+01	-3.910550654953546701e+00
