G	c	dx1dt	d2x1dt2	dx2dt	Fc	Fg	d1	m1	W	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.256723838941596227e+00	2.994950062148534986e+00	3.417243199832698419e+00	7.128941689480967625e+00	5.950490186326322828e+01	1.197956866040813395e+01	6.176824173942686791e+00	4.235768181809664412e+00	6.152210475888490038e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.541700703518724680e+00	5.937060428596975470e+00	3.098064941807734396e+00	8.287595259850260021e+00	1.539267626525724495e+02	1.063070405219881209e+01	8.226550284852839567e+00	4.690539751153432135e+00	6.205921740214623696e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.365882421722969475e+00	9.061127772255176183e+00	9.783433349891586417e+00	3.323296033999824761e+00	5.067293808597896998e+01	1.540363310053611734e+01	8.190231576097689370e+00	5.589535449644031040e+00	2.629677019264240698e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.904339526759135204e+00	7.921042526421287810e+00	2.790862770531892689e+00	6.703533663737334614e+00	8.414846066101064537e+01	7.279157873765320197e+00	2.604421036763756359e+00	1.369666506686439966e+00	2.816681959262792816e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.614958841768991515e+00	8.222412197703784287e+00	3.716896815110960706e+00	6.102722890087723506e+00	3.050386703129961674e+01	1.920771513049187362e+00	1.953532179127641433e+00	1.475880325384168579e+00	3.344133385021235938e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.396986717555205981e+00	6.928821323607067484e+00	7.803810516646141338e+00	8.427339471972501883e+00	3.650974518690103565e+01	5.625673209494556737e+00	3.831450169529425409e+00	2.300340845524641686e+00	3.474250458938404051e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.535628235335769531e+00	6.792795778723885292e+00	5.264396384954900476e+00	9.632019932063203171e+00	2.761142222823569981e+01	2.256455981659714283e+00	3.503054744448327984e+00	2.946905879059174005e+00	2.994822294615659786e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.528549124260562664e+00	8.987547936518316405e+00	8.020475233010506244e+00	1.238662833054799073e+00	2.251343777370370347e+01	1.616684617882685870e+01	5.261926114862371051e+00	3.589126718009779893e+00	3.156396960105945482e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.359834989199528721e+00	3.206485213674664880e+00	1.071401178909737295e+00	6.911003531007877676e+00	8.733289077678080048e+01	6.604407709907261115e+00	7.039028041768971455e+00	2.942897831378983309e+00	7.211631897866897134e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.669408420625745570e+00	5.125072885471559481e+00	5.414495711861305516e+00	1.391433954643778614e+00	2.167241028537907610e+01	1.407188759906310160e+01	1.458495610717440050e+00	8.091535641889592290e-01	2.509575584693427004e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.185482716421350391e+00	3.196644550074780433e+00	1.395163524992113047e+00	6.225624167975436940e+00	8.683412487729354368e+00	1.475634665024410985e+00	1.295709073648499077e+00	4.532120269224321207e-01	7.670886022267200133e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.737086245789555505e+00	9.282688956793842650e+00	9.587098805874537666e-01	3.389431807589735612e+00	6.603133211050119655e+01	1.770610916509991029e+00	4.632104766233770654e+00	-1.375973837477223016e+00	-3.108448915477077662e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.548144128093376537e+00	9.377128092010581284e+00	9.694654942277324494e+00	3.359850788043372116e+00	6.622678176302184738e+01	1.541383859211314800e+01	7.274401547820573910e+00	5.115910213865312528e+00	3.674495532322115992e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.576467895190656776e+00	1.607495089424989976e+00	2.339127334503075861e+00	3.795403331400760472e+00	2.341674942771632928e+01	1.103927830417845257e+01	2.704588257793894002e+00	2.023919522368865298e+00	2.701566003036120733e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.805537831979848296e+00	7.228420808194019109e+00	5.977310246840620955e+00	6.123652338348605007e+00	4.005884019453887390e+01	3.221453977229303156e+00	7.130020822024498273e+00	5.016239142612912261e+00	6.202658545818468383e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.310964588553119814e+00	9.127539278653173938e+00	4.378078062849082741e+00	3.654901067914756219e+00	2.249770796439868548e+01	1.214834647108582466e+00	3.492491859030306678e+00	1.987663532349682738e+00	3.827610531446187281e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.483905697588538963e+00	2.509421412451001476e+00	4.316757405061971475e+00	7.274667926774416316e+00	5.832167126075226093e+01	1.083583320193001853e+01	8.713647247797069895e+00	6.264436744035166704e+00	4.765790639758274949e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.438874154191892352e+00	5.552429593118671569e+00	9.399293308575694894e+00	5.015686969766795400e+00	4.998368251188399114e+01	1.833265006701036626e+01	9.262930111228962815e+00	6.556690233879780116e+00	1.440526059346952081e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.840086586979965411e+00	9.438410577462455819e+00	1.266416339805974900e+00	1.602679529240932599e+00	1.466774869325741548e+01	-6.572818692283433073e-02	3.818324017099737677e+00	-3.264247744489945369e+00	-5.167179062064884647e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.525683113382248823e+00	1.271332100470759174e+00	6.971519855975433444e+00	7.955514484133121123e+00	5.619496074450099599e+01	3.797747408529961888e+01	2.921439911191220151e+00	2.598216023062838165e+00	7.862634955897469524e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.506344535708175059e+00	7.201033199050121958e+00	9.423845797925737955e+00	3.181138079473649238e+00	4.338102376088392020e+01	1.621066637339992411e+01	4.917472587022311714e+00	3.348020327103468308e+00	1.946968431960369799e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.010468447865703112e+00	3.601408802136394804e+00	5.981822687027420038e+00	4.856162073827998249e+00	2.401226329016967753e+01	7.209671996214227718e+00	3.121869782509028912e+00	2.230451070570976579e+00	2.167578006933380053e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.901404407568087596e+00	9.323482165586868931e+00	9.290039732331758060e+00	6.698754497622830151e+00	5.455259871074790823e+01	7.021709983639969010e+00	6.991082397291653372e+00	5.368359802407482562e+00	6.923018357689240077e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.522957334985918010e+00	9.921282903180628665e+00	1.628238939460558976e+00	3.892115718078946518e+00	3.547109342623222972e+01	9.402247704862446431e-01	8.366791320847104529e+00	-3.079554385207202483e+00	-4.718845817521850563e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.057593238167235050e+00	9.483916520579789733e+00	4.534503934676647141e+00	2.068065070256274840e+00	1.299889722717099261e+01	6.505317845801537047e+00	6.396537552058980225e+00	4.717847709217698693e+00	1.350455730570553214e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.937130226205812988e+00	4.889178140619494961e+00	3.497310346155884098e+00	4.544960319162104412e+00	7.138835539878591874e+01	9.342178325294309360e+00	8.275708838645121190e+00	5.173007445640141810e+00	3.836649503128073206e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.640280951809191645e+00	8.918468150937700401e+00	7.345759383986386837e+00	9.443251429675031616e+00	4.757860962263434601e+01	4.763872816831414170e+00	4.767160334787510223e+00	3.168550882303723171e+00	4.912437128787991725e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.544179922921322223e+00	8.739625632076295503e+00	9.759242840830820498e+00	6.964569838626649911e+00	8.011765385488365609e+01	1.311850634120459524e+01	2.400749096372963187e+00	1.581462681037485662e+00	1.502542416079961924e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.952803128716993797e+00	3.929073195059131329e+00	3.478849684519082608e+00	6.902146888694874249e+00	8.541515618346562633e+01	1.009330200209686623e+01	7.291541353539590098e+00	5.186648339001662222e+00	2.438530395298967051e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.158369146345948009e+00	8.759326012783189341e+00	6.693265398038757752e+00	6.473820918971901150e+00	1.571459884700948351e+01	2.670480474780812408e+00	4.506985359637131872e+00	3.194466732060411207e+00	1.783886789466015088e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.700665536067627492e+00	1.341518775412845255e+00	2.962480480146183925e+00	3.252183923293031853e+00	3.643841886233133209e+01	2.670735542187609468e+01	6.960114454355339930e+00	4.879916854215197830e+00	1.976617123745076583e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.616392231432020044e+00	6.675566823797496774e+00	6.240644341977053422e+00	4.455826702714094090e+00	2.474997422296154070e+01	5.125847309758249537e+00	3.103102577132532236e+00	2.369700437459634657e+00	5.779346228617124837e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.027724263805245730e+00	3.461506244031673063e+00	5.100587619922216653e+00	7.662608630179096991e+00	2.438982207074784370e+01	5.265146981327632147e+00	2.331868457616673052e+00	1.196251919872673763e+00	-2.589198689883357574e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.459003010099502617e+00	2.247076833767452708e+00	1.006879606985400954e+01	1.995189732573760644e+00	3.325721195271803055e+01	8.767680600403836877e+01	9.646407347242099917e+00	7.142253000522213569e+00	2.654197396132220206e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.592857235728482479e+00	1.484535248673581886e+00	6.498220351563767316e+00	3.247265617696502460e+00	7.114589624533871870e+01	7.513443326450456539e+01	2.645340792160037147e+00	1.669829656075089375e+00	3.527648993096144068e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.165192379389633714e+00	7.230219913927847131e+00	4.449876693749621026e+00	3.662970423527649899e+00	5.280570617012701717e+01	1.098086235766508878e+01	9.686268258575852386e+00	6.502318791968252576e+00	3.691052821161264319e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.655153080070339122e+00	4.403472123246043424e+00	2.522006477769043187e+00	4.805184786668141861e+00	3.226216084653828631e+01	3.605433672749849716e+00	9.832511474588399025e+00	4.783893515524059836e+00	1.298715965978352358e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.700455278415621274e+00	7.106324086540091400e+00	2.294602452156535577e+00	1.000301846274503248e+01	3.660567933395016382e+01	5.123087478506156422e-01	7.898656304667798445e+00	3.376168879625582431e+00	3.725257403925523647e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.231430837390201205e+00	1.479182104926108909e+00	3.205913203877393869e+00	1.766130538048285237e+00	1.933474191238713757e+01	2.841233136378497548e+01	6.597285394424798888e+00	4.686725204993784644e+00	1.959795420249292874e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.969248450198977096e+00	3.742214699964207636e+00	3.082678554324346454e+00	5.602533155145246191e+00	5.980297286582770511e+01	9.830579892112549345e+00	6.342483952784831125e+00	4.066460157135340481e+00	1.355126878887745931e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.960353368135464347e+00	5.614756563836769132e+00	8.370402456519478562e+00	3.077304021356614072e+00	7.542770972417416786e+00	6.078159321753418887e+00	8.905293734248505899e+00	6.332158535415595146e+00	1.407451201153868681e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.795172414857467480e+00	8.359306557310670627e+00	5.997042084138278106e+00	9.556003285453364526e+00	1.107826179704215832e+02	7.973480900114224390e+00	3.916697984499252883e+00	2.304024914778915800e+00	1.406922461791671992e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.822741329126777998e+00	3.973586576390850222e+00	5.334328003687859976e+00	2.384828653168634904e+00	8.301826466501854185e+00	3.806396062349970855e+00	5.199767080843503919e+00	3.881685111063273741e+00	1.307418526193935193e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.499577434274744547e+00	6.435235970870122557e+00	1.774062678215061917e+00	4.950426757370181008e+00	8.868097209091119737e+01	4.385116616511181675e+00	7.179216747459190806e+00	2.431424793016473629e+00	1.371142390529495742e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.480056810396012335e+00	9.142227864088591005e+00	8.904541475993918098e+00	8.120287371608919003e+00	5.636524799132069319e+01	6.269176940728097946e+00	4.773797795875135641e+00	3.228866180238121331e+00	4.157406172484837725e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.168847216504430797e+00	6.498703980688568471e+00	7.363519186270297112e+00	7.388101384340173716e+00	1.024625979181106885e+02	1.724841854204126790e+01	5.001737698075043426e+00	3.459401227781745192e+00	2.207019350445286250e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.307774398879715250e+00	2.849020717225085875e+00	1.805175819989067065e+00	4.591112204134335073e+00	3.361881059109957448e+01	3.829231046097813174e+00	3.602597343591994239e+00	1.798772204273155539e+00	2.502905633493712685e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.886366343014567626e+00	1.021303222464656768e+00	7.453178299357279712e+00	4.680841490395120985e+00	4.649392511835841191e+01	6.788706157413675157e+01	5.910842086370529991e+00	4.227488390671727103e+00	1.206951943348738610e+02
