G	c	dx1dt	d2x1dt2	dx2dt	Fc	W	d1	Fg	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.580469866391284839e+00	2.721625477773165436e+00	3.093289846347807792e+00	7.010264325491320392e+00	6.397203344679464720e+00	4.599062964666683406e+00	5.666900431790791615e+00	1.048183744183771360e+01	4.284866001876586616e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.588347898455239715e+00	5.892626849651580123e+00	3.285017546173973901e+00	8.120793251110955069e+00	8.207793719082296491e+00	5.478383559747496356e+00	6.632106269128571263e+00	5.411829561992625770e+00	2.759876571691459279e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.536679337700704195e+00	9.152460123667857772e+00	9.372679070244213761e+00	3.276676882791895729e+00	7.760468174716275591e+00	8.530116834020182282e+00	2.285234771222237171e+00	1.856768511307170577e+00	8.738839971500688142e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.314816861448338869e+00	7.474600770823538909e+00	3.419750645992614579e+00	6.926530035670254826e+00	2.322595580637288659e+00	4.092678518661818643e+00	5.946599552459641558e+00	9.563176998427390885e+00	1.961410552626457748e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.231498052246176478e+00	7.708060406769464024e+00	3.124479276933497918e+00	5.903540274914068853e+00	2.093032424096289201e+00	8.786945733980596529e+00	5.558709847912831847e+00	1.723867970517686743e+01	2.437855036892600524e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.754450774949904091e+00	6.827836803827810108e+00	7.875130733296354713e+00	8.888172455988685883e+00	3.807631464496440188e+00	2.249212052240117110e+00	6.659101691334645245e+00	5.044943133115326717e+00	-1.065212506893657096e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526165737831344238e+00	6.778084698864883961e+00	4.860664391936308171e+00	9.268795246074098770e+00	4.560047462763908932e+00	8.224773264579217980e+00	8.239305314072868924e+00	2.023966430120699656e+01	-1.446970350066073996e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.452114355688072678e+00	8.758383256567093156e+00	8.269528303543550507e+00	1.117173908670420213e+00	4.345734715837354933e+00	8.795026676202386540e+00	5.736348261485708644e-01	3.187218848933143223e-01	2.616127498582402566e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.306129547529747192e+00	2.781404336045111059e+00	1.543759787834284358e+00	7.394565135449347792e+00	7.336228132306327865e+00	2.165454303970055783e+00	4.007816249219517069e+00	3.567128704469283207e+00	1.139679515520215958e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.407383723470233328e+00	5.129901562224316258e+00	4.968629582173926806e+00	1.146574900633618777e+00	1.007641566789313714e+00	4.920529627747764145e+00	1.166702894489023423e+00	1.423712387748343522e+00	1.451063911392316275e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.428220429349306819e+00	2.890098828815205412e+00	1.241838702659415095e+00	6.081029413959542218e+00	1.580395296112547143e+00	2.446976388204477271e+00	5.411472308974633272e+00	2.021558393442207091e+01	1.450875472304494318e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.565569232860399396e+00	1.031847395395713995e+01	1.690455118273161306e+00	3.705165921187339340e+00	4.337545838525467268e+00	7.314544538362024895e+00	3.053955370277452896e+00	1.812108493918346275e+00	6.148928080475354330e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.346453125891429181e+00	9.198101319371485118e+00	9.225302902654842541e+00	3.507790926932223829e+00	7.372491209398683409e+00	5.389271492231855198e+00	2.682594188521121747e+00	8.402954352121376758e-01	2.513762750408475632e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.917393095608926679e+00	1.358291842663839732e+00	2.111910377781094805e+00	4.301306884843443257e+00	2.215421152126028304e+00	6.419525375087761887e+00	3.977485215597805546e+00	2.880630677677640250e+01	6.128977985700930775e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.872786949814296165e+00	7.511501551345888039e+00	5.630202354421752098e+00	6.668313904860945662e+00	6.447076354940636023e+00	2.749724889540758888e+00	3.823883898901824452e+00	1.927802742618770715e+00	9.267166028669368005e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.280234466784369030e+00	9.740037859737959991e+00	4.427227661189468755e+00	3.958070862724288652e+00	3.466103272232030630e+00	3.211390601593300698e+00	2.845917525734041220e+00	1.126694583350701162e+00	-4.858847290550917464e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.874936960368039252e+00	2.841527777130658183e+00	4.017106447647138978e+00	7.827829227698082093e+00	8.783884462012526484e+00	1.211489713883772135e+00	1.460865850256699794e+00	5.465146239943516893e-01	3.353259447733147880e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.597225390047014137e+00	6.415785807203881141e+00	8.862262056051635639e+00	4.485990448917594797e+00	8.832447800226795209e+00	3.788901019655388946e+00	2.340275113872920976e+00	8.975966528619873097e-01	-1.648817487312214336e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.799708701221201856e+00	9.479808419058226576e+00	1.464234408731928117e+00	1.688346319521287331e+00	4.055744137298413321e+00	6.526271549991017551e+00	8.406587223535216813e-01	1.315003734101209520e+00	1.418139962365733631e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.162719578967790213e+00	9.691868396744345304e-01	6.725318847161944724e+00	8.018198599064785270e+00	3.672092771985226101e+00	8.639993171274280570e+00	7.685947689992888243e+00	1.339028965027907816e+02	1.668734025827539880e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.453508442584093174e+00	7.376833569854563066e+00	9.704310519465321860e+00	3.405445686074942468e+00	4.956929054917186939e+00	6.967018901908521578e+00	2.823881095908517658e+00	1.516034563156630988e+00	-1.546975126188733896e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.459676538094231368e+00	3.912202722644079866e+00	6.056506011557861946e+00	5.031017099924495639e+00	2.867413440467057484e+00	4.886954226760118480e+00	4.016912297750611316e+00	9.217806263098918151e+00	6.391319373735693254e-01
